scan_utc,scan_start,scan_end,award_watch_status,award_watch_queries_attempted,award_watch_queries_succeeded,award_watch_queries_failed,award_watch_rows,new_award_watch_alerts,active_award_watch_alerts,error_summary
2026-08-19T03:11:21.484712+00:00,2026-08-17,2026-08-19,PARTIAL,184,179,5,1,1,1,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.470027+00:00,2026-08-17,2026-08-19,PARTIAL,184,179,5,59,19,20,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-20T15:14:39.331762+00:00,2026-08-18,2026-08-20,PARTIAL,184,179,5,90,20,20,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-21T15:12:34.370247+00:00,2026-08-19,2026-08-21,PARTIAL,184,179,5,86,31,31,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-24T15:30:24.128098+00:00,2026-08-20,2026-08-24,PARTIAL,184,179,5,165,28,28,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-25T15:36:42.479936+00:00,2026-08-23,2026-08-25,PARTIAL,184,179,5,45,0,0,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-26T16:44:15.348789+00:00,2026-08-23,2026-08-26,PARTIAL,184,179,5,103,10,10,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T00:09:12.216472+00:00,2026-08-25,2026-08-28,PARTIAL,184,179,5,50,7,7,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:22:52.540543+00:00,2026-08-27,2026-08-28,PARTIAL,184,179,5,0,0,7,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-28T21:57:19.240204+00:00,2026-08-27,2026-08-28,PARTIAL,184,179,5,0,0,7,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
