scan_utc,scan_start,scan_end,ticker,alias,award_group,date_type,error
2026-08-19T03:11:21.480986+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T03:11:21.481043+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T03:11:21.481049+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T03:11:21.481054+00:00,2026-08-17,2026-08-19,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T03:11:21.481058+00:00,2026-08-17,2026-08-19,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.459522+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.459566+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.459573+00:00,2026-08-17,2026-08-19,SPR,SPIRIT AEROSYSTEMS INC,idvs,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.459578+00:00,2026-08-17,2026-08-19,TXT,TEXTRON,contracts,action_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-19T15:10:23.459583+00:00,2026-08-17,2026-08-19,TXT,TEXTRON,contracts,last_modified_date,"USAspending award-watch failed after retries for TXT / 'TEXTRON' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-20T15:14:39.321179+00:00,2026-08-18,2026-08-20,SPR,SPIRIT AEROSYSTEMS INC,contracts,last_modified_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
2026-08-20T15:14:39.321216+00:00,2026-08-18,2026-08-20,SPR,SPIRIT AEROSYSTEMS INC,idvs,action_date,"USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
