Date,Shares
2025-04-30,755248000
2025-04-30,754006016
2025-05-01,754006016
2025-05-03,754006016
2025-05-07,756033024
2025-05-07,754006016
2025-05-09,754006016
2025-05-10,754006016
2025-05-13,754006016
2025-05-16,754006016
2025-05-23,754006016
2025-05-24,754006016
2025-05-27,758993984
2025-05-28,754006016
2025-05-30,757132992
2025-05-31,754006016
2025-06-04,754006016
2025-06-05,759163008
2025-06-05,754006016
2025-06-06,764683008
2025-06-06,754006016
2025-06-10,754006016
2025-06-11,754006016
2025-06-11,760227008
2025-06-13,754006016
2025-06-14,754006016
2025-06-14,766915968
2025-06-16,754006016
2025-06-17,754006016
2025-06-17,759427008
2025-06-18,763846016
2025-06-18,754006016
2025-06-19,754006016
2025-06-21,754006016
2025-06-26,761739008
2025-06-26,754006016
2025-06-27,754006016
2025-06-28,754006016
2025-07-01,754006016
2025-07-08,754006016
2025-07-08,754385024
2025-07-09,754006016
2025-07-11,754006016
2025-07-12,754006016
2025-07-15,754006016
2025-07-16,754006016
2025-07-17,754006016
2025-07-18,754006016
2025-07-22,754006016
2025-07-24,754006016
2025-07-25,754006016
2025-07-26,754006016
2025-07-30,756158016
2025-08-02,756158016
2025-08-05,756158016
2025-08-06,756158016
2025-08-07,756158016
2025-08-13,756158016
2025-08-14,756158016
2025-08-16,756158016
2025-08-20,756158016
2025-08-21,756158016
2025-08-23,756158016
2025-08-26,756158016
2025-08-29,756158016
2025-08-30,756158016
2025-08-30,760926016
2025-09-03,756158016
2025-09-05,756158016
2025-09-06,756158016
2025-09-09,756158016
2025-09-12,756158016
2025-09-12,782040000
2025-09-17,756158016
2025-09-17,756157695
2025-09-20,756192759
2025-09-20,756157695
2025-09-23,768850049
2025-09-23,756157695
2025-09-24,756157695
2025-09-25,756157695
2025-09-26,756157695
2025-09-26,761717418
2025-09-27,756157695
2025-09-30,770717945
2025-10-01,775181632
2025-10-02,777450983
2025-10-02,756157695
2025-10-03,756157695
2025-10-06,760108033
2025-10-07,756157695
2025-10-08,756157695
2025-10-09,756157695
2025-10-15,756157695
2025-10-15,760603606
2025-10-16,756157695
2025-10-17,756157695
2025-10-18,756157695
2025-10-30,759673653
2025-10-31,760095468
2025-11-15,760329921
2025-11-17,760095468
2025-12-11,783071257
2026-02-03,785347096
2026-03-10,785844140
2026-04-23,787916815
2026-04-24,788302331
2026-07-29,789792534
2026-07-30,789792534
2026-07-30,790370020
