Date,Shares
2025-04-25,124046000
2025-05-06,124046000
2025-05-07,124046000
2025-05-08,124046000
2025-05-10,124046000
2025-05-13,124046000
2025-05-17,124046000
2025-05-21,124046000
2025-05-24,124046000
2025-05-27,124188000
2025-05-28,124188000
2025-05-29,130299000
2025-05-29,124188000
2025-05-31,124188000
2025-06-04,124188000
2025-06-05,127107000
2025-06-05,124188000
2025-06-06,124638000
2025-06-06,124188000
2025-06-10,125833000
2025-06-10,124188000
2025-06-11,125730000
2025-06-11,124188000
2025-06-14,124082000
2025-06-16,125454000
2025-06-17,124082000
2025-06-18,124349000
2025-06-19,124082000
2025-06-28,124576000
2025-06-28,124082000
2025-07-08,127381000
2025-07-09,124082000
2025-07-10,124720000
2025-07-10,124082000
2025-07-11,124940000
2025-07-11,124082000
2025-07-11,124847000
2025-07-12,124082000
2025-07-26,124082000
2025-07-29,123249000
2025-08-05,123249000
2025-08-07,124450000
2025-08-07,123249000
2025-08-08,123249000
2025-08-12,123249000
2025-08-13,123249000
2025-08-14,123249000
2025-08-15,123249000
2025-08-20,123249000
2025-08-23,123249000
2025-08-27,123249000
2025-08-29,126153000
2025-08-29,123249000
2025-08-30,123249000
2025-09-05,127488000
2025-09-05,123249000
2025-09-06,123249000
2025-09-09,123249000
2025-09-15,126887000
2025-09-17,123248686
2025-09-18,123248686
2025-09-19,123248686
2025-09-23,123248686
2025-09-23,126151125
2025-09-24,123248686
2025-09-26,123248686
2025-09-26,125460161
2025-09-30,123485487
2025-10-01,123248686
2025-10-02,123248686
2025-10-03,123248686
2025-10-09,123248686
2025-10-11,123248686
2025-10-14,123248686
2025-10-15,123248686
2025-10-16,123248686
2025-10-23,123248686
2025-10-24,123248686
2025-10-24,135236441
2025-10-25,121301203
2025-10-27,128128163
2025-10-28,121301203
2025-10-30,121301203
2025-11-04,121301203
2025-11-05,121301203
2025-11-06,121301203
2025-11-08,121301203
2025-11-11,121301203
2025-11-12,121301203
2025-11-13,121301203
2025-11-15,123203164
2025-11-17,123248687
2026-01-24,120594389
2026-05-23,119746130
2026-06-13,119934041
2026-07-29,120284973
