Date,Shares
2025-04-17,22543500
2025-04-17,22419700
2025-04-22,22485600
2025-04-23,22419700
2025-04-26,22777900
2025-04-29,21990100
2025-04-30,21990100
2025-05-01,21990100
2025-05-03,21990100
2025-05-06,22064800
2025-05-06,21990100
2025-05-10,21990100
2025-05-13,21990100
2025-05-15,21990100
2025-05-21,21990100
2025-05-22,21990100
2025-05-23,21990100
2025-05-28,23001600
2025-05-29,21990100
2025-06-03,22610200
2025-06-03,21990100
2025-06-04,21990100
2025-06-04,22096100
2025-06-05,21990100
2025-06-10,22213700
2025-06-10,21990100
2025-06-10,22209400
2025-06-11,21990100
2025-06-12,21990100
2025-06-13,21990100
2025-06-14,21990100
2025-06-18,21990100
2025-06-19,21990100
2025-06-21,21990100
2025-06-24,21990100
2025-06-25,22254600
2025-06-25,21990100
2025-06-26,21990100
2025-06-28,22085000
2025-06-28,21990100
2025-07-09,22147300
2025-07-10,21990100
2025-07-11,21990100
2025-07-15,21990100
2025-07-16,21990100
2025-07-17,21990100
2025-07-17,22050400
2025-07-18,21990100
2025-07-19,21990100
2025-07-25,21990100
2025-07-29,21990100
2025-07-30,21990100
2025-08-01,21990100
2025-08-02,21990100
2025-08-06,21990100
2025-08-07,21990100
2025-08-09,21993400
2025-08-12,21993400
2025-08-13,21993400
2025-08-14,21993400
2025-08-20,21993400
2025-08-22,21993400
2025-08-26,21993400
2025-08-27,21993400
2025-08-28,21993400
2025-08-29,22330900
2025-08-29,21993400
2025-08-30,21993400
2025-09-04,21993400
2025-09-04,22440400
2025-09-04,22625400
2025-09-05,21993400
2025-09-06,21993400
2025-09-09,21993800
2025-09-09,22012500
2025-09-11,21993800
2025-09-12,21993800
2025-09-13,21993800
2025-09-16,21993800
2025-09-18,21993796
2025-09-20,21993796
2025-09-22,21993796
2025-09-23,21993796
2025-09-24,21993796
2025-09-26,21993796
2025-09-26,22963160
2025-09-27,21993796
2025-09-30,21993796
2025-10-03,21993796
2025-10-06,21993796
2025-10-08,21993796
2025-10-08,22120918
2025-10-10,21993796
2025-10-14,22092930
2025-10-14,21993796
2025-10-15,21993796
2025-10-17,21993796
2025-10-18,22096555
2025-10-18,21993796
2025-10-21,21993796
2025-10-24,22079710
2025-10-25,22079710
2025-10-28,22079710
2025-10-29,22079710
2025-11-01,22118980
2025-11-01,22079710
2025-11-04,22079710
2025-11-06,22079710
2025-11-07,22079710
2025-11-08,22079710
2025-11-15,22079710
2025-11-17,22079710
2026-01-24,22085774
2026-04-24,22091305
2026-08-08,22099539
