Date,Shares
2025-04-25,477932000
2025-04-26,478571008
2025-04-29,477932000
2025-04-30,477932000
2025-05-01,477932000
2025-05-02,470315008
2025-05-07,470315008
2025-05-07,473568992
2025-05-14,474188992
2025-05-15,470315008
2025-05-29,470315008
2025-05-29,473032992
2025-05-31,470315008
2025-05-31,475396000
2025-06-05,470315008
2025-06-06,470315008
2025-06-06,470814016
2025-06-18,470315008
2025-06-18,476574016
2025-07-08,477943008
2025-07-08,470315008
2025-07-11,470315008
2025-07-11,477507008
2025-07-12,470315008
2025-07-12,473107008
2025-07-28,471195008
2025-07-29,470315008
2025-08-06,470315008
2025-08-07,470315008
2025-08-08,468479008
2025-08-08,469153984
2025-08-08,480384000
2025-08-09,468479008
2025-08-12,468479008
2025-08-15,468479008
2025-08-16,468479008
2025-08-19,468479008
2025-08-20,468479008
2025-08-21,468479008
2025-08-22,468479008
2025-08-26,468479008
2025-08-28,468479008
2025-08-29,468479008
2025-09-03,468479008
2025-09-04,468479008
2025-09-05,468479008
2025-09-06,468479008
2025-09-10,468479008
2025-09-11,468479008
2025-09-16,468479008
2025-09-17,468478923
2025-09-23,469313966
2025-09-24,468478923
2025-09-25,468478923
2025-09-26,468478923
2025-09-27,468478923
2025-10-02,468478923
2025-10-03,468478923
2025-10-07,468478923
2025-10-08,468478923
2025-10-08,476824164
2025-10-09,468478923
2025-10-10,468478923
2025-10-11,468478923
2025-10-14,468478923
2025-10-15,468478923
2025-10-16,468478923
2025-10-18,468478923
2025-10-21,468478923
2025-10-22,470648758
2025-10-23,468478923
2025-10-25,468478923
2025-10-28,468478923
2025-10-30,468478923
2025-11-07,468478923
2025-11-08,468478923
2025-11-11,468478923
2025-11-12,468478923
2025-11-14,468478923
2025-11-15,468478923
2025-11-17,470314978
2025-11-28,468478923
2026-02-17,467979597
2026-04-23,465287332
2026-05-05,460591983
2026-08-07,459674889
