Date,Shares
2025-04-09,57484800
2025-04-10,57484800
2025-04-11,57484800
2025-04-11,60454300
2025-04-15,57484800
2025-04-22,59951800
2025-04-23,57484800
2025-04-24,57484800
2025-04-26,57743700
2025-04-28,57778600
2025-04-29,57484800
2025-04-30,57484800
2025-05-01,57484800
2025-05-03,57501200
2025-05-07,57791300
2025-05-07,57501200
2025-05-08,57501200
2025-05-09,57501200
2025-05-10,57501200
2025-05-14,57694700
2025-05-15,57501200
2025-05-16,57501200
2025-05-17,57501200
2025-05-20,57501200
2025-05-23,57501200
2025-05-28,57501200
2025-05-29,57501200
2025-05-29,58128800
2025-05-31,57501200
2025-05-31,58128500
2025-06-06,57576800
2025-06-06,57501200
2025-06-07,57501200
2025-06-10,57501200
2025-06-11,57501200
2025-06-12,57501200
2025-06-13,57501200
2025-06-14,57501200
2025-06-17,57501200
2025-06-18,57501200
2025-06-18,58603300
2025-06-19,57501200
2025-06-19,57678500
2025-06-21,57501200
2025-06-24,57501200
2025-06-25,57501200
2025-06-27,57501200
2025-06-30,57501200
2025-07-01,57577000
2025-07-02,57501200
2025-07-03,57501200
2025-07-08,57501200
2025-07-08,58105800
2025-07-10,57501200
2025-07-10,57627600
2025-07-11,57501200
2025-07-12,57501200
2025-07-12,58107600
2025-07-15,57501200
2025-07-17,57501200
2025-07-19,57501200
2025-07-21,58196600
2025-07-22,57501200
2025-07-25,57501200
2025-07-26,57501200
2025-07-29,57501200
2025-07-29,57728200
2025-07-31,57501200
2025-08-02,57546800
2025-08-06,57546800
2025-08-09,57546800
2025-08-09,57760500
2025-08-16,57546800
2025-08-18,57546800
2025-08-19,57546800
2025-08-21,57546800
2025-08-25,58245600
2025-08-26,57546800
2025-08-27,57546800
2025-08-28,57546800
2025-08-29,57546800
2025-08-30,57546800
2025-09-03,57546800
2025-09-04,57546800
2025-09-05,57546800
2025-09-06,57802900
2025-09-06,57546800
2025-09-09,57546800
2025-09-10,57546800
2025-09-16,57546800
2025-09-17,57546800
2025-09-18,57546840
2025-09-23,57584798
2025-09-23,57546840
2025-09-23,57603833
2025-09-24,57546840
2025-09-25,57546840
2025-09-26,57546840
2025-09-30,57686278
2025-10-01,57546840
2025-10-02,57861529
2025-10-02,57721667
2025-10-02,57546840
2025-10-07,57546840
2025-10-09,57546840
2025-10-11,57546840
2025-10-17,57546840
2025-10-21,57546840
2025-10-23,57546840
2025-10-25,57690887
2025-10-25,57546840
2025-10-28,57546840
2025-10-28,57703315
2025-10-31,57596887
2025-11-01,57596887
2025-11-04,57596887
2025-11-07,57596887
2025-11-11,57596887
2025-11-13,57596887
2025-11-14,57596887
2025-11-15,58227098
2025-11-17,57596887
2026-03-04,57674297
2026-03-18,57743867
2026-05-05,57745686
2026-08-04,57800356
2026-08-05,57800356
