Date,Shares
2025-04-08,109318000
2025-04-11,109318000
2025-04-12,109318000
2025-04-14,109318000
2025-04-17,109318000
2025-04-18,109318000
2025-04-22,112876000
2025-04-23,109318000
2025-04-24,109520000
2025-04-24,109318000
2025-04-25,109318000
2025-04-26,109318000
2025-04-29,109318000
2025-05-01,109318000
2025-05-01,109994000
2025-05-02,109318000
2025-05-07,109318000
2025-05-10,109158000
2025-05-11,109158000
2025-05-13,109158000
2025-05-14,109918000
2025-05-14,109158000
2025-05-15,109158000
2025-05-17,109308000
2025-05-17,109158000
2025-05-22,109158000
2025-05-23,109158000
2025-05-24,109158000
2025-05-29,109158000
2025-05-29,111801000
2025-05-30,109158000
2025-05-31,109158000
2025-06-03,109158000
2025-06-06,111180000
2025-06-06,109158000
2025-06-07,109158000
2025-06-10,109158000
2025-06-13,109158000
2025-06-14,109158000
2025-06-17,109158000
2025-06-18,110545000
2025-06-18,109158000
2025-06-19,109158000
2025-06-25,109158000
2025-07-01,109158000
2025-07-01,109210000
2025-07-02,109158000
2025-07-03,109158000
2025-07-09,111484000
2025-07-09,109158000
2025-07-10,109158000
2025-07-11,109158000
2025-07-12,110601000
2025-07-12,109158000
2025-07-17,109158000
2025-07-18,109158000
2025-07-19,109158000
2025-07-21,112233000
2025-07-22,109158000
2025-07-29,109158000
2025-07-29,112468000
2025-07-30,109158000
2025-08-01,109158000
2025-08-05,109158000
2025-08-06,109158000
2025-08-09,107060000
2025-08-13,107060000
2025-08-15,107060000
2025-08-18,107837000
2025-08-19,107060000
2025-08-22,107060000
2025-08-25,108363000
2025-08-26,107060000
2025-08-30,107060000
2025-09-04,107060000
2025-09-06,107060000
2025-09-06,108149000
2025-09-09,107060000
2025-09-12,107060000
2025-09-13,107060000
2025-09-16,107060000
2025-09-17,107060000
2025-09-17,107059948
2025-09-19,107059948
2025-09-23,107059948
2025-09-25,107059948
2025-09-26,107059948
2025-09-30,107109651
2025-10-01,113373065
2025-10-02,112269678
2025-10-02,112217581
2025-10-02,107059948
2025-10-08,108087724
2025-10-08,107059948
2025-10-09,107059948
2025-10-10,107059948
2025-10-15,108191282
2025-10-15,107059948
2025-10-16,107059948
2025-10-17,107059948
2025-10-18,107059948
2025-10-24,107059948
2025-10-25,107059948
2025-10-28,108167264
2025-10-28,107059948
2025-10-28,108328978
2025-10-29,107059948
2025-10-31,107059948
2025-11-04,107059948
2025-11-06,107059948
2025-11-07,105383000
2025-11-08,104584655
2025-11-11,104584655
2025-11-13,104584655
2025-11-17,107059948
2026-02-13,104584655
2026-02-28,104584656
2026-04-03,98886782
2026-05-09,98888460
2026-08-08,98893489
