Date,Shares
2025-04-10,410393984
2025-04-11,391768992
2025-04-18,392996000
2025-04-18,391768992
2025-04-22,405132000
2025-04-23,393839008
2025-04-23,391768992
2025-05-04,391768992
2025-05-06,391300000
2025-05-07,391300000
2025-05-07,391916992
2025-05-13,391300000
2025-05-14,391300000
2025-05-29,391300000
2025-05-29,394292000
2025-05-29,392336000
2025-05-30,396934016
2025-05-30,391300000
2025-05-31,391300000
2025-06-04,391300000
2025-06-05,391300000
2025-06-06,391300000
2025-06-06,392019008
2025-06-10,398073984
2025-06-10,391300000
2025-06-11,393195008
2025-06-11,391300000
2025-06-14,399376000
2025-06-14,391300000
2025-06-17,400179008
2025-06-18,391300000
2025-07-08,391300000
2025-07-08,392955008
2025-07-08,395371008
2025-07-09,391300000
2025-08-07,389300000
2025-08-07,389432000
2025-08-16,389300000
2025-08-19,389300000
2025-09-06,389300000
2025-09-09,389300000
2025-09-26,389300000
2025-09-26,397272997
2025-10-06,392739967
2025-10-07,389300000
2025-10-08,389300000
2025-10-08,398829423
2025-10-15,389300000
2025-10-15,390360735
2025-10-18,389300000
2025-10-18,391688152
2025-11-01,389300000
2025-11-01,390861036
2025-11-05,389300000
2025-11-05,398421320
2025-11-06,388400000
2025-11-15,390251676
2025-11-17,389300000
2026-03-10,387900000
2026-03-20,388400000
2026-04-23,387985340
2026-05-06,388300000
2026-08-06,388400000
2026-08-06,388300000
