Date,Shares
2025-08-07,140551008
2025-08-08,140551008
2025-08-09,140551008
2025-08-12,146543008
2025-08-12,140551008
2025-08-13,152751008
2025-08-13,146543008
2025-08-14,148608000
2025-08-14,146543008
2025-08-15,150762000
2025-08-15,146543008
2025-08-20,156660992
2025-08-20,146543008
2025-08-21,146543008
2025-08-22,146543008
2025-08-23,146543008
2025-08-27,146543008
2025-08-30,146543008
2025-09-05,146543008
2025-09-05,151660000
2025-09-06,146543008
2025-09-12,146543008
2025-09-19,146543392
2025-09-20,146543392
2025-09-23,146543392
2025-09-24,146539263
2025-09-26,146539263
2025-09-26,157823487
2025-09-30,146539263
2025-10-01,179886820
2025-10-02,197693389
2025-10-02,146539263
2025-10-07,146539263
2025-10-08,146539263
2025-10-08,149888437
2025-10-09,146539263
2025-10-10,146539263
2025-10-11,146539263
2025-10-15,146539263
2025-10-17,146539263
2025-10-18,155934231
2025-10-18,146539263
2025-10-20,146539263
2025-10-24,148119810
2025-10-24,146539263
2025-10-25,146539263
2025-10-31,146539263
2025-11-01,147997401
2025-11-01,146539263
2025-11-03,146660170
2025-11-04,146539263
2025-11-05,146539263
2025-11-07,146539263
2025-11-08,146539263
2025-11-11,146539263
2025-11-13,146539263
2025-11-14,148138000
2025-11-15,159251122
2025-11-17,159251122
2025-12-03,159251123
2026-03-24,159952387
2026-04-20,160106212
2026-05-05,160235217
2026-06-01,164067383
2026-06-03,164235217
2026-08-13,164235217
2026-08-13,167404645
