Date,Shares
2025-04-18,268382000
2025-04-18,268916000
2025-04-22,271231008
2025-04-23,268382000
2025-04-23,269632000
2025-04-23,277542016
2025-04-24,268382000
2025-04-25,268396000
2025-04-26,268396000
2025-05-01,268396000
2025-05-02,268396000
2025-05-03,268396000
2025-05-07,269913984
2025-05-07,268396000
2025-05-09,268396000
2025-05-10,268396000
2025-05-10,268811008
2025-05-17,268396000
2025-05-20,268396000
2025-05-21,268396000
2025-05-22,268396000
2025-05-23,268396000
2025-05-24,268396000
2025-05-29,268396000
2025-05-29,273879008
2025-05-30,268396000
2025-05-31,268396000
2025-06-04,268396000
2025-06-05,268396000
2025-06-05,269382016
2025-06-06,268396000
2025-06-06,268992992
2025-06-10,268396000
2025-06-11,268396000
2025-06-13,268396000
2025-06-14,268396000
2025-06-16,271960992
2025-06-17,268396000
2025-06-18,268396000
2025-06-18,271064992
2025-06-19,268396000
2025-06-27,268396000
2025-06-28,268396000
2025-06-28,268996000
2025-07-08,268396000
2025-07-08,268496000
2025-07-09,268396000
2025-07-10,268396000
2025-07-11,268396000
2025-07-11,271456000
2025-07-11,269444000
2025-07-12,268396000
2025-07-17,268396000
2025-07-18,268396000
2025-07-22,268396000
2025-07-23,268396000
2025-07-24,268992992
2025-07-26,268992992
2025-07-29,268992992
2025-07-31,268992992
2025-08-02,269745984
2025-08-02,268992992
2025-08-05,268992992
2025-08-07,270936992
2025-08-07,268992992
2025-08-08,268992992
2025-08-09,268992992
2025-08-14,268992992
2025-08-15,268992992
2025-08-16,268992992
2025-08-19,268992992
2025-08-20,268992992
2025-08-21,268992992
2025-08-23,268992992
2025-08-26,268992992
2025-08-27,268992992
2025-08-28,268992992
2025-08-29,269448992
2025-08-29,268992992
2025-08-30,269275008
2025-08-30,268992992
2025-09-03,268992992
2025-09-05,269302016
2025-09-05,268992992
2025-09-10,268992992
2025-09-11,268992992
2025-09-17,268993342
2025-09-17,268992992
2025-09-20,268993342
2025-09-20,269400052
2025-09-23,270177159
2025-09-23,268993342
2025-09-24,268993342
2025-10-02,268993342
2025-10-03,268993342
2025-10-08,271397936
2025-10-08,268993342
2025-10-16,268993342
2025-10-18,268993342
2025-10-25,270120442
2025-10-29,270120442
2025-10-30,270120442
2025-10-31,270120442
2025-11-01,270120442
2025-11-06,270120442
2025-11-07,270120442
2025-11-08,270120442
2025-11-11,270120442
2025-11-15,270120442
2025-11-17,270120442
2026-01-29,270389759
2026-03-30,270845862
2026-05-01,270430187
2026-07-31,270557195
