Date,Shares
2025-04-25,1066390016
2025-04-26,1066390016
2025-04-29,1066390016
2025-04-30,1066390016
2025-04-30,1068300032
2025-05-01,1066390016
2025-05-07,1066390016
2025-05-07,1068120000
2025-05-09,1066390016
2025-05-13,1066390016
2025-05-15,1066390016
2025-05-17,1066390016
2025-05-20,1066390016
2025-05-23,1066390016
2025-05-27,1066390016
2025-05-28,1066390016
2025-05-29,1066390016
2025-05-30,1066390016
2025-06-03,1066390016
2025-06-04,1066390016
2025-06-05,1066390016
2025-06-06,1066390016
2025-06-10,1066390016
2025-06-10,1084290048
2025-06-11,1066390016
2025-06-11,1107849984
2025-06-13,1066390016
2025-06-14,1066390016
2025-06-14,1081670016
2025-06-17,1066659968
2025-06-17,1066390016
2025-06-18,1066390016
2025-06-18,1069960000
2025-06-21,1066390016
2025-06-25,1066390016
2025-06-26,1066390016
2025-06-27,1066390016
2025-06-28,1066390016
2025-06-30,1066390016
2025-07-01,1066390016
2025-07-01,1102230016
2025-07-02,1066390016
2025-07-03,1066390016
2025-07-04,1066390016
2025-07-08,1066390016
2025-07-09,1073289984
2025-07-09,1066390016
2025-07-11,1066390016
2025-07-11,1075929984
2025-07-12,1066390016
2025-07-15,1066390016
2025-07-18,1060440000
2025-07-22,1060440000
2025-07-23,1060440000
2025-07-24,1060440000
2025-07-26,1060440000
2025-07-30,1060440000
2025-08-02,1060440000
2025-08-08,1061449984
2025-08-08,1060440000
2025-08-09,1060440000
2025-08-12,1060440000
2025-08-13,1060440000
2025-08-19,1060440000
2025-08-20,1060440000
2025-08-21,1060440000
2025-08-22,1060440000
2025-08-23,1060440000
2025-08-27,1060440000
2025-08-28,1060440000
2025-09-03,1060440000
2025-09-05,1060440000
2025-09-06,1071980032
2025-09-06,1060440000
2025-09-10,1060440000
2025-09-13,1060440000
2025-09-16,1060440000
2025-09-17,1060440000
2025-09-17,1060439387
2025-09-18,1060439387
2025-09-20,1060439387
2025-09-23,1060439387
2025-09-25,1060439387
2025-09-26,1071572609
2025-09-26,1060439387
2025-09-26,1068348285
2025-09-27,1060439387
2025-09-30,1065314887
2025-10-01,1060439387
2025-10-02,1060439387
2025-10-03,1060439387
2025-10-06,1069187119
2025-10-07,1060439387
2025-10-09,1060439387
2025-10-10,1060439387
2025-10-11,1060439387
2025-10-14,1060439387
2025-10-15,1060439387
2025-10-16,1060439387
2025-10-24,1054813911
2025-10-25,1063561504
2025-10-25,1054813911
2025-10-28,1054813911
2025-10-28,1065198954
2025-10-29,1054813911
2025-10-30,1054813911
2025-11-04,1054813911
2025-11-05,1054813911
2025-11-07,1054813911
2025-11-08,1054813911
2025-11-11,1054813911
2025-11-12,1054813911
2025-11-13,1054813911
2025-11-14,1054813911
2025-11-15,1054813911
2025-11-17,1060439387
2026-01-23,1054813911
2026-01-30,1054813911
2026-03-19,1054813911
2026-04-21,1044829603
2026-07-18,1037562513
