Date,Shares
2025-04-08,142836000
2025-04-09,142836000
2025-04-11,142836000
2025-04-16,142836000
2025-04-17,142836000
2025-04-18,142836000
2025-04-22,150651008
2025-04-23,142836000
2025-04-23,144500000
2025-04-23,147970000
2025-04-24,142836000
2025-04-30,142836000
2025-05-02,142836000
2025-05-03,142836000
2025-05-06,144248000
2025-05-06,142836000
2025-05-06,147492992
2025-05-07,142836000
2025-05-09,142836000
2025-05-13,142836000
2025-05-15,141343008
2025-05-17,141343008
2025-05-21,141343008
2025-05-22,141343008
2025-05-28,144334000
2025-05-29,141343008
2025-05-29,142828000
2025-05-30,141343008
2025-06-03,141343008
2025-06-03,141656000
2025-06-04,142130000
2025-06-04,141343008
2025-06-05,141343008
2025-06-05,144526000
2025-06-05,142080992
2025-06-06,141343008
2025-06-07,141343008
2025-06-10,141343008
2025-06-12,141343008
2025-06-13,141343008
2025-06-14,152250000
2025-06-14,141343008
2025-06-16,141343008
2025-06-17,146216992
2025-06-17,141343008
2025-06-18,141343008
2025-06-26,142320992
2025-06-26,141343008
2025-06-27,141343008
2025-06-28,141343008
2025-07-03,141343008
2025-07-04,141343008
2025-07-07,141343008
2025-07-08,144734000
2025-07-09,141343008
2025-07-11,141343008
2025-07-15,141343008
2025-07-18,141343008
2025-07-18,142968000
2025-07-19,141343008
2025-07-19,145378000
2025-07-26,141343008
2025-08-02,141343008
2025-08-02,146544000
2025-08-05,141343008
2025-08-06,141343008
2025-08-07,150415008
2025-08-07,141343008
2025-08-07,159628000
2025-08-08,141535008
2025-08-09,141535008
2025-08-13,141535008
2025-08-14,141535008
2025-08-15,141535008
2025-08-19,141535008
2025-08-22,141535008
2025-08-27,141535008
2025-08-28,141535008
2025-08-29,142976992
2025-08-29,141535008
2025-09-03,141535008
2025-09-04,141535008
2025-09-09,141535008
2025-09-12,141535008
2025-09-13,141535008
2025-09-16,141535008
2025-09-17,141534615
2025-09-18,141534615
2025-09-19,141534615
2025-09-20,141534615
2025-09-20,142637819
2025-09-22,143977143
2025-09-23,141534615
2025-09-24,141534615
2025-09-25,141534615
2025-09-26,141534615
2025-09-26,145458615
2025-09-30,141534615
2025-10-01,144366689
2025-10-02,141534615
2025-10-08,141534615
2025-10-08,145814442
2025-10-09,141534615
2025-10-10,141534615
2025-10-11,141534615
2025-10-14,141534615
2025-10-15,141534615
2025-10-16,141534615
2025-10-21,141701126
2025-10-22,141534615
2025-10-28,141534615
2025-10-29,141534615
2025-10-31,141534615
2025-11-01,141534615
2025-11-04,141534615
2025-11-05,141534615
2025-11-06,141534615
2025-11-08,139197249
2025-11-13,139197249
2025-11-14,139197249
2025-11-17,141534616
2026-03-05,139197249
2026-03-24,134361649
2026-04-23,132707287
2026-05-06,133700000
2026-05-09,133618284
2026-08-08,131619584
