Date,Shares
2025-04-23,39235600
2025-04-23,39643800
2025-04-25,39235600
2025-04-26,39235600
2025-04-29,39235600
2025-04-30,39235600
2025-05-01,39235600
2025-05-02,39235600
2025-05-06,39239100
2025-05-07,39286300
2025-05-07,39239100
2025-05-08,39239100
2025-05-10,39239100
2025-05-14,39239100
2025-05-16,39239100
2025-05-17,39239100
2025-05-24,39239100
2025-05-28,39239100
2025-05-29,39628700
2025-05-29,39239100
2025-05-29,39576000
2025-05-30,39239100
2025-05-30,39348200
2025-05-31,39239100
2025-06-04,39239100
2025-06-05,39792500
2025-06-05,39239100
2025-06-06,39239100
2025-06-06,39240900
2025-06-10,39239100
2025-06-11,39239100
2025-06-11,40077300
2025-06-14,39239100
2025-06-16,39833000
2025-06-17,39239100
2025-06-18,39239100
2025-06-28,39433200
2025-06-28,39239100
2025-07-01,39239100
2025-07-03,39239100
2025-07-04,39239100
2025-07-08,39239100
2025-07-08,40122200
2025-07-09,39239100
2025-07-11,40687800
2025-07-11,39239100
2025-07-17,39239100
2025-07-24,39239100
2025-07-26,39239100
2025-08-01,39240200
2025-08-02,40553400
2025-08-02,39240600
2025-08-07,39743800
2025-08-07,39393800
2025-08-07,39240600
2025-08-08,39240600
2025-08-09,39240600
2025-08-16,39240600
2025-08-20,39240600
2025-08-21,39240600
2025-08-23,39240600
2025-08-27,39240600
2025-08-28,39240600
2025-08-30,39889800
2025-08-30,39240600
2025-09-11,39240600
2025-09-12,39240600
2025-09-16,39240600
2025-09-17,39240631
2025-09-18,39240631
2025-09-23,39240631
2025-09-24,39240631
2025-09-25,39240631
2025-09-26,39240631
2025-09-26,40146240
2025-09-30,39240631
2025-10-03,39240631
2025-10-06,39240631
2025-10-08,39240631
2025-10-08,39668266
2025-10-10,39240631
2025-10-11,39240631
2025-10-15,39240631
2025-10-16,39240631
2025-10-17,39240631
2025-10-18,39240631
2025-10-18,39610588
2025-10-20,39240631
2025-10-23,39240631
2025-10-24,39240631
2025-10-31,39241108
2025-11-01,39241434
2025-11-01,39241108
2025-11-04,39241434
2025-11-05,39241434
2025-11-06,39241434
2025-11-07,39241434
2025-11-08,39241434
2025-11-14,39241434
2025-11-15,39241434
2025-11-17,39241434
2026-02-06,39241527
2026-02-07,39242688
2026-03-26,39377171
2026-05-06,39404029
2026-08-01,39404598
