Date,Shares
2025-04-30,643257024
2025-05-02,643257024
2025-05-03,643257024
2025-05-06,643257024
2025-05-07,656494016
2025-05-07,643257024
2025-05-10,643257024
2025-05-10,647817024
2025-05-17,643257024
2025-05-21,643257024
2025-05-28,643257024
2025-05-29,643257024
2025-05-29,648555008
2025-06-03,643257024
2025-06-04,643257024
2025-06-06,645470976
2025-06-06,643257024
2025-06-07,643257024
2025-06-10,647929984
2025-06-10,643257024
2025-06-11,645729984
2025-06-11,643257024
2025-06-13,643257024
2025-06-14,648305024
2025-06-14,643257024
2025-06-17,643830976
2025-06-17,643257024
2025-06-18,643257024
2025-06-18,649928000
2025-06-26,643257024
2025-06-27,643257024
2025-06-28,643257024
2025-06-30,643257024
2025-07-01,643257024
2025-07-03,643257024
2025-07-08,646078976
2025-07-08,643257024
2025-07-10,643257024
2025-07-10,646166976
2025-07-11,643257024
2025-07-12,645547008
2025-07-12,643257024
2025-07-16,643257024
2025-07-19,643257024
2025-07-24,643257024
2025-07-25,634897024
2025-07-26,634897024
2025-08-02,634897024
2025-08-05,634897024
2025-08-07,634897024
2025-08-08,642665024
2025-08-08,634897024
2025-08-09,635689024
2025-08-09,634897024
2025-08-12,634897024
2025-08-15,634897024
2025-08-16,634897024
2025-08-21,634897024
2025-08-26,634897024
2025-08-30,634897024
2025-09-05,634897024
2025-09-06,634897024
2025-09-06,637593024
2025-09-10,634897024
2025-09-13,634897024
2025-09-16,634897024
2025-09-17,634896562
2025-09-18,634896562
2025-09-20,634896562
2025-09-23,634896562
2025-09-26,634896562
2025-09-26,637647679
2025-09-27,634896562
2025-09-30,634896562
2025-10-03,634896562
2025-10-06,640849192
2025-10-07,634896562
2025-10-08,634896562
2025-10-10,634896562
2025-10-15,634896562
2025-10-16,634896562
2025-10-17,634896562
2025-10-21,634896562
2025-10-23,634896562
2025-10-24,634887208
2025-10-25,634887208
2025-10-25,648193579
2025-10-28,638045851
2025-10-28,634887208
2025-10-28,636841527
2025-10-29,634887208
2025-10-31,634887208
2025-11-04,634887208
2025-11-05,634887208
2025-11-06,634887208
2025-11-08,640906647
2025-11-08,634887208
2025-11-12,634887208
2025-11-13,634887208
2025-11-15,637534698
2025-11-17,673869690
2026-03-11,635675701
2026-04-14,633653119
2026-06-26,316826559
2026-07-25,316940010
