Date,Shares
2025-04-15,927264000
2025-04-16,927264000
2025-04-18,927264000
2025-04-22,937430976
2025-04-23,927264000
2025-04-24,927264000
2025-04-25,927264000
2025-04-26,929396992
2025-05-01,929396992
2025-05-03,929396992
2025-05-06,929396992
2025-05-07,929619968
2025-05-07,929396992
2025-05-08,929396992
2025-05-10,947820032
2025-05-10,929396992
2025-05-13,929396992
2025-05-14,929396992
2025-05-15,929396992
2025-05-16,929396992
2025-05-20,929396992
2025-05-21,929396992
2025-05-23,929396992
2025-05-24,929396992
2025-05-29,940075008
2025-05-29,929396992
2025-05-30,934964992
2025-05-30,929396992
2025-05-31,929396992
2025-06-04,929396992
2025-06-05,929396992
2025-06-06,929396992
2025-06-12,929396992
2025-06-13,929396992
2025-06-14,942169984
2025-06-14,929396992
2025-06-17,929396992
2025-06-18,929396992
2025-06-19,929396992
2025-06-25,929396992
2025-06-26,929396992
2025-06-30,929396992
2025-07-01,940822976
2025-07-01,929396992
2025-07-02,929396992
2025-07-03,929396992
2025-07-08,929396992
2025-07-09,935956992
2025-07-09,929396992
2025-07-10,930294016
2025-07-10,929396992
2025-07-11,929396992
2025-07-12,929396992
2025-07-12,941980992
2025-07-16,929396992
2025-07-17,929396992
2025-07-23,929396992
2025-07-25,931518976
2025-07-26,931518976
2025-07-29,931518976
2025-07-30,931518976
2025-07-31,931518976
2025-08-01,931518976
2025-08-07,931518976
2025-08-08,939414016
2025-08-08,931518976
2025-08-09,961856000
2025-08-09,931518976
2025-08-12,931518976
2025-08-13,931518976
2025-08-14,931518976
2025-08-16,931518976
2025-08-19,931518976
2025-08-21,931518976
2025-08-22,931518976
2025-08-26,931518976
2025-08-29,931518976
2025-09-03,931518976
2025-09-05,931518976
2025-09-06,931518976
2025-09-09,931518976
2025-09-12,931518976
2025-09-17,931518976
2025-09-17,931519242
2025-09-18,931519242
2025-09-20,931519242
2025-09-24,931519242
2025-09-30,946534080
2025-10-01,938617223
2025-10-02,931519242
2025-10-03,931519242
2025-10-07,931519242
2025-10-09,931519242
2025-10-10,931519242
2025-10-11,931519242
2025-10-15,931519242
2025-10-15,935128605
2025-10-16,931519242
2025-10-21,931519242
2025-10-25,934735206
2025-10-28,934735206
2025-10-28,936290257
2025-10-29,934735206
2025-11-06,934735206
2025-11-08,953162651
2025-11-08,934735206
2025-11-11,934735206
2025-11-12,934735206
2025-11-13,934735206
2025-11-14,934735206
2025-11-17,934735206
2026-03-04,938034404
2026-03-14,938409072
2026-04-24,939885280
2026-07-24,942134390
