Date,Shares
2025-04-08,153286000
2025-04-10,153768992
2025-04-10,153286000
2025-04-11,153286000
2025-04-12,153286000
2025-04-17,153286000
2025-04-18,154119008
2025-04-18,153286000
2025-04-22,158904000
2025-04-23,157915008
2025-04-23,153286000
2025-04-29,153286000
2025-04-30,153286000
2025-05-01,153286000
2025-05-03,153286000
2025-05-06,153286000
2025-05-07,153286000
2025-05-09,153286000
2025-05-10,156068000
2025-05-10,153286000
2025-05-22,153443008
2025-05-23,153443008
2025-05-29,157234000
2025-05-29,156691008
2025-05-29,153443008
2025-05-30,153443008
2025-06-03,153443008
2025-06-04,153443008
2025-06-05,153443008
2025-06-07,153443008
2025-06-10,153443008
2025-06-11,158480000
2025-06-11,153443008
2025-06-13,153443008
2025-06-14,153443008
2025-06-16,155491008
2025-06-17,153443008
2025-06-18,157338000
2025-06-18,153443008
2025-06-19,153443008
2025-06-21,153443008
2025-06-26,153443008
2025-06-27,157156000
2025-06-27,153443008
2025-06-28,153443008
2025-07-01,168378000
2025-07-02,168378000
2025-07-03,168378000
2025-07-08,170048992
2025-07-08,168378000
2025-07-09,168378000
2025-07-11,168378000
2025-07-11,169292992
2025-07-12,168378000
2025-07-18,168378000
2025-07-19,168378000
2025-07-22,168378000
2025-07-23,168378000
2025-07-24,168378000
2025-07-25,168378000
2025-07-26,168378000
2025-07-29,168378000
2025-07-30,168378000
2025-08-01,168378000
2025-08-02,174378000
2025-08-02,168378000
2025-08-03,168438000
2025-08-05,168378000
2025-08-07,168378000
2025-08-07,169720992
2025-08-08,168378000
2025-08-09,168794000
2025-08-12,168794000
2025-08-23,168794000
2025-08-26,168794000
2025-08-30,168794000
2025-08-30,175640000
2025-09-05,168794000
2025-09-05,171210000
2025-09-17,168794500
2025-09-23,168794500
2025-09-23,168899056
2025-10-15,168794500
2025-10-15,170530267
2025-10-18,179963530
2025-10-18,168794500
2025-10-27,169725215
2025-10-28,168794500
2025-11-06,168840708
2025-11-12,168840708
2025-11-15,168840708
2025-11-17,168840708
2026-02-14,170329158
2026-03-04,186757730
2026-04-06,187333628
2026-04-20,187438489
2026-05-08,187519984
2026-08-06,187721327
2026-08-06,187519984
