Date,Shares
2025-04-10,188455008
2025-04-11,187716000
2025-04-18,187716000
2025-04-18,188284000
2025-04-22,191311008
2025-04-23,187716000
2025-04-23,190456992
2025-04-25,186946000
2025-04-26,187110000
2025-04-29,186946000
2025-05-01,186946000
2025-05-03,186946000
2025-05-07,189047008
2025-05-07,186946000
2025-05-08,186946000
2025-05-13,186946000
2025-05-14,186946000
2025-05-16,186946000
2025-05-17,186946000
2025-05-20,186946000
2025-05-22,186946000
2025-05-23,186946000
2025-05-27,186946000
2025-05-29,187675008
2025-05-29,189646000
2025-05-29,186946000
2025-05-30,186946000
2025-06-03,186946000
2025-06-04,186946000
2025-06-05,187624992
2025-06-05,186946000
2025-06-06,187139008
2025-06-06,186946000
2025-06-07,186946000
2025-06-10,186946000
2025-06-11,187419008
2025-06-11,186946000
2025-06-14,186946000
2025-06-16,193902000
2025-06-17,186946000
2025-06-18,186946000
2025-06-18,188471008
2025-06-19,186946000
2025-06-21,186946000
2025-06-24,186946000
2025-06-25,186946000
2025-06-27,186946000
2025-06-27,187756000
2025-06-28,186946000
2025-07-10,186946000
2025-07-11,187342000
2025-07-11,186946000
2025-07-11,187703008
2025-07-12,186946000
2025-07-15,186946000
2025-07-17,186946000
2025-07-18,186946000
2025-07-19,186946000
2025-07-22,186946000
2025-07-24,186946000
2025-07-25,187095008
2025-07-26,187095008
2025-07-31,187095008
2025-08-01,187095008
2025-08-05,187095008
2025-08-07,188000000
2025-08-07,189192992
2025-08-07,187095008
2025-08-08,187095008
2025-08-09,187095008
2025-08-12,187095008
2025-08-13,187095008
2025-08-19,187095008
2025-08-20,187095008
2025-08-23,187095008
2025-08-26,187095008
2025-08-28,187095008
2025-08-29,187095008
2025-08-30,187095008
2025-09-05,187176992
2025-09-05,187095008
2025-09-10,187095008
2025-09-12,187095008
2025-09-17,187094798
2025-09-19,187094798
2025-09-20,187094798
2025-09-24,187094798
2025-09-25,187094798
2025-09-26,187094798
2025-09-30,187094798
2025-10-03,187094798
2025-10-06,187094798
2025-10-07,187094798
2025-10-08,187094798
2025-10-08,188075489
2025-10-10,187094798
2025-10-11,187094798
2025-10-16,187094798
2025-10-17,187094798
2025-10-18,187094798
2025-10-18,187371614
2025-10-24,187145847
2025-10-25,187094798
2025-10-27,188418612
2025-10-28,187094798
2025-10-29,187094798
2025-11-01,187052847
2025-11-01,191495506
2025-11-08,187052847
2025-11-12,187052847
2025-11-13,187052847
2025-11-17,187094799
2026-02-14,187052847
2026-04-07,186785895
2026-05-02,186294951
2026-08-01,186214616
