Date,Shares
2025-04-25,117138000
2025-04-30,117138000
2025-05-03,117138000
2025-05-07,118117000
2025-05-07,117138000
2025-05-10,118533000
2025-05-10,117138000
2025-05-13,117138000
2025-05-16,117331000
2025-05-17,117331000
2025-05-22,117331000
2025-05-23,117331000
2025-05-28,117331000
2025-05-29,117331000
2025-05-29,121165000
2025-05-29,120178000
2025-05-30,117331000
2025-05-30,123208000
2025-05-31,117331000
2025-06-03,117331000
2025-06-04,117331000
2025-06-05,117331000
2025-06-06,117331000
2025-06-06,119272000
2025-06-07,117331000
2025-06-11,117331000
2025-06-11,123401000
2025-06-12,117331000
2025-06-14,122271000
2025-06-14,117331000
2025-06-16,117331000
2025-06-17,117331000
2025-06-17,124327000
2025-06-18,117331000
2025-06-18,118139000
2025-06-19,117331000
2025-06-21,117331000
2025-06-24,117331000
2025-06-28,122003000
2025-06-28,117331000
2025-07-02,117331000
2025-07-04,117331000
2025-07-08,121614000
2025-07-08,117331000
2025-07-09,117331000
2025-07-10,117331000
2025-07-11,120788000
2025-07-11,117331000
2025-07-12,117331000
2025-07-16,117331000
2025-07-18,117331000
2025-07-23,117331000
2025-07-24,117331000
2025-07-25,117331000
2025-07-26,117331000
2025-07-29,117331000
2025-08-03,117552000
2025-08-05,117331000
2025-08-06,117331000
2025-08-07,128170000
2025-08-07,117331000
2025-08-08,117331000
2025-08-08,122584000
2025-08-09,117820000
2025-08-10,117820000
2025-08-12,117820000
2025-08-14,117820000
2025-08-15,117820000
2025-08-19,117820000
2025-08-23,117820000
2025-08-30,119566000
2025-08-30,117820000
2025-09-03,117820000
2025-09-05,117820000
2025-09-05,118379000
2025-09-11,117820000
2025-09-12,117820000
2025-09-13,117820000
2025-09-17,117819525
2025-09-20,117819525
2025-09-23,117819525
2025-09-25,117819525
2025-09-26,117819525
2025-09-27,117819525
2025-10-03,117819525
2025-10-06,117819525
2025-10-07,117819525
2025-10-08,117819525
2025-10-08,119718228
2025-10-09,117819525
2025-10-10,117819525
2025-10-14,117819525
2025-10-17,117819525
2025-10-18,117819525
2025-10-23,117819525
2025-10-24,117819525
2025-10-27,118003762
2025-10-28,117819525
2025-10-31,117819525
2025-11-05,119319784
2025-11-06,119319784
2025-11-08,119319784
2025-11-13,119319784
2025-11-14,119319784
2025-11-15,119319784
2025-11-17,119319784
2026-01-14,142310813
2026-03-24,159372567
2026-04-28,159961860
2026-05-19,160452309
