Date,Shares
2025-04-08,144139008
2025-04-22,146596000
2025-04-23,167840000
2025-04-23,144071008
2025-04-24,143928000
2025-04-25,143928000
2025-04-26,143928000
2025-04-30,143928000
2025-04-30,144288992
2025-05-06,143928000
2025-05-07,143928000
2025-05-07,145655008
2025-05-08,143928000
2025-05-10,143928000
2025-05-10,144450000
2025-05-16,143928000
2025-05-22,143928000
2025-05-24,143928000
2025-05-28,143928000
2025-05-29,143928000
2025-05-29,143974000
2025-06-04,143928000
2025-06-05,143928000
2025-06-06,144863008
2025-06-06,143928000
2025-06-07,143928000
2025-06-10,143928000
2025-06-11,144682000
2025-06-11,143928000
2025-06-16,149483008
2025-06-17,143928000
2025-06-18,146640000
2025-06-19,143928000
2025-06-21,143928000
2025-06-25,143928000
2025-07-03,143928000
2025-07-04,143928000
2025-07-08,144803008
2025-07-09,143928000
2025-07-10,143928000
2025-07-11,143928000
2025-07-11,145608000
2025-07-16,143928000
2025-07-19,143928000
2025-07-22,143928000
2025-07-23,143276000
2025-07-24,143183008
2025-07-26,143183008
2025-07-30,143183008
2025-08-05,143183008
2025-08-07,143183008
2025-08-07,143343008
2025-08-07,143648992
2025-08-08,143183008
2025-08-12,143183008
2025-08-14,143183008
2025-08-16,143183008
2025-08-19,143183008
2025-08-20,143183008
2025-08-21,143183008
2025-08-26,143183008
2025-08-28,143183008
2025-08-29,143183008
2025-08-30,143183008
2025-09-04,143183008
2025-09-05,143492000
2025-09-05,143183008
2025-09-06,143183008
2025-09-11,143183008
2025-09-12,143183008
2025-09-16,143183008
2025-09-17,143182982
2025-09-17,143183008
2025-09-20,143182982
2025-09-20,143362888
2025-09-24,143182982
2025-09-25,143182982
2025-09-26,143182982
2025-09-26,143305200
2025-09-27,143182982
2025-09-30,143310740
2025-10-01,143182982
2025-10-03,143182982
2025-10-06,143182982
2025-10-07,143182982
2025-10-08,143182982
2025-10-11,143182982
2025-10-18,143182982
2025-10-18,144261972
2025-10-22,142790278
2025-10-23,142720067
2025-10-24,142757775
2025-10-24,142720067
2025-10-25,142720067
2025-10-27,145026291
2025-10-28,142720067
2025-10-29,142720067
2025-11-06,142720067
2025-11-07,142720067
2025-11-08,142720067
2025-11-13,142720067
2025-11-17,143182982
2026-01-28,142720067
2026-01-29,141921621
2026-02-04,142720067
2026-04-07,142033159
2026-04-21,142033476
2026-07-22,142062680
2026-07-23,142063026
