Date,Shares
2025-04-22,110300000
2025-04-23,106777000
2025-04-24,106777000
2025-04-25,106777000
2025-04-26,106777000
2025-05-01,109652000
2025-05-01,106823000
2025-05-02,106875000
2025-05-07,106875000
2025-05-08,106875000
2025-05-09,106875000
2025-05-10,106875000
2025-05-14,106875000
2025-05-20,106875000
2025-05-23,106875000
2025-05-29,110655000
2025-05-29,106875000
2025-05-30,106875000
2025-05-31,108688000
2025-05-31,106875000
2025-06-04,106875000
2025-06-05,106875000
2025-06-06,107958000
2025-06-06,106875000
2025-06-07,106875000
2025-06-10,106875000
2025-06-11,106875000
2025-06-12,106875000
2025-06-14,106875000
2025-06-17,107693000
2025-06-17,106875000
2025-06-18,108474000
2025-06-18,106875000
2025-06-19,107174000
2025-06-19,106875000
2025-06-21,106875000
2025-06-24,106875000
2025-07-04,106875000
2025-07-08,106875000
2025-07-08,107551000
2025-07-09,106875000
2025-07-10,106875000
2025-07-11,106875000
2025-07-12,107575000
2025-07-12,106875000
2025-07-15,106875000
2025-07-18,106875000
2025-07-19,106875000
2025-07-23,106875000
2025-07-25,106875000
2025-07-26,106875000
2025-07-28,108025000
2025-07-29,106875000
2025-07-30,106875000
2025-07-31,106875000
2025-08-05,106875000
2025-08-06,106875000
2025-08-07,106794000
2025-08-12,106794000
2025-08-13,106794000
2025-08-14,106794000
2025-08-15,106794000
2025-08-18,106982000
2025-08-19,106794000
2025-08-21,106794000
2025-08-22,106794000
2025-08-23,106794000
2025-09-03,106794000
2025-09-04,106794000
2025-09-06,106794000
2025-09-09,106794000
2025-09-10,106794000
2025-09-16,106794000
2025-09-17,106794000
2025-09-17,106793835
2025-09-19,106793835
2025-09-20,106793835
2025-09-23,107542298
2025-09-23,106793835
2025-09-25,106793835
2025-09-26,106793835
2025-10-07,106793835
2025-10-08,106793835
2025-10-11,106793835
2025-10-15,106793835
2025-10-15,107228411
2025-10-16,106793835
2025-10-21,106793835
2025-10-23,106793835
2025-10-24,106793835
2025-10-25,106996865
2025-10-25,106793835
2025-10-28,106793835
2025-10-28,107459616
2025-10-28,107086491
2025-10-29,106793835
2025-10-30,106793835
2025-11-06,106488582
2025-11-08,106488582
2025-11-13,106488582
2025-11-15,109865081
2025-11-17,106793835
2026-02-26,106488583
2026-03-05,107011496
2026-04-30,106969344
2026-05-01,106978521
2026-07-30,106805394
