Date,Shares
2025-05-01,77082304
2025-05-02,77082304
2025-05-03,77082304
2025-05-06,81996800
2025-05-06,77082304
2025-05-07,77352600
2025-05-07,77082304
2025-05-10,77082304
2025-05-14,77082304
2025-05-15,77083400
2025-05-16,77083400
2025-05-17,77083400
2025-05-20,77083400
2025-05-23,77083400
2025-05-28,79273000
2025-05-28,77083400
2025-05-29,77083400
2025-05-29,82745800
2025-05-30,77083400
2025-06-03,77083400
2025-06-03,79186200
2025-06-04,77083400
2025-06-05,77083400
2025-06-06,77083400
2025-06-07,77083400
2025-06-11,77083400
2025-06-11,84630600
2025-06-13,77083400
2025-06-14,78053000
2025-06-14,77083400
2025-06-17,126848000
2025-06-17,156244000
2025-06-18,127739000
2025-06-18,127051000
2025-06-19,127051000
2025-06-20,142576000
2025-06-24,142576000
2025-06-24,147216992
2025-06-25,142576000
2025-06-26,142576000
2025-06-26,147115008
2025-06-27,142576000
2025-06-28,150004992
2025-06-28,142576000
2025-07-01,142576000
2025-07-03,142576000
2025-07-08,142576000
2025-07-08,147272992
2025-07-08,145680992
2025-07-09,142576000
2025-07-10,142576000
2025-07-11,142576000
2025-07-15,142576000
2025-07-19,142576000
2025-07-22,142576000
2025-07-24,142576000
2025-07-26,142576000
2025-07-31,142576000
2025-08-02,142576000
2025-08-02,146892992
2025-08-05,142576000
2025-08-06,142576000
2025-08-07,142576000
2025-08-07,206260992
2025-08-07,153087008
2025-08-08,142576000
2025-08-09,144040000
2025-08-12,144040000
2025-08-15,144040000
2025-08-16,144040000
2025-08-19,144040000
2025-08-23,144040000
2025-08-27,144040000
2025-08-29,144040000
2025-08-30,144040000
2025-08-30,148728000
2025-09-05,144040000
2025-09-05,145970000
2025-09-12,144040000
2025-09-13,144040000
2025-09-16,144040000
2025-09-17,144039944
2025-09-17,144040000
2025-09-19,155188092
2025-09-20,156359323
2025-09-20,155188092
2025-09-26,155188092
2025-09-26,161942931
2025-10-02,155188092
2025-10-03,155188092
2025-10-08,158724739
2025-10-08,155188092
2025-10-09,155188092
2025-10-10,164421487
2025-10-11,164421487
2025-10-15,164421487
2025-10-18,176386915
2025-10-18,164421487
2025-10-23,164421487
2025-10-24,164421487
2025-10-28,164421487
2025-11-01,164421487
2025-11-04,164421487
2025-11-05,164421487
2025-11-06,164421487
2025-11-07,165150782
2025-11-08,165150783
2025-11-12,165150783
2025-11-14,165150783
2025-11-15,169729825
2025-11-17,165150783
2026-03-03,191915804
2026-03-06,191975804
2026-04-14,198918728
2026-07-11,238825345
2026-08-11,249992609
