Date,Shares
2025-05-07,113426000
2025-05-07,113073000
2025-05-09,113073000
2025-05-10,113073000
2025-05-14,112716000
2025-05-17,112716000
2025-05-20,112716000
2025-05-22,112716000
2025-05-23,112716000
2025-05-29,112969000
2025-05-29,112716000
2025-06-03,112716000
2025-06-04,112951000
2025-06-04,112716000
2025-06-06,112716000
2025-06-07,112716000
2025-06-10,112716000
2025-06-11,112716000
2025-06-14,112716000
2025-06-14,115302000
2025-06-17,114085000
2025-06-18,112716000
2025-06-19,112716000
2025-06-25,112716000
2025-06-27,112716000
2025-06-28,112716000
2025-07-03,112716000
2025-07-08,112976000
2025-07-08,115424000
2025-07-08,112716000
2025-07-09,112716000
2025-07-10,112716000
2025-07-11,114270000
2025-07-11,112716000
2025-07-11,113334000
2025-07-12,112716000
2025-07-15,112716000
2025-07-16,112716000
2025-07-19,112716000
2025-07-25,112716000
2025-07-29,112716000
2025-07-30,112716000
2025-07-31,112716000
2025-08-02,112716000
2025-08-05,112716000
2025-08-07,118660000
2025-08-07,112716000
2025-08-08,112434000
2025-08-12,112434000
2025-08-15,112434000
2025-08-19,112434000
2025-08-20,112434000
2025-08-27,112434000
2025-08-28,112434000
2025-08-29,112434000
2025-09-03,112434000
2025-09-06,112434000
2025-09-10,112434000
2025-09-11,112434000
2025-09-12,112434000
2025-09-16,112434000
2025-09-17,112434000
2025-09-17,112434397
2025-09-20,112673605
2025-09-20,112434397
2025-09-23,113235267
2025-09-23,112434397
2025-09-26,112434397
2025-09-26,113244515
2025-09-27,112434397
2025-10-03,112434397
2025-10-06,112434397
2025-10-08,112434397
2025-10-08,113855260
2025-10-09,112434397
2025-10-14,112434397
2025-10-15,112434397
2025-10-18,112550822
2025-10-18,112434397
2025-10-24,112648870
2025-10-24,112434397
2025-10-25,112434397
2025-10-27,112434397
2025-10-30,112434397
2025-10-31,112434397
2025-11-01,112434397
2025-11-04,112434397
2025-11-07,112434397
2025-11-08,112434397
2025-11-14,112273567
2025-11-15,113035692
2025-11-17,112434398
2025-12-24,112433185
2026-02-07,112433186
2026-05-06,111273953
2026-08-07,111273953
2026-08-07,111048676
