Date,Shares
2025-04-10,47737200
2025-04-11,47737200
2025-04-17,47737200
2025-04-22,47843800
2025-04-23,47737200
2025-04-25,47167300
2025-04-26,47501700
2025-04-29,47167300
2025-05-10,47443900
2025-05-10,47167300
2025-05-29,47167300
2025-05-29,49044300
2025-05-29,47179600
2025-05-30,47167300
2025-06-04,47167300
2025-06-04,46872800
2025-06-05,47702300
2025-06-05,46872800
2025-06-06,46872800
2025-06-07,46872800
2025-06-10,46872800
2025-06-10,47687800
2025-06-11,46872800
2025-06-12,46872800
2025-06-14,46872800
2025-06-16,47064800
2025-06-17,46872800
2025-06-18,47186200
2025-06-19,46872800
2025-06-25,46872800
2025-07-01,46872800
2025-07-02,46872800
2025-07-08,47283500
2025-07-08,47028800
2025-07-08,46872800
2025-07-09,46872800
2025-07-10,47207200
2025-07-10,46872800
2025-07-11,48164600
2025-07-12,46872800
2025-07-15,46872800
2025-07-16,46872800
2025-07-18,46872800
2025-07-19,46872800
2025-07-22,46872800
2025-07-24,46872800
2025-07-25,46872800
2025-07-26,46872800
2025-07-30,46872800
2025-08-01,46872800
2025-08-02,46872800
2025-08-03,46961900
2025-08-05,46872800
2025-08-06,46872800
2025-08-07,46889100
2025-08-07,46872800
2025-08-09,46872800
2025-08-12,46872800
2025-08-13,46872800
2025-08-14,46872800
2025-08-16,46872800
2025-08-21,46872800
2025-08-22,46872800
2025-08-23,46872800
2025-08-26,46872800
2025-08-27,46872800
2025-08-29,46872800
2025-09-04,46872800
2025-09-05,50354500
2025-09-05,46872800
2025-09-06,46022000
2025-09-11,46022000
2025-09-16,46022000
2025-09-17,46022000
2025-09-17,46022001
2025-09-18,46022001
2025-09-19,46022001
2025-09-20,46022001
2025-09-23,47142497
2025-09-23,46022001
2025-09-24,46022001
2025-09-25,46022001
2025-09-26,47352472
2025-09-26,46022001
2025-09-27,46022001
2025-09-30,46022001
2025-10-03,46022001
2025-10-06,46022001
2025-10-07,46022001
2025-10-08,46754025
2025-10-08,46022001
2025-10-10,46022001
2025-10-14,46022001
2025-10-16,46022001
2025-10-18,46022001
2025-10-20,46022001
2025-10-24,49225786
2025-10-24,46022001
2025-10-25,46022001
2025-10-27,46456497
2025-10-28,46022001
2025-10-30,46022001
2025-10-31,46022001
2025-11-01,46022001
2025-11-04,46022001
2025-11-05,46022001
2025-11-06,46022001
2025-11-08,46022001
2025-11-13,46022001
2025-11-14,46022001
2025-11-15,46515131
2025-11-17,46872795
2025-12-09,46022001
2026-03-24,45127415
2026-04-24,43102387
2026-06-03,42276819
