Date,Shares
2025-05-07,103509000
2025-05-07,107443000
2025-05-10,103509000
2025-05-10,102539000
2025-05-16,116510000
2025-05-17,104110000
2025-05-27,91127104
2025-05-28,104110000
2025-05-29,104110000
2025-05-29,110749000
2025-05-30,104110000
2025-05-30,105520000
2025-05-30,109120000
2025-05-31,104110000
2025-06-04,106112000
2025-06-04,104110000
2025-06-05,104110000
2025-06-05,106749000
2025-06-10,103220000
2025-06-10,104110000
2025-06-11,104110000
2025-06-11,101507000
2025-06-14,103786000
2025-06-14,104110000
2025-06-16,98021296
2025-06-17,104110000
2025-06-18,97898496
2025-06-18,104110000
2025-06-18,107569000
2025-06-19,104110000
2025-07-08,103492000
2025-07-08,104110000
2025-07-08,110636000
2025-07-09,104110000
2025-07-10,104110000
2025-07-10,101991000
2025-07-11,106331000
2025-07-11,104110000
2025-07-11,101386000
2025-07-12,104110000
2025-08-03,104270000
2025-08-05,104110000
2025-08-08,102592000
2025-08-08,104110000
2025-08-08,105958000
2025-08-09,104110000
2025-08-16,105568000
2025-08-30,105568000
2025-08-30,102455000
2025-09-05,104362000
2025-09-05,109230000
2025-09-05,105568000
2025-09-06,105568000
2025-09-12,105568000
2025-09-12,99923000
2025-09-15,108399000
2025-09-16,105568000
2025-09-17,105568323
2025-09-23,106003357
2025-09-23,105568323
2025-09-25,105568323
2025-09-26,116565024
2025-09-26,105568323
2025-09-27,105568323
2025-09-30,106681242
2025-10-01,107817876
2025-10-02,106360878
2025-10-02,105568323
2025-10-02,105251301
2025-10-03,105568323
2025-10-06,105869947
2025-10-07,105568323
2025-10-08,109639828
2025-10-08,105568323
2025-10-09,105568323
2025-10-10,105568323
2025-10-14,94985681
2025-10-14,105568323
2025-10-14,105881118
2025-10-15,105568323
2025-10-16,105568323
2025-10-17,105568323
2025-10-18,105568323
2025-10-18,112942581
2025-10-21,113946761
2025-10-21,122677989
2025-10-22,123769758
2025-10-23,133260630
2025-10-25,134472090
2025-10-25,133260630
2025-10-27,143712444
2025-10-28,133260630
2025-11-01,124888234
2025-11-01,133260630
2025-11-05,146119112
2025-11-05,133260630
2025-11-12,135467155
2025-11-15,136826357
2025-11-17,135467155
2026-01-28,142866734
2026-03-24,143058639
2026-04-24,143243497
2026-05-13,148244097
2026-08-08,153739911
