Date,Shares
2025-04-08,52702500
2025-04-09,52702500
2025-04-11,52702500
2025-04-11,56126400
2025-04-12,52702500
2025-04-15,52702500
2025-04-22,56244400
2025-04-23,52702500
2025-04-24,52702500
2025-04-25,52702500
2025-04-26,52702500
2025-04-29,52702500
2025-04-30,52702500
2025-05-01,53463900
2025-05-01,52702500
2025-05-02,52702500
2025-05-07,52702500
2025-05-08,52702500
2025-05-09,52702500
2025-05-10,52702500
2025-05-13,52702500
2025-05-14,52702500
2025-05-15,52702500
2025-05-17,52702500
2025-05-20,52702500
2025-05-23,52702500
2025-05-24,52702500
2025-05-30,53085300
2025-05-30,52702500
2025-05-31,52702500
2025-05-31,53131200
2025-06-03,52702500
2025-06-04,52702500
2025-06-06,52702500
2025-06-11,52702500
2025-06-12,52702500
2025-06-17,52702500
2025-06-18,53721600
2025-06-18,52702500
2025-06-19,52702500
2025-06-27,52702500
2025-06-28,52702500
2025-06-30,52781400
2025-07-01,52702500
2025-07-01,53180000
2025-07-02,52702500
2025-07-03,52702500
2025-07-04,52702500
2025-07-08,52702500
2025-07-08,52911200
2025-07-09,53641500
2025-07-09,52702500
2025-07-10,52702500
2025-07-11,53380100
2025-07-11,52702500
2025-07-16,52702500
2025-07-17,52702500
2025-07-18,52702500
2025-07-19,52702500
2025-07-22,52702500
2025-07-23,52702500
2025-07-26,52702500
2025-07-28,53012400
2025-07-29,52702500
2025-08-06,52702500
2025-08-07,52702500
2025-08-08,52743200
2025-08-08,52702500
2025-08-09,52743200
2025-08-14,52743200
2025-08-20,52743200
2025-08-30,52743200
2025-08-30,53629200
2025-09-09,52743200
2025-09-11,52743200
2025-09-12,52743200
2025-09-13,52743200
2025-09-16,52743200
2025-09-17,52743200
2025-09-18,52743248
2025-09-20,52743248
2025-09-23,52743248
2025-09-25,52743248
2025-09-26,53112197
2025-09-26,52743248
2025-09-27,52743248
2025-10-02,54133188
2025-10-02,52743248
2025-10-02,53504405
2025-10-03,52743248
2025-10-06,52743248
2025-10-08,53796230
2025-10-08,52743248
2025-10-09,52743248
2025-10-10,52743248
2025-10-15,52743248
2025-10-16,52743248
2025-10-18,52743248
2025-10-21,52743248
2025-10-23,52743248
2025-10-24,52743248
2025-10-27,52835349
2025-10-28,52743248
2025-10-29,52743248
2025-11-01,53001640
2025-11-01,52743248
2025-11-05,52743248
2025-11-05,54741585
2025-11-06,52743248
2025-11-11,52743248
2025-11-12,52743248
2025-11-14,52743248
2025-11-15,53243184
2025-11-17,52743248
2026-03-06,52791451
2026-04-11,52791452
2026-08-07,52569117
2026-08-07,52614703
