Date,Shares
2025-04-26,180539008
2025-04-29,180539008
2025-04-30,180539008
2025-05-01,180539008
2025-05-07,180539008
2025-05-07,183136992
2025-05-08,180539008
2025-05-09,180539008
2025-05-10,180539008
2025-05-13,180539008
2025-05-15,180539008
2025-05-16,180539008
2025-05-20,180539008
2025-05-24,180539008
2025-05-29,180539008
2025-05-29,182296000
2025-05-31,180539008
2025-06-03,180539008
2025-06-04,180539008
2025-06-06,180539008
2025-06-07,180539008
2025-06-10,180539008
2025-06-11,180539008
2025-06-14,180539008
2025-06-14,181519008
2025-06-16,180866000
2025-06-17,181431008
2025-06-17,180539008
2025-06-18,180539008
2025-06-18,181128000
2025-06-19,180539008
2025-06-24,180539008
2025-06-25,180539008
2025-06-26,180539008
2025-06-27,180539008
2025-06-28,180539008
2025-07-02,180539008
2025-07-04,180539008
2025-07-08,180539008
2025-07-08,182447008
2025-07-09,180539008
2025-07-10,180539008
2025-07-11,186580992
2025-07-11,180539008
2025-07-11,180984992
2025-07-12,180539008
2025-07-19,180539008
2025-07-23,180539008
2025-07-25,178204992
2025-07-28,178204992
2025-07-29,178204992
2025-07-31,178204992
2025-08-01,178204992
2025-08-02,178204992
2025-08-02,179451008
2025-08-07,179931008
2025-08-07,178412992
2025-08-07,178204992
2025-08-08,178204992
2025-08-09,178204992
2025-08-12,178204992
2025-08-16,178204992
2025-08-23,178204992
2025-08-28,178204992
2025-08-30,178204992
2025-09-04,178204992
2025-09-05,178204992
2025-09-06,178204992
2025-09-09,178204992
2025-09-11,178204992
2025-09-12,178204992
2025-09-15,178204992
2025-09-16,178204992
2025-09-17,178205295
2025-09-18,178205295
2025-09-20,178844635
2025-09-20,178205295
2025-09-23,178482774
2025-09-23,178205295
2025-09-25,178205295
2025-09-26,178205295
2025-09-26,179092534
2025-09-27,178205295
2025-09-30,178205295
2025-10-02,178205295
2025-10-03,178205295
2025-10-08,183046577
2025-10-08,178205295
2025-10-11,178205295
2025-10-17,178205295
2025-10-18,178840491
2025-10-18,178205295
2025-10-24,176224064
2025-10-24,185179228
2025-10-27,177866515
2025-10-28,176224064
2025-10-29,176224064
2025-10-30,176224064
2025-10-31,176224064
2025-11-01,176224064
2025-11-06,176224064
2025-11-07,176224064
2025-11-15,177817765
2025-11-17,178205295
2026-02-13,174162437
2026-03-11,174162437
2026-04-23,174098891
2026-05-05,173888981
2026-07-30,173888981
2026-07-30,171986917
