Date,Shares
2025-04-10,21858800
2025-04-11,20669300
2025-04-16,20669300
2025-04-17,20669300
2025-04-18,21032300
2025-04-18,20669300
2025-04-22,21679200
2025-04-23,20669300
2025-04-24,20669300
2025-04-25,20669300
2025-04-29,20669300
2025-04-30,20669300
2025-05-01,20669300
2025-05-02,20669300
2025-05-07,20669300
2025-05-08,20669700
2025-05-09,20669700
2025-05-10,20669700
2025-05-10,21034600
2025-05-14,20669700
2025-05-15,20669700
2025-05-16,20669700
2025-05-17,20669700
2025-05-22,20669700
2025-05-24,20669700
2025-05-27,20669700
2025-05-29,20669700
2025-05-29,20942000
2025-05-30,20669700
2025-06-03,20669700
2025-06-04,20669700
2025-06-05,20669700
2025-06-05,20702800
2025-06-07,20669700
2025-06-10,20669700
2025-06-10,20725500
2025-06-11,20669700
2025-06-12,20669700
2025-06-13,20669700
2025-06-14,20669700
2025-06-14,21059300
2025-06-17,20669700
2025-06-17,21275800
2025-06-18,20669700
2025-06-19,20669700
2025-06-24,20669700
2025-06-25,20669700
2025-06-27,20669700
2025-07-01,20669700
2025-07-02,20669700
2025-07-08,20669700
2025-07-08,20979500
2025-07-10,20669700
2025-07-11,20893700
2025-07-11,20669700
2025-07-11,20847500
2025-07-12,20669700
2025-07-15,20669700
2025-07-16,20669700
2025-07-18,20669700
2025-07-26,20669700
2025-08-01,20676300
2025-08-03,20694700
2025-08-05,20676300
2025-08-07,20676300
2025-08-08,20676300
2025-08-08,20908000
2025-08-08,20805500
2025-08-09,20676300
2025-08-16,20676300
2025-08-19,20676300
2025-08-22,20676300
2025-08-23,20676300
2025-09-04,20676300
2025-09-05,20676300
2025-09-06,20676300
2025-09-09,20676300
2025-09-16,20676300
2025-09-18,20676320
2025-09-20,20676320
2025-09-23,20676320
2025-09-24,20676320
2025-09-26,20676320
2025-09-26,20731501
2025-09-27,20676320
2025-10-01,20676320
2025-10-02,20676320
2025-10-03,20676320
2025-10-06,20853772
2025-10-07,20676320
2025-10-08,20676320
2025-10-08,20767859
2025-10-10,20676320
2025-10-14,20676320
2025-10-15,20676320
2025-10-16,20676320
2025-10-25,20676320
2025-10-27,21075979
2025-10-28,20676320
2025-10-29,20686361
2025-10-30,23039302
2025-10-31,23392243
2025-11-01,23392243
2025-11-03,23392243
2025-11-03,23402600
2025-11-05,23715409
2025-11-05,23392243
2025-11-07,23392243
2025-11-13,23392243
2025-11-14,23392243
2025-11-17,23392243
2026-02-06,27980009
2026-03-03,27985812
2026-03-19,27991027
2026-03-27,28055393
2026-05-06,28055592
2026-05-12,28057152
2026-08-11,28064972
