Date,Shares
2025-04-10,62367100
2025-04-11,59359900
2025-04-15,59359900
2025-04-17,59359900
2025-04-18,59359900
2025-04-18,59503700
2025-04-22,60779000
2025-04-23,59359900
2025-04-25,59359900
2025-04-26,59359900
2025-05-03,59501300
2025-05-04,59501300
2025-05-06,59501300
2025-05-07,59501300
2025-05-08,59501300
2025-05-09,59501300
2025-05-10,59501300
2025-05-13,59501300
2025-05-15,59501300
2025-05-16,59501300
2025-05-17,59501300
2025-05-23,59501300
2025-05-24,59501300
2025-05-28,59501300
2025-05-29,60059300
2025-05-29,59501300
2025-05-30,59949600
2025-05-31,59501300
2025-06-03,59501300
2025-06-05,59501300
2025-06-06,59501300
2025-06-06,59802200
2025-06-07,59501300
2025-06-11,60754900
2025-06-11,59501300
2025-06-13,59501300
2025-06-14,59501300
2025-06-14,60242300
2025-06-17,59501300
2025-06-18,59501300
2025-06-20,59771400
2025-06-21,59501300
2025-06-24,59501300
2025-06-26,59501300
2025-06-28,59501300
2025-06-30,59744200
2025-07-01,59501300
2025-07-02,59501300
2025-07-02,59654700
2025-07-03,59501300
2025-07-04,59501300
2025-07-08,59501300
2025-07-09,60370500
2025-07-09,59501300
2025-07-11,59501300
2025-07-12,59782800
2025-07-12,59501300
2025-07-15,59501300
2025-07-16,59501300
2025-07-17,59501300
2025-07-19,59501300
2025-07-22,59501300
2025-07-23,59501300
2025-07-24,59501300
2025-07-29,59501300
2025-07-30,59501300
2025-08-03,59968500
2025-08-04,59968500
2025-08-05,59966200
2025-08-06,59966200
2025-08-08,59966200
2025-08-08,60222200
2025-08-09,60492400
2025-08-09,59966200
2025-08-12,59966200
2025-08-14,59966200
2025-08-15,59966200
2025-08-19,59966200
2025-08-20,59966200
2025-08-21,59966200
2025-08-22,59966200
2025-08-26,59966200
2025-09-04,59966200
2025-09-05,59966200
2025-09-06,59966200
2025-09-06,60395900
2025-09-09,59966200
2025-09-10,59966200
2025-09-11,59966200
2025-09-12,59966200
2025-09-17,59966221
2025-09-20,59966221
2025-09-25,59966221
2025-09-27,59966221
2025-09-30,60731799
2025-10-01,59966221
2025-10-02,59966221
2025-10-06,59966221
2025-10-07,59966221
2025-10-08,60630924
2025-10-08,59966221
2025-10-09,59966221
2025-10-10,59966221
2025-10-11,59966221
2025-10-15,60884229
2025-10-15,59966221
2025-10-16,59966221
2025-10-18,59966221
2025-10-21,59966221
2025-10-24,59966221
2025-10-25,59966221
2025-10-28,60863864
2025-10-28,59966221
2025-10-29,59966221
2025-10-31,59966221
2025-11-01,59966221
2025-11-05,59966221
2025-11-08,59966221
2025-11-12,59966221
2025-11-13,59966221
2025-11-14,59966221
2025-11-15,60622433
2025-11-17,59966221
2025-11-27,59966222
2025-12-16,59996788
2026-02-06,59996789
2026-04-23,59615869
2026-05-05,59582861
2026-08-01,59045820
