## RECON BUY TICKERS 23SEP26

Ticker	Award Date	Pred Gain	Sell Price	Sell Date	%Gain
DE	21SEP26	+22%			
SATL	21SEP26	+87%			

## LARGE / FRAMEWORK AWARD WATCH - NOT BUY-SCORED
Ticker	Award ID	Obligated	Potential/Ceiling	Type	Detected
ACN	1333BJ21F00280023	$61.5M		DELIVERY ORDER	23SEP26
ACN	19AQMM25F7037	$126.6M		BPA CALL	23SEP26
ACN	75R60224D00037	$2.5K		INDEFINITE DELIVERY / INDEFINITE QUANTITY	23SEP26
ACN	89603024F0002	$141.9M		BPA CALL	23SEP26
BAH	47QFCA24F0003	$281.8M		DELIVERY ORDER	23SEP26
BAH	47QFCA25F0033	$294.9M		DELIVERY ORDER	23SEP26
BAH	47QFMA24F0029	$58.6M		DELIVERY ORDER	23SEP26
GD	47QFCA25F0018	$221.2M		DELIVERY ORDER	23SEP26
GD	75FCMC25FJ022	$566.4M		DELIVERY ORDER	23SEP26
LDOS	89243318CFE000003	$1.08B		DEFINITIVE CONTRACT	23SEP26
NOC	N0003016C0015	$212.4M		DEFINITIVE CONTRACT	23SEP26
NOC	N0003022C1013	$485.5M		DEFINITIVE CONTRACT	23SEP26
PSN	47QFCA23F0024	$534.6M		DELIVERY ORDER	23SEP26
NOTE: watch-only. MD14/MD11 remain transaction-trained and unchanged.
