Date,Shares
2024-02-15,610134976
2024-02-17,610134976
2024-02-21,610134976
2024-02-24,610134976
2024-02-27,610134976
2024-02-28,610134976
2024-03-01,610134976
2024-03-02,610134976
2024-03-05,610134976
2024-03-07,610134976
2024-03-12,629153024
2024-03-12,610134976
2024-03-14,610134976
2024-03-16,610134976
2024-03-19,610134976
2024-03-20,610134976
2024-03-22,610395008
2024-03-22,610134976
2024-03-23,610134976
2024-03-26,622859008
2024-03-27,610134976
2024-03-28,610134976
2024-03-29,610134976
2024-04-03,610134976
2024-04-04,620430016
2024-04-04,610134976
2024-04-05,610134976
2024-04-06,610134976
2024-04-09,615444992
2024-04-09,613160000
2024-04-10,613160000
2024-04-11,613160000
2024-04-16,619481024
2024-04-16,613160000
2024-04-17,613160000
2024-04-20,613160000
2024-04-23,613160000
2024-04-25,613884032
2024-04-25,631257024
2024-04-30,613884032
2024-05-01,613884032
2024-05-04,613884032
2024-05-06,618841024
2024-05-07,613884032
2024-05-11,613884032
2024-05-11,623307008
2024-05-14,613884032
2024-05-15,613884032
2024-05-16,613884032
2024-05-17,613884032
2024-05-18,613884032
2024-05-21,619964032
2024-05-22,613884032
2024-05-23,613884032
2024-05-24,613884032
2024-05-24,664040000
2024-05-29,613884032
2024-05-31,613884032
2024-06-01,613884032
2024-06-06,613884032
2024-06-08,613884032
2024-06-12,629172992
2024-06-12,613884032
2024-06-13,613884032
2024-06-13,623395008
2024-06-14,613884032
2024-06-15,613884032
2024-06-19,613884032
2024-06-21,613884032
2024-07-02,613884032
2024-07-03,613884032
2024-07-03,618121984
2024-07-06,613884032
2024-07-09,613884032
2024-07-10,613884032
2024-07-10,622595008
2024-07-11,613884032
2024-07-13,613884032
2024-07-16,613884032
2024-07-17,613884032
2024-07-18,613884032
2024-07-18,617902976
2024-07-19,613884032
2024-07-20,613884032
2024-07-23,613884032
2024-07-24,613884032
2024-07-26,613884032
2024-07-31,613884032
2024-08-01,616166976
2024-08-02,616166976
2024-08-03,616166976
2024-08-10,619689984
2024-08-10,616166976
2024-08-12,630358016
2024-08-13,616166976
2024-08-14,616222976
2024-08-17,616222976
2024-08-20,616222976
2024-08-20,617424000
2024-08-22,616222976
2024-08-23,616222976
2024-08-24,616222976
2024-08-27,616222976
2024-08-27,621481024
2024-08-28,616222976
2024-08-29,624670016
2024-08-29,616222976
2024-08-30,616222976
2024-08-31,616222976
2024-09-04,616222976
2024-09-04,664902976
2024-09-05,616222976
2024-09-06,616222976
2024-09-06,620289984
2024-09-07,616222976
2024-09-07,633934016
2024-09-10,616222976
2024-09-11,616222976
2024-09-11,627156992
2024-09-12,616222976
2024-09-16,621057024
2024-09-17,616222976
2024-09-18,616222976
2024-09-19,616222976
2024-09-20,616222976
2024-09-20,618296000
2024-09-21,621449024
2024-09-21,616222976
2024-09-24,616222976
2024-09-26,616222976
2024-09-27,616222976
2024-09-28,616222976
2024-10-04,616222976
2024-10-04,625926016
2024-10-05,616222976
2024-10-09,616222976
2024-10-12,616222976
2024-10-14,624620032
2024-10-15,616222976
2024-10-16,616222976
2024-10-17,616222976
2024-10-18,616222976
2024-10-18,617854016
2024-10-19,616222976
2024-10-24,618201024
2024-10-25,626377024
2024-10-25,625609984
2024-10-29,618201024
2024-10-30,618201024
2024-10-31,730700992
2024-11-01,755072000
2024-11-01,747576000
2024-11-05,747576000
2024-11-06,767726016
2024-11-06,747576000
2024-11-07,767083008
2024-11-07,747576000
2024-11-09,747576000
2024-11-12,747576000
2024-11-16,747576000
2024-11-20,747576000
2024-11-23,747576000
2024-11-29,748176000
2024-12-03,748176000
2024-12-04,748176000
2024-12-04,755609024
2024-12-05,748176000
2024-12-06,755865024
2024-12-06,748176000
2024-12-07,748176000
2024-12-11,748176000
2024-12-13,748176000
2024-12-18,748176000
2024-12-20,748176000
2024-12-21,748176000
2024-12-27,748176000
2024-12-31,748176000
2025-01-01,748176000
2025-01-03,748176000
2025-01-07,748176000
2025-01-09,748176000
2025-01-11,748176000
2025-01-14,748176000
2025-01-14,754448000
2025-01-15,748176000
2025-01-16,748176000
2025-01-18,748176000
2025-01-23,748176000
2025-01-24,748176000
2025-01-25,748176000
2025-01-28,748176000
2025-01-29,749216000
2025-01-30,749216000
2025-02-01,749216000
2025-02-04,749216000
2025-02-05,750073984
2025-02-06,750073984
2025-02-07,750073984
2025-02-08,763753984
2025-02-08,750073984
2025-02-12,750073984
2025-02-15,750073984
2025-02-15,754222976
2025-02-25,750073984
2025-02-26,750073984
2025-02-27,750073984
2025-02-27,772745024
2025-03-01,750073984
2025-03-04,750073984
2025-03-04,770230976
2025-03-10,780604032
2025-03-11,752406976
2025-03-12,752406976
2025-03-15,752406976
2025-03-18,752406976
2025-03-20,752406976
2025-03-22,752406976
2025-03-25,752406976
2025-03-26,752406976
2025-03-27,752406976
2025-03-27,769432000
2025-04-01,752406976
2025-04-01,764584000
2025-04-02,752406976
2025-04-03,752406976
2025-04-04,752406976
2025-04-10,778049024
2025-04-10,752406976
2025-04-11,752406976
2025-04-15,752406976
2025-04-16,752406976
2025-04-17,752406976
2025-04-18,752406976
2025-04-22,764496000
2025-04-23,752406976
2025-04-24,753371008
2025-04-25,754006016
2025-04-30,755248000
2025-04-30,754006016
2025-05-01,754006016
2025-05-03,754006016
2025-05-07,756033024
2025-05-07,754006016
2025-05-09,754006016
2025-05-10,754006016
2025-05-13,754006016
2025-05-16,754006016
2025-05-23,754006016
2025-05-24,754006016
2025-05-27,758993984
2025-05-28,754006016
2025-05-30,757132992
2025-05-31,754006016
2025-06-04,754006016
2025-06-05,759163008
2025-06-05,754006016
2025-06-06,754006016
2025-06-06,764683008
2025-06-10,754006016
2025-06-11,754006016
2025-06-11,760227008
2025-06-13,754006016
2025-06-14,766915968
2025-06-14,754006016
2025-06-16,754006016
2025-06-17,754006016
2025-06-17,759427008
2025-06-18,754006016
2025-06-18,763846016
2025-06-19,754006016
2025-06-21,754006016
2025-06-26,761739008
2025-06-26,754006016
2025-06-27,754006016
2025-06-28,754006016
2025-07-01,754006016
2025-07-08,754385024
2025-07-08,754006016
2025-07-09,754006016
2025-07-11,754006016
2025-07-12,754006016
2025-07-15,754006016
2025-07-16,754006016
2025-07-17,754006016
2025-07-18,754006016
2025-07-22,754006016
2025-07-24,754006016
2025-07-25,754006016
2025-07-26,754006016
2025-07-30,756158016
2025-08-02,756158016
