Date,Shares
2024-02-15,22285100
2024-02-17,22285100
2024-02-21,22285100
2024-02-22,22285100
2024-02-28,22285100
2024-02-29,22285100
2024-03-05,22285100
2024-03-06,22285100
2024-03-07,22285100
2024-03-08,22285100
2024-03-12,22410900
2024-03-12,22285100
2024-03-14,22285100
2024-03-15,22401300
2024-03-15,22285100
2024-03-19,22285100
2024-03-22,22285100
2024-03-28,22285100
2024-04-13,22285100
2024-04-16,22285100
2024-04-16,22462200
2024-04-17,22285100
2024-04-23,22285100
2024-04-24,22285100
2024-04-26,22296400
2024-05-15,22350800
2024-05-16,22296400
2024-05-24,22389800
2024-05-24,22296400
2024-06-07,22452500
2024-06-07,22296400
2024-06-21,22346700
2024-06-21,22296400
2024-06-28,22296400
2024-06-28,22416900
2024-07-10,22402000
2024-07-10,22296400
2024-08-10,22303100
2024-08-17,22303100
2024-08-20,22303100
2024-08-21,22303100
2024-08-22,22303100
2024-08-24,22303100
2024-08-26,22491600
2024-08-27,22303100
2024-08-28,22303100
2024-08-29,22303100
2024-08-31,22303100
2024-09-04,22758600
2024-09-04,22303100
2024-09-05,22303100
2024-09-06,22303100
2024-09-06,22897600
2024-09-07,22303700
2024-09-10,22303700
2024-09-10,22303100
2024-09-11,22352600
2024-09-12,22303700
2024-09-13,22303700
2024-09-18,22550600
2024-09-18,22303700
2024-09-19,22303700
2024-09-20,22303700
2024-09-24,22303700
2024-09-25,22303700
2024-09-26,22303700
2024-09-28,22303700
2024-10-01,22303700
2024-10-03,22303700
2024-10-04,22303700
2024-10-05,22303700
2024-10-05,22325500
2024-10-11,22303700
2024-10-17,22303700
2024-10-18,22445200
2024-10-18,22303700
2024-10-19,22303700
2024-10-23,22303700
2024-10-24,22303700
2024-10-26,22408200
2024-10-30,22441600
2024-10-31,22408200
2024-11-01,22408200
2024-11-01,22812100
2024-11-05,22408200
2024-11-07,22435600
2024-11-07,22408200
2024-11-08,22408200
2024-11-09,22408200
2024-11-14,22408200
2024-11-15,24736000
2024-11-15,22408200
2024-11-16,22408200
2024-11-19,22408200
2024-11-20,22408200
2024-11-21,22408200
2024-11-23,22408200
2024-11-26,22408200
2024-11-27,22408200
2024-11-28,22408200
2024-11-28,23001100
2024-11-30,22428100
2024-12-03,22408200
2024-12-04,22408200
2024-12-04,22694000
2024-12-05,22408200
2024-12-13,23274200
2024-12-14,22408200
2024-12-18,22408200
2024-12-20,22408200
2024-12-21,22408200
2024-12-24,22408200
2024-12-25,22408200
2024-12-28,22408200
2025-01-03,22408200
2025-01-08,22408200
2025-01-11,22408200
2025-01-14,22408200
2025-01-15,22408200
2025-01-16,22408200
2025-01-18,22408200
2025-01-18,22501800
2025-01-22,22408200
2025-01-29,22419700
2025-02-01,22419700
2025-02-06,22419700
2025-02-08,22419700
2025-02-11,22419700
2025-02-13,22419700
2025-02-15,22717800
2025-02-15,22419700
2025-02-19,22419700
2025-02-20,22419700
2025-02-22,22419700
2025-02-25,22419700
2025-02-26,22419700
2025-02-28,22419700
2025-03-01,22419700
2025-03-04,22781000
2025-03-04,22419700
2025-03-05,22419700
2025-03-07,22419700
2025-03-08,22419700
2025-03-10,22916900
2025-03-11,22419700
2025-03-12,22419700
2025-03-14,22419700
2025-03-15,22419700
2025-03-18,22419700
2025-03-20,22419700
2025-03-21,22636500
2025-03-22,22419700
2025-03-26,22419700
2025-03-27,22419700
2025-03-28,22419700
2025-03-29,22419700
2025-04-01,22813800
2025-04-01,22419700
2025-04-02,22419700
2025-04-08,22419700
2025-04-09,22419700
2025-04-12,22419700
2025-04-17,22419700
2025-04-17,22543500
2025-04-22,22485600
2025-04-23,22419700
2025-04-26,22777900
2025-04-29,21990100
2025-04-30,21990100
2025-05-01,21990100
2025-05-03,21990100
2025-05-06,21990100
2025-05-06,22064800
2025-05-10,21990100
2025-05-13,21990100
2025-05-15,21990100
2025-05-21,21990100
2025-05-22,21990100
2025-05-23,21990100
2025-05-28,23001600
2025-05-29,21990100
2025-06-03,22610200
2025-06-03,21990100
2025-06-04,21990100
2025-06-04,22096100
2025-06-05,21990100
2025-06-10,22213700
2025-06-10,21990100
2025-06-10,22209400
2025-06-11,21990100
2025-06-12,21990100
2025-06-13,21990100
2025-06-14,21990100
2025-06-18,21990100
2025-06-19,21990100
2025-06-21,21990100
2025-06-24,21990100
2025-06-25,22254600
2025-06-25,21990100
2025-06-26,21990100
2025-06-28,22085000
2025-06-28,21990100
2025-07-09,22147300
2025-07-10,21990100
2025-07-11,21990100
2025-07-15,21990100
2025-07-16,21990100
2025-07-17,21990100
2025-07-17,22050400
2025-07-18,21990100
2025-07-19,21990100
2025-07-25,21990100
2025-07-29,21990100
2025-07-30,21990100
2025-08-01,21990100
2025-08-02,21990100
2025-08-06,21990100
2025-08-07,21990100
2025-08-09,21993400
2025-08-12,21993400
2025-08-13,21993400
2025-08-14,21993400
2025-08-20,21993400
2025-08-22,21993400
2025-08-26,21993400
2025-08-27,21993400
2025-08-28,21993400
2025-08-29,22330900
2025-08-29,21993400
2025-08-30,21993400
2025-09-04,21993400
2025-09-04,22440400
2025-09-04,22625400
2025-09-05,21993400
2025-09-06,21993400
2025-09-09,21993800
2025-09-09,22012500
2025-09-11,21993800
2025-09-12,21993800
2025-09-13,21993800
2025-09-16,21993800
2025-09-18,21993796
2025-09-20,21993796
2025-09-22,21993796
2025-09-23,21993796
2025-09-24,21993796
2025-09-26,21993796
2025-09-26,22963160
2025-09-27,21993796
2025-09-30,21993796
2025-10-03,21993796
2025-10-06,21993796
2025-10-08,21993796
2025-10-08,22120918
2025-10-10,21993796
2025-10-14,22092930
2025-10-14,21993796
2025-10-15,21993796
2025-10-17,21993796
2025-10-18,22096555
2025-10-18,21993796
2025-10-21,21993796
2025-10-24,22079710
2025-10-25,22079710
2025-10-28,22079710
2025-10-29,22079710
2025-11-01,22079710
2025-11-01,22118980
2025-11-04,22079710
2025-11-06,22079710
2025-11-07,22079710
2025-11-08,22079710
2025-11-15,22079710
2025-11-17,22079710
2026-01-24,22085774
