Date,Shares
2024-03-12,571699968
2024-03-12,574307008
2024-03-28,571851008
2024-03-29,571699968
2024-04-16,571699968
2024-04-16,576252992
2024-04-17,573084032
2024-04-17,571699968
2024-04-25,571804032
2024-04-25,571699968
2024-04-25,572481984
2024-04-26,571699968
2024-04-30,571699968
2024-04-30,572377024
2024-05-06,573313984
2024-05-07,571699968
2024-05-09,572099968
2024-05-10,572099968
2024-05-11,572099968
2024-05-11,572297984
2024-05-15,574451008
2024-05-16,572099968
2024-05-24,583238016
2024-05-24,572099968
2024-05-31,572099968
2024-05-31,572203008
2024-06-07,572099968
2024-06-07,584571008
2024-06-12,572099968
2024-06-12,578054016
2024-06-15,572099968
2024-06-15,583224000
2024-06-21,574956992
2024-06-21,572099968
2024-07-10,572099968
2024-07-10,574083968
2024-07-18,572099968
2024-07-18,575100032
2024-07-24,572099968
2024-07-24,573121024
2024-08-08,572000000
2024-08-10,577075008
2024-08-10,572000000
2024-08-13,572000000
2024-08-13,575441024
2024-08-17,572000000
2024-08-17,578657984
2024-09-04,572000000
2024-09-04,590894976
2024-09-06,577091968
2024-09-06,572000000
2024-09-07,572000000
2024-09-07,582369024
2024-09-11,572000000
2024-09-11,574771008
2024-09-21,576078976
2024-09-21,572000000
2024-10-04,572000000
2024-10-04,576382976
2024-10-25,574009984
2024-10-25,573321024
2024-10-29,572000000
2024-11-01,572000000
2024-11-01,575961984
2024-11-16,580185024
2024-11-16,570200000
2024-12-04,570200000
2024-12-04,571782016
2024-12-06,575252992
2024-12-06,570200000
2024-12-11,575851008
2024-12-11,570200000
2024-12-17,569531008
2024-12-17,569574976
2025-01-07,569531008
2025-01-07,575828992
2025-01-11,580928000
2025-01-11,569531008
2025-02-06,563900032
2025-02-08,578001024
2025-02-08,563900032
2025-02-15,563900032
2025-02-15,572860992
2025-03-04,585267968
2025-03-04,563900032
2025-03-10,598088000
2025-03-11,563900032
2025-03-26,563900032
2025-03-26,564241984
2025-03-27,563900032
2025-03-27,572388992
2025-03-28,571497024
2025-03-28,563900032
2025-04-10,590475008
2025-04-11,563900032
2025-04-22,582321984
2025-04-23,563900032
2025-05-07,563900032
2025-05-07,569734976
2025-05-09,562499968
2025-05-29,568278016
2025-05-29,562499968
2025-05-30,565043968
2025-05-31,562499968
2025-06-14,562499968
2025-06-14,567787008
2025-06-17,568284992
2025-06-18,562499968
2025-07-08,562499968
2025-07-08,568027008
2025-07-11,562499968
2025-07-11,566001024
2025-07-11,564788992
2025-07-12,562499968
2025-08-02,562499968
2025-08-02,577297984
2025-08-07,562800000
2025-08-07,590387968
2025-08-08,567460992
2025-08-08,562800000
2025-09-26,562800000
2025-09-26,570629283
2025-10-08,562800000
2025-10-08,576838969
2025-10-24,564963310
2025-10-25,562800000
2025-11-05,562800000
2025-11-05,572156846
2025-11-12,561800000
2025-11-15,565675090
2025-11-17,562800000
2025-12-16,562302093
2026-02-05,562302094
