Date,Shares
2024-02-16,39590700
2024-02-17,39590700
2024-02-22,39590700
2024-02-27,39590700
2024-03-02,39590700
2024-03-06,39590700
2024-03-07,39590700
2024-03-08,39590700
2024-03-12,40247900
2024-03-12,39590700
2024-03-13,39590700
2024-03-14,39590700
2024-03-15,39590700
2024-03-16,39590700
2024-03-19,39590700
2024-03-21,39608500
2024-03-22,39608500
2024-03-26,39735600
2024-03-27,39608500
2024-03-28,39608500
2024-04-13,39608500
2024-04-16,39608500
2024-04-16,39712200
2024-04-17,39753100
2024-04-17,39608500
2024-04-18,39608500
2024-04-20,39608500
2024-04-23,39608500
2024-04-25,39608500
2024-04-30,39608500
2024-05-03,39509600
2024-05-04,39433300
2024-05-07,39433300
2024-05-10,39433300
2024-05-11,39433300
2024-05-15,39812800
2024-05-16,39433300
2024-05-21,39717700
2024-05-21,39433300
2024-05-22,39433300
2024-05-23,39433300
2024-05-24,39684400
2024-05-24,39433300
2024-05-31,39433300
2024-06-01,39433300
2024-06-07,39579700
2024-06-07,39433300
2024-06-11,39433300
2024-06-12,39980000
2024-06-12,39433300
2024-06-13,39433300
2024-06-13,39637600
2024-06-14,39433300
2024-06-15,39731000
2024-06-15,39433300
2024-06-26,39433300
2024-06-27,39433300
2024-06-28,39433300
2024-06-28,39694200
2024-06-29,39433300
2024-07-02,39433300
2024-07-03,39433300
2024-07-04,39433300
2024-07-09,39433300
2024-07-10,39607700
2024-07-10,39433300
2024-07-13,39433300
2024-07-17,39433300
2024-07-18,39433300
2024-07-18,39480600
2024-07-19,39433300
2024-07-20,39433300
2024-07-23,39433300
2024-07-24,39433300
2024-07-25,39433300
2024-08-02,39260200
2024-08-03,39215200
2024-08-06,39215200
2024-08-08,39215200
2024-08-09,39215200
2024-08-10,39215200
2024-08-13,39215200
2024-08-14,39215200
2024-08-15,39215200
2024-08-20,39215200
2024-08-21,39215200
2024-08-23,39215200
2024-08-24,39215200
2024-08-27,39215200
2024-08-28,39215200
2024-08-29,39215200
2024-08-30,39227700
2024-08-31,39215200
2024-09-04,39215200
2024-09-04,40257400
2024-09-05,39383900
2024-09-05,39215200
2024-09-06,39698700
2024-09-06,39215200
2024-09-07,39215200
2024-09-07,39465800
2024-09-11,40248000
2024-09-11,39215200
2024-09-12,39710000
2024-09-12,39215200
2024-09-16,39215200
2024-09-17,39215200
2024-09-18,39215200
2024-09-19,39215200
2024-09-20,39360100
2024-09-20,39215200
2024-09-21,39215200
2024-09-21,39291500
2024-09-26,39215200
2024-09-28,39215200
2024-10-02,39215200
2024-10-04,39835200
2024-10-04,39215200
2024-10-05,39215200
2024-10-08,39215200
2024-10-10,39215200
2024-10-11,39215200
2024-10-15,39215200
2024-10-17,39215200
2024-10-18,39397300
2024-10-18,39215200
2024-10-24,39215200
2024-10-25,39550500
2024-10-25,39415400
2024-10-29,39431600
2024-10-29,39215200
2024-10-30,39215200
2024-10-31,39215200
2024-10-31,39727200
2024-11-01,53108900
2024-11-01,39215200
2024-11-02,39129300
2024-11-06,39129300
2024-11-07,39129300
2024-11-08,40195500
2024-11-08,39129300
2024-11-09,39129300
2024-11-12,39129300
2024-11-13,39129300
2024-11-15,39129300
2024-11-16,39129300
2024-11-16,39487200
2024-11-20,39129300
2024-11-22,39129300
2024-11-23,39129300
2024-11-26,39129300
2024-11-30,39416000
2024-12-03,39129300
2024-12-04,39129300
2024-12-04,39735000
2024-12-05,39129300
2024-12-06,39129300
2024-12-06,39962200
2024-12-07,39129300
2024-12-11,39594400
2024-12-11,39129300
2024-12-13,39266700
2024-12-14,39129300
2024-12-17,39129300
2024-12-18,39129300
2024-12-19,39129300
2024-12-21,39129300
2024-12-25,39129300
2024-12-27,39129300
2024-12-28,39129300
2024-12-31,39129300
2025-01-01,39129300
2025-01-07,39418600
2025-01-07,39129300
2025-01-08,39129300
2025-01-11,39129300
2025-01-14,39129300
2025-01-15,39129300
2025-01-16,39129300
2025-01-18,39129300
2025-01-29,39129300
2025-01-30,39129300
2025-02-01,39129300
2025-02-05,39129300
2025-02-06,39129300
2025-02-07,39130200
2025-02-08,39130200
2025-02-11,39130200
2025-02-12,39130200
2025-02-15,39130200
2025-02-19,39130200
2025-02-21,39130200
2025-02-27,39647600
2025-02-27,39130200
2025-03-04,39787300
2025-03-04,39130200
2025-03-06,39130200
2025-03-07,39130200
2025-03-08,39130200
2025-03-11,39130200
2025-03-14,39130200
2025-03-19,39130200
2025-03-20,39130200
2025-03-21,39130200
2025-03-22,39130200
2025-03-22,39176800
2025-03-25,39235600
2025-03-26,39235600
2025-03-27,39235600
2025-03-27,39258800
2025-03-27,39810800
2025-03-28,39235600
2025-04-01,39481700
2025-04-01,39235600
2025-04-03,39235600
2025-04-08,39235600
2025-04-09,39235600
2025-04-11,39235600
2025-04-15,39235600
2025-04-17,39235600
2025-04-18,39235600
2025-04-22,39527300
2025-04-23,39643800
2025-04-23,39235600
2025-04-25,39235600
2025-04-26,39235600
2025-04-29,39235600
2025-04-30,39235600
2025-05-01,39235600
2025-05-02,39235600
2025-05-06,39239100
2025-05-07,39286300
2025-05-07,39239100
2025-05-08,39239100
2025-05-10,39239100
2025-05-14,39239100
2025-05-16,39239100
2025-05-17,39239100
2025-05-24,39239100
2025-05-28,39239100
2025-05-29,39628700
2025-05-29,39239100
2025-05-29,39576000
2025-05-30,39348200
2025-05-30,39239100
2025-05-31,39239100
2025-06-04,39239100
2025-06-05,39239100
2025-06-05,39792500
2025-06-06,39239100
2025-06-06,39240900
2025-06-10,39239100
2025-06-11,40077300
2025-06-11,39239100
2025-06-14,39239100
2025-06-16,39833000
2025-06-17,39239100
2025-06-18,39239100
2025-06-28,39239100
2025-06-28,39433200
2025-07-01,39239100
2025-07-03,39239100
2025-07-04,39239100
2025-07-08,40122200
2025-07-08,39239100
2025-07-09,39239100
2025-07-11,40687800
2025-07-11,39239100
2025-07-17,39239100
2025-07-24,39239100
2025-07-26,39239100
2025-08-01,39240200
2025-08-02,39240600
2025-08-02,40553400
2025-08-07,39743800
2025-08-07,39393800
2025-08-07,39240600
2025-08-08,39240600
2025-08-09,39240600
2025-08-16,39240600
2025-08-20,39240600
2025-08-21,39240600
2025-08-23,39240600
2025-08-27,39240600
2025-08-28,39240600
2025-08-30,39889800
2025-08-30,39240600
2025-09-11,39240600
2025-09-12,39240600
2025-09-16,39240600
2025-09-17,39240631
2025-09-18,39240631
2025-09-23,39240631
2025-09-24,39240631
2025-09-25,39240631
2025-09-26,39240631
2025-09-26,40146240
2025-09-30,39240631
2025-10-03,39240631
2025-10-06,39240631
2025-10-08,39668266
2025-10-08,39240631
2025-10-10,39240631
2025-10-11,39240631
2025-10-15,39240631
2025-10-16,39240631
2025-10-17,39240631
2025-10-18,39240631
2025-10-18,39610588
2025-10-20,39240631
2025-10-23,39240631
2025-10-24,39240631
2025-10-31,39241108
2025-11-01,39241434
2025-11-01,39241108
2025-11-04,39241434
2025-11-05,39241434
2025-11-06,39241434
2025-11-07,39241434
2025-11-08,39241434
2025-11-14,39241434
2025-11-15,39241434
2025-11-17,39241434
2026-02-06,39241527
2026-02-07,39242688
2026-03-26,39377171
