Date,Shares
2024-02-27,916745024
2024-02-28,916745024
2024-02-29,916745024
2024-03-02,916745024
2024-03-05,916745024
2024-03-12,936921984
2024-03-12,916745024
2024-03-14,916745024
2024-03-16,916745024
2024-03-23,921836992
2024-03-23,916745024
2024-03-26,926699008
2024-03-26,918155008
2024-03-26,916745024
2024-03-27,916745024
2024-04-02,916745024
2024-04-03,916745024
2024-04-06,916745024
2024-04-09,916745024
2024-04-10,916745024
2024-04-12,935001984
2024-04-12,916745024
2024-04-13,916745024
2024-04-16,921904000
2024-04-16,916745024
2024-04-18,916745024
2024-04-23,916745024
2024-04-25,999187008
2024-04-25,916745024
2024-04-26,916745024
2024-05-01,918603008
2024-05-02,918603008
2024-05-10,918603008
2024-05-10,938657984
2024-05-15,919699968
2024-05-16,918603008
2024-05-24,918603008
2024-05-24,934857024
2024-05-31,918603008
2024-05-31,926478016
2024-06-12,924353024
2024-06-12,918603008
2024-06-13,918603008
2024-06-13,920342016
2024-06-28,918603008
2024-06-28,924086976
2024-07-19,928478016
2024-07-20,918603008
2024-07-24,918603008
2024-07-24,918851968
2024-07-31,921148032
2024-08-01,921148032
2024-08-02,933193024
2024-08-02,921148032
2024-08-03,921148032
2024-08-03,923777984
2024-08-09,921148032
2024-08-14,921148032
2024-08-21,921148032
2024-08-23,921148032
2024-08-24,921148032
2024-08-27,921148032
2024-08-29,921148032
2024-08-29,922401024
2024-08-30,921148032
2024-09-04,921148032
2024-09-04,925038016
2024-09-05,921148032
2024-09-06,921148032
2024-09-06,928059008
2024-09-07,929636992
2024-09-07,921148032
2024-09-12,921148032
2024-09-13,921148032
2024-09-20,921148032
2024-09-21,921148032
2024-09-25,921148032
2024-09-26,921148032
2024-10-01,921148032
2024-10-02,921148032
2024-10-09,921148032
2024-10-10,926208000
2024-10-11,921148032
2024-10-15,921148032
2024-10-16,921148032
2024-10-17,921148032
2024-10-18,921148032
2024-10-19,921148032
2024-10-23,921148032
2024-10-25,981716992
2024-10-26,998729024
2024-10-29,921148032
2024-10-29,1006990016
2024-10-30,932003968
2024-10-30,921148032
2024-10-31,924644992
2024-10-31,946009024
2024-11-01,924644992
2024-11-05,924644992
2024-11-07,924644992
2024-11-08,924644992
2024-11-09,924644992
2024-11-12,924644992
2024-11-13,936529024
2024-11-13,924644992
2024-11-15,924644992
2024-11-22,924644992
2024-11-23,924644992
2024-11-26,924644992
2024-11-27,924644992
2024-11-28,924644992
2024-11-30,924644992
2024-12-14,924644992
2024-12-17,924644992
2024-12-18,926099008
2024-12-18,924644992
2024-12-19,924644992
2024-12-24,924644992
2024-12-28,924644992
2024-12-31,924644992
2025-01-03,924644992
2025-01-09,924644992
2025-01-11,924644992
2025-01-11,939078016
2025-01-14,934640000
2025-01-14,924644992
2025-01-15,924644992
2025-01-16,924644992
2025-01-17,924644992
2025-01-22,924644992
2025-01-22,926830016
2025-01-24,924644992
2025-01-25,924644992
2025-01-29,924644992
2025-01-30,924644992
2025-01-31,924644992
2025-02-01,924644992
2025-02-01,933939008
2025-02-04,924644992
2025-02-06,928718976
2025-02-06,924644992
2025-02-11,924644992
2025-02-14,924644992
2025-02-21,924644992
2025-02-22,924644992
2025-02-25,924644992
2025-02-27,927264000
2025-02-28,927264000
2025-03-04,927264000
2025-03-04,935603008
2025-03-05,927264000
2025-03-06,927264000
2025-03-11,927264000
2025-03-11,944012032
2025-03-12,927264000
2025-03-14,927264000
2025-03-15,927264000
2025-03-22,927264000
2025-03-25,927264000
2025-03-26,927264000
2025-03-27,927264000
2025-03-28,927264000
2025-03-28,942819008
2025-03-29,927264000
2025-04-02,927264000
2025-04-03,927264000
2025-04-04,927264000
2025-04-05,927264000
2025-04-08,927264000
2025-04-10,950531968
2025-04-11,927264000
2025-04-12,927264000
2025-04-15,927264000
2025-04-16,927264000
2025-04-18,927264000
2025-04-22,937430976
2025-04-23,927264000
2025-04-24,927264000
2025-04-25,927264000
2025-04-26,929396992
2025-05-01,929396992
2025-05-03,929396992
2025-05-06,929396992
2025-05-07,929619968
2025-05-07,929396992
2025-05-08,929396992
2025-05-10,929396992
2025-05-10,947820032
2025-05-13,929396992
2025-05-14,929396992
2025-05-15,929396992
2025-05-16,929396992
2025-05-20,929396992
2025-05-21,929396992
2025-05-23,929396992
2025-05-24,929396992
2025-05-29,940075008
2025-05-29,929396992
2025-05-30,934964992
2025-05-30,929396992
2025-05-31,929396992
2025-06-04,929396992
2025-06-05,929396992
2025-06-06,929396992
2025-06-12,929396992
2025-06-13,929396992
2025-06-14,942169984
2025-06-14,929396992
2025-06-17,929396992
2025-06-18,929396992
2025-06-19,929396992
2025-06-25,929396992
2025-06-26,929396992
2025-06-30,929396992
2025-07-01,929396992
2025-07-01,940822976
2025-07-02,929396992
2025-07-03,929396992
2025-07-08,929396992
2025-07-09,935956992
2025-07-09,929396992
2025-07-10,929396992
2025-07-10,930294016
2025-07-11,929396992
2025-07-12,929396992
