Date,Shares
2024-02-22,93554600
2024-02-22,91726200
2024-03-05,78143600
2024-03-05,91726200
2024-03-13,98940600
2024-03-13,91726200
2024-03-15,86658496
2024-03-15,91726200
2024-03-16,91726200
2024-03-16,90723696
2024-04-16,96567296
2024-04-16,92535200
2024-04-30,92535200
2024-04-30,90349400
2024-05-04,92535200
2024-05-04,90241000
2024-05-06,94090400
2024-05-07,92535200
2024-05-10,83580200
2024-05-10,92535200
2024-05-15,85838600
2024-05-16,92535200
2024-05-20,91914200
2024-05-21,92535200
2024-05-22,97528096
2024-05-23,92535200
2024-05-24,118004000
2024-05-24,92535200
2024-05-25,89259600
2024-05-25,92535200
2024-05-30,95096496
2024-05-31,92535200
2024-06-07,92535200
2024-06-07,92959696
2024-06-11,90592000
2024-06-12,90592000
2024-06-13,91506200
2024-06-13,90592000
2024-06-14,90592000
2024-06-15,90592000
2024-06-15,92269600
2024-06-21,90592000
2024-06-21,88944800
2024-06-22,90592000
2024-06-25,90592000
2024-06-28,87978704
2024-06-28,90592000
2024-07-03,90592000
2024-07-03,89634704
2024-07-06,90592000
2024-07-10,90592000
2024-07-10,86194304
2024-07-10,86397904
2024-07-11,90592000
2024-07-12,77009296
2024-07-13,90592000
2024-07-16,90592000
2024-07-18,90592000
2024-07-18,87222800
2024-07-20,90592000
2024-07-24,90592000
2024-07-24,94530704
2024-07-25,87440896
2024-07-26,90592000
2024-07-27,90592000
2024-07-30,90592000
2024-07-31,95818400
2024-08-01,90592000
2024-08-02,90592000
2024-08-03,90592000
2024-08-07,90592000
2024-08-09,90592000
2024-08-10,82438704
2024-08-10,90592000
2024-08-14,90592000
2024-08-16,90592000
2024-08-17,90592000
2024-08-17,84774096
2024-08-20,93155904
2024-08-20,91104096
2024-08-24,91104096
2024-08-24,88501104
2024-08-26,93783600
2024-08-27,91104096
2024-08-29,91656200
2024-08-29,91104096
2024-08-30,92038496
2024-08-31,91104096
2024-09-04,93501600
2024-09-04,91104096
2024-09-05,90202096
2024-09-05,91104096
2024-09-05,86548896
2024-09-06,92015104
2024-09-06,91104096
2024-09-07,91104096
2024-09-12,89317696
2024-09-12,91104096
2024-09-16,91980096
2024-09-17,91104096
2024-09-21,91104096
2024-09-21,91924800
2024-09-28,85947200
2024-09-28,91104096
2024-09-30,93757600
2024-10-01,91104096
2024-10-04,91208896
2024-10-04,91104096
2024-10-08,91167904
2024-10-09,91104096
2024-10-12,92015104
2024-10-12,91104096
2024-10-15,91104096
2024-10-15,92491504
2024-10-18,92015104
2024-10-18,91104096
2024-10-25,92566600
2024-10-25,91875800
2024-10-28,90202096
2024-10-29,92944600
2024-10-29,91104096
2024-10-30,91104096
2024-10-31,92925000
2024-10-31,91104096
2024-11-05,92535000
2024-11-05,91104096
2024-11-06,91104096
2024-11-06,92804704
2024-11-08,89106200
2024-11-08,91104096
2024-11-14,90655296
2024-11-14,91104096
2024-11-16,92963400
2024-11-16,91104096
2024-11-19,89282000
2024-11-20,91104096
2024-11-30,77521400
2024-12-03,91104096
2024-12-04,83667000
2024-12-04,91104096
2024-12-06,91104096
2024-12-06,77521400
2024-12-11,91104096
2024-12-11,108501000
2024-12-13,103895000
2024-12-14,94675504
2024-12-17,95079000
2024-12-25,95799104
2025-01-07,92304896
2025-01-07,95799104
2025-01-14,103491000
2025-01-14,95799104
2025-01-18,95799104
2025-01-18,95138400
2025-02-08,95799104
2025-02-08,87491296
2025-02-13,96864800
2025-02-13,95799104
2025-02-15,100019000
2025-02-15,95799104
2025-02-19,96614000
2025-02-27,96614000
2025-02-27,96932800
2025-03-04,96614000
2025-03-04,103915000
