Date,Shares
2024-02-21,21686000
2024-02-22,21686000
2024-02-23,21686000
2024-02-24,21686000
2024-02-27,21686000
2024-03-01,21686000
2024-03-02,21686000
2024-03-05,22534600
2024-03-05,21686000
2024-03-06,21686000
2024-03-08,22131400
2024-03-10,22131400
2024-03-12,23483400
2024-03-12,22131400
2024-03-16,22131400
2024-03-20,22131400
2024-03-22,22131400
2024-03-23,22131400
2024-03-26,23633500
2024-03-27,24315600
2024-03-28,24416900
2024-03-29,24315600
2024-04-03,24315600
2024-04-04,24315600
2024-04-04,25004900
2024-04-05,24315600
2024-04-12,25964800
2024-04-13,24315600
2024-04-17,24315600
2024-04-18,25395700
2024-04-18,24315600
2024-04-19,24315600
2024-04-20,24315600
2024-04-24,24315600
2024-04-25,25466000
2024-04-25,24317600
2024-04-25,24530100
2024-04-26,24317600
2024-04-30,24317600
2024-05-01,24317600
2024-05-08,24317600
2024-05-09,24317600
2024-05-10,24317600
2024-05-11,24317600
2024-05-17,24317600
2024-05-17,27826600
2024-05-21,24317600
2024-05-21,25185100
2024-05-22,24317600
2024-05-23,25814000
2024-05-23,24317600
2024-05-24,25212700
2024-05-24,24317600
2024-05-30,24317600
2024-05-31,24759200
2024-05-31,24317600
2024-06-01,24317600
2024-06-04,24317600
2024-06-05,24317600
2024-06-06,24317600
2024-06-08,24317600
2024-06-11,24317600
2024-06-12,25334000
2024-06-13,24317600
2024-06-18,24317600
2024-06-21,24317600
2024-06-21,25544500
2024-06-25,24317600
2024-06-27,24317600
2024-06-28,24317600
2024-07-03,24627800
2024-07-03,24317600
2024-07-10,24497900
2024-07-11,24317600
2024-07-12,24317600
2024-07-13,24317600
2024-07-16,24317600
2024-07-17,24317600
2024-07-20,24317600
2024-07-23,25000200
2024-07-23,24317600
2024-07-24,24317600
2024-07-30,24317600
2024-07-31,24583600
2024-08-01,24317600
2024-08-03,24317600
2024-08-07,24317600
2024-08-08,24317600
2024-08-09,24686400
2024-08-10,24317600
2024-08-12,25053700
2024-08-13,24317600
2024-08-14,24317600
2024-08-16,24317600
2024-08-20,24317600
2024-08-21,24317600
2024-08-23,24317600
2024-08-24,24317600
2024-08-29,24317600
2024-08-29,24679200
2024-08-30,24317600
2024-08-31,24317600
2024-09-04,24317600
2024-09-04,25137900
2024-09-05,24317600
