Date,Shares
2024-02-15,60298500
2024-02-21,60298500
2024-02-22,60298500
2024-02-24,60298500
2024-02-28,60298500
2024-02-29,60298500
2024-03-04,60298500
2024-03-05,60298500
2024-03-06,60298500
2024-03-07,60298500
2024-03-12,60298500
2024-03-14,60298500
2024-03-16,60298500
2024-03-20,60298500
2024-03-22,60298500
2024-03-22,60314600
2024-03-28,60799600
2024-03-29,60298500
2024-04-04,60298500
2024-04-05,60298500
2024-04-06,60298500
2024-04-09,60298500
2024-04-09,60317500
2024-04-10,60298500
2024-04-12,61314900
2024-04-13,60298500
2024-04-16,60298500
2024-04-16,60700300
2024-04-24,60298500
2024-04-25,60520100
2024-04-25,60298500
2024-04-30,60298500
2024-05-07,60919800
2024-05-10,60919800
2024-05-11,61620900
2024-05-11,60919800
2024-05-15,60919800
2024-05-17,60919800
2024-05-21,60919800
2024-05-23,60919800
2024-05-23,60976600
2024-05-24,61110900
2024-05-24,60919800
2024-05-25,60919800
2024-06-05,61328400
2024-06-05,60919800
2024-06-06,60919800
2024-06-12,60919800
2024-06-12,61572500
2024-06-13,60919800
2024-06-15,62499500
2024-06-15,60919800
2024-06-21,61363100
2024-06-21,60919800
2024-06-25,60919800
2024-06-27,60919800
2024-06-28,60919800
2024-06-29,60919800
2024-07-02,60919800
2024-07-04,60919800
2024-07-10,60919800
2024-07-11,60919800
2024-07-12,60919800
2024-07-13,60919800
2024-07-17,60919800
2024-07-18,63564500
2024-07-18,60919800
2024-07-19,60919800
2024-07-23,60919800
2024-07-24,60919800
2024-07-25,60919800
2024-07-27,60919800
2024-07-31,60919800
2024-08-01,60919800
2024-08-03,60919800
2024-08-06,59659200
2024-08-07,59659200
2024-08-09,59659200
2024-08-10,59921600
2024-08-10,59659200
2024-08-13,59659200
2024-08-13,59918900
2024-08-17,59839400
2024-08-17,59659200
2024-08-24,59659200
2024-08-28,59659200
2024-08-29,60133400
2024-08-29,59659200
2024-08-30,59659200
2024-08-31,59659200
2024-08-31,59755900
2024-09-04,62384500
2024-09-04,59659200
2024-09-06,59659200
2024-09-06,59784700
2024-09-07,60508600
2024-09-07,59659200
2024-09-11,59659200
2024-09-11,60075900
2024-09-12,59659200
2024-09-13,59659200
2024-09-14,59659200
2024-09-16,60379600
2024-09-17,59659200
2024-09-18,59659200
2024-09-19,59659200
2024-09-21,59659200
2024-09-27,59659200
2024-09-28,59659200
2024-09-28,59673200
2024-09-30,59659200
2024-10-02,59659200
2024-10-03,59659200
2024-10-04,59659200
2024-10-04,61517900
2024-10-05,59659200
2024-10-09,59659200
2024-10-10,59659200
2024-10-12,59659200
2024-10-15,59659200
2024-10-16,59659200
2024-10-17,59659200
2024-10-18,59659200
2024-10-22,59659200
2024-10-24,59659200
2024-10-25,59793800
2024-10-25,60726700
2024-10-28,59659200
2024-10-29,60015900
2024-10-30,59659200
2024-10-31,59659200
2024-11-05,59659200
2024-11-06,59659200
2024-11-09,59659200
2024-11-13,59659200
2024-11-14,59659200
2024-11-15,59659200
2024-11-16,59659200
2024-11-16,60836300
2024-11-19,59659200
2024-11-22,59659200
2024-11-23,59659200
2024-11-28,59130900
2024-12-06,59130900
2024-12-06,59952700
2024-12-07,59130900
2024-12-10,59402500
2024-12-11,59402500
2024-12-11,59130900
2024-12-12,59402500
2024-12-13,60518200
2024-12-14,59402500
2024-12-17,59402500
2024-12-18,59402500
2024-12-20,59402500
2024-12-21,59402500
2024-12-25,59402500
2025-01-01,59402500
2025-01-03,59402500
2025-01-04,59402500
2025-01-07,59402500
2025-01-09,59402500
2025-01-11,59402500
2025-01-11,60654800
2025-01-14,59402500
2025-01-18,59402500
2025-01-23,59402500
2025-01-24,59402500
2025-01-25,59402500
2025-01-29,59402500
2025-02-06,59359900
2025-02-07,59359900
2025-02-13,59359900
2025-02-13,60081100
2025-02-19,59359900
2025-02-22,59359900
2025-02-26,59359900
2025-02-27,59359900
2025-03-03,59367400
2025-03-04,59359900
2025-03-04,60862200
2025-03-11,59359900
2025-03-11,60453900
2025-03-12,59359900
2025-03-13,59359900
2025-03-14,59359900
2025-03-21,59359900
2025-03-22,59731200
2025-03-22,59359900
2025-03-26,59359900
2025-03-27,60902300
2025-03-27,59359900
2025-03-28,59359900
2025-03-28,59410400
2025-04-01,59620100
2025-04-01,59359900
2025-04-05,59359900
2025-04-08,59359900
2025-04-10,62367100
2025-04-11,59359900
2025-04-15,59359900
2025-04-17,59359900
2025-04-18,59359900
2025-04-18,59503700
2025-04-22,60779000
2025-04-23,59359900
2025-04-25,59359900
2025-04-26,59359900
2025-05-03,59501300
2025-05-04,59501300
2025-05-06,59501300
2025-05-07,59501300
2025-05-08,59501300
2025-05-09,59501300
2025-05-10,59501300
2025-05-13,59501300
2025-05-15,59501300
2025-05-16,59501300
2025-05-17,59501300
2025-05-23,59501300
2025-05-24,59501300
2025-05-28,59501300
2025-05-29,60059300
2025-05-29,59501300
2025-05-30,59949600
2025-05-31,59501300
2025-06-03,59501300
2025-06-05,59501300
2025-06-06,59802200
2025-06-06,59501300
2025-06-07,59501300
2025-06-11,59501300
2025-06-11,60754900
2025-06-13,59501300
2025-06-14,59501300
2025-06-14,60242300
2025-06-17,59501300
2025-06-18,59501300
2025-06-20,59771400
2025-06-21,59501300
2025-06-24,59501300
2025-06-26,59501300
2025-06-28,59501300
2025-06-30,59744200
2025-07-01,59501300
2025-07-02,59654700
2025-07-02,59501300
2025-07-03,59501300
2025-07-04,59501300
2025-07-08,59501300
2025-07-09,60370500
2025-07-09,59501300
2025-07-11,59501300
2025-07-12,59782800
2025-07-12,59501300
2025-07-15,59501300
2025-07-16,59501300
2025-07-17,59501300
2025-07-19,59501300
2025-07-22,59501300
2025-07-23,59501300
2025-07-24,59501300
2025-07-29,59501300
2025-07-30,59501300
2025-08-03,59968500
2025-08-04,59968500
2025-08-05,59966200
2025-08-06,59966200
2025-08-08,59966200
2025-08-08,60222200
2025-08-09,60492400
2025-08-09,59966200
2025-08-12,59966200
2025-08-14,59966200
2025-08-15,59966200
2025-08-19,59966200
2025-08-20,59966200
2025-08-21,59966200
2025-08-22,59966200
2025-08-26,59966200
2025-09-04,59966200
2025-09-05,59966200
2025-09-06,60395900
2025-09-06,59966200
2025-09-09,59966200
2025-09-10,59966200
2025-09-11,59966200
2025-09-12,59966200
2025-09-17,59966221
2025-09-20,59966221
2025-09-25,59966221
2025-09-27,59966221
2025-09-30,60731799
2025-10-01,59966221
2025-10-02,59966221
2025-10-06,59966221
2025-10-07,59966221
2025-10-08,60630924
2025-10-08,59966221
2025-10-09,59966221
2025-10-10,59966221
2025-10-11,59966221
2025-10-15,59966221
2025-10-15,60884229
2025-10-16,59966221
2025-10-18,59966221
2025-10-21,59966221
2025-10-24,59966221
2025-10-25,59966221
2025-10-28,59966221
2025-10-28,60863864
2025-10-29,59966221
2025-10-31,59966221
2025-11-01,59966221
2025-11-05,59966221
2025-11-08,59966221
2025-11-12,59966221
2025-11-13,59966221
2025-11-14,59966221
2025-11-15,60622433
2025-11-17,59966221
2025-11-27,59966222
2025-12-16,59996788
2026-02-06,59996789
