run,n_features,sn,auc20,auc50,rho,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_abs_award_mean,prior_signed_award_mean,prior_abs_award_max,prior_abs_award_median,prior_response_median_20d,prior_award_days_30d,pre_volatility_market_20d,prior_response_count_60d,prior_transactions_30d,prior_response_mean_20d,transaction_amount_abs_sum,relative_strength_spy_120d,relative_strength_spy_60d
1,15,1.580254236699579,0.7188652958022652,0.8185448862649766,0.29858722345269345,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,1.2202580541445518,0.7241479398333289,0.8191526306650461,0.36190623855098086,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,7,0.27243063442905513,0.6886723083670889,0.7307258204549402,0.24859812472048534,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
4,7,-0.6968203977570415,0.6754753734616477,0.6709064073623894,0.24951427737890364,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
5,7,0.15059462826121045,0.7115379653757836,0.8290935926376107,0.3495419232763189,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
6,7,0.5351346290871535,0.7066745788075028,0.7936707761764196,0.29294553774177484,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
7,7,0.061095064690900903,0.6589630795428159,0.7562510852578572,0.2243853526278447,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
8,7,-0.019833071066581182,0.692819732191233,0.7440093766278868,0.2544560830530951,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
9,7,-1.0197976041359487,0.6975121907169948,0.7449861086994269,0.29988201259475156,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,7,0.2733960527152571,0.7094416780618695,0.8119031081785032,0.28799990339351983,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
11,7,1.221738492277841,0.7104672463169844,0.7714012849453031,0.2725565510338562,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
12,7,1.1612021538174395,0.6857826569312933,0.7700989755165827,0.2693168362059215,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
13,7,-0.8299830715474849,0.7009597770840321,0.7667997916304915,0.24549620260642177,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
14,7,0.3887815098166917,0.6853440491240744,0.7207848584823753,0.2606746724226571,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
15,7,0.5532268429137275,0.6902848370700998,0.8035683278346936,0.30808369573357214,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
16,7,1.1009953215670834,0.7037720271420831,0.863040458412919,0.31904422449862596,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
