variable,SN_effect_dB,AUC20_effect
prior_response_count_60d,1.1367669052029672,0.017793044841198147
pre_volatility_market_20d,0.503103216010125,-0.004495326891818752
relative_strength_spy_120d,0.4517941577190551,-0.0007526477721303548
prior_abs_award_max,0.2708418526795392,0.005941765138419486
prior_signed_award_mean,0.25908122105850395,0.007501080394230919
prior_abs_award_median,0.1933145398929631,0.0038616031115353833
prior_response_mean_20d,0.15320159807736122,0.0017903099925179466
transaction_amount_abs_sum,0.13737291727285705,0.0032851241002089804
prior_transactions_30d,0.11875038897599172,0.0034689523723522298
relative_strength_spy_60d,0.0673683974441428,0.001064672076162898
prior_award_days_30d,0.031694260133027785,-0.0008010236332206544
prior_response_median_20d,-0.1033150757060538,-0.015364576614463665
prior_positive_dollars_30d,-0.16942457572892683,0.01853077672282566
prior_signed_dollars_30d,-0.2466943785919592,-0.0007744169096209896
prior_abs_award_mean,-0.38743113552961517,0.0015911626976959914
