ticker,award_date,company,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,pre_slope_5d,pre_slope_10d,pre_slope_20d,pre_volatility_20d,peak_pct,peak_class,MD4,current_agency,current_subagency,current_award_type,current_agency_count,current_award_type_count,history_days_available,history_coverage_30,history_coverage_90,history_coverage_180,prior_award_days_total,prior_transaction_count_total,days_since_last_award,prior_abs_award_mean,prior_abs_award_median,prior_abs_award_max,prior_signed_award_mean,current_to_prior_abs_mean,current_to_prior_abs_median,current_award_abs_percentile,prior_award_days_30d,prior_transactions_30d,prior_abs_dollars_30d,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_negative_dollars_30d,prior_award_days_90d,prior_transactions_90d,prior_abs_dollars_90d,prior_signed_dollars_90d,prior_positive_dollars_90d,prior_negative_dollars_90d,prior_award_days_180d,prior_transactions_180d,prior_abs_dollars_180d,prior_signed_dollars_180d,prior_positive_dollars_180d,prior_negative_dollars_180d,award_frequency_acceleration_30d,award_dollar_acceleration_30d,prior_same_agency_award_days,prior_same_agency_abs_dollars,same_agency_fraction,agency_novelty,pre_return_5d,relative_strength_spy_5d,relative_strength_ita_5d,pre_return_20d,relative_strength_spy_20d,relative_strength_ita_20d,pre_return_60d,relative_strength_spy_60d,relative_strength_ita_60d,pre_return_120d,relative_strength_spy_120d,relative_strength_ita_120d,pre_volatility_market_20d,pre_volatility_market_60d,distance_from_52w_high_pct,volume_20d_to_60d_ratio,prior_response_count_5d,prior_response_mean_5d,prior_response_median_5d,prior_max_gain_mean_5d,prior_hit_rate_10pct_within_5d,prior_hit_rate_20pct_within_5d,prior_response_count_20d,prior_response_mean_20d,prior_response_median_20d,prior_max_gain_mean_20d,prior_hit_rate_10pct_within_20d,prior_hit_rate_20pct_within_20d,prior_response_count_60d,prior_response_mean_60d,prior_response_median_60d,prior_max_gain_mean_60d,prior_hit_rate_10pct_within_60d,prior_hit_rate_20pct_within_60d
ACN,2025-08-19,ACCENTURE FEDERAL SERVICES LLC,1,-1069277.58,1069277.58,0.9320785981376049,0.1319984904967005,-1.0583615898056913,1.960297808094096,7.339369528064132,<10%,1.9319739946504049,Department of Defense,Department of Energy,DELIVERY ORDER,5,2,7,0,0,0,6,23,1.0,9334674.4,7641789.204999999,25607054.43,8867141.426666668,0.11454899594569684,0.13992502950753666,0.3333333333333333,6,23,56008046.400000006,53202848.56,54605447.480000004,-1402598.92,6,23,56008046.400000006,53202848.56,54605447.480000004,-1402598.92,6,23,56008046.400000006,53202848.56,54605447.480000004,-1402598.92,7.0,56008047.400000006,2,13780159.069999998,0.3333333333333333,0.0,7.571365963921872,8.019484239723218,10.093563674168449,-10.830773976441765,-12.572022787814907,-11.382343452034593,-18.7360582991716,-28.78791905881173,-32.381540570326784,-27.88198042677994,-36.13908675886539,-56.07046667657303,2.0322580652593905,1.8305191624047188,-35.10735496562234,1.219421806985345,0,,,,,,0,,,,,,0,,,,,
ACN,2025-08-25,ACCENTURE FEDERAL SERVICES LLC,1,446163.18,446163.18,0.7143136050645928,0.8910672100615039,-0.4095003541973435,2.1136619541448294,7.268111068414762,<10%,2.0024417889980826,Department of the Interior,Departmental Offices,DELIVERY ORDER,2,1,13,0,0,0,10,42,3.0,8920180.991,4860974.325,25607054.43,7761660.723,0.05001727884783453,0.0917847226029115,0.0,10,42,89201809.91,77616607.23,83409208.57,-5792601.34,10,42,89201809.91,77616607.23,83409208.57,-5792601.34,10,42,89201809.91,77616607.23,83409208.57,-5792601.34,11.0,89201810.91,0,0.0,0.0,1.0,2.7776628280687277,2.906678400590801,3.0685793764424263,-7.576530758513133,-8.444757919106472,-6.218285314268911,-19.009664643757883,-28.215545447940805,-29.92035460625224,-25.21064418145712,-37.24956631330242,-56.35868795938573,2.058109112062746,1.8173349889939066,-35.064246628189466,1.2138869250863655,3,4.855377891724211,3.8139111804155634,5.2239198852548645,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-08-27,ACCENTURE FEDERAL SERVICES LLC,1,1704503.97,1704503.97,0.108896856125903,0.5461196324588191,-0.0763721180365833,2.0676484782072864,7.315646131764031,<10%,2.0176552294769587,Department of Energy,Department of Energy,BPA CALL,4,2,15,0,0,0,12,51,1.0,9340071.015833333,5275616.140000001,25607054.43,8270161.7924999995,0.18249368416048622,0.3230909764409053,0.25,12,51,112080852.19,99241941.50999999,105661396.85,-6419455.34,12,51,112080852.19,99241941.50999999,105661396.85,-6419455.34,12,51,112080852.19,99241941.50999999,105661396.85,-6419455.34,13.0,112080853.19,4,69331681.92,0.3333333333333333,0.0,0.8115964151983235,-0.5236071554023392,-1.7255835712482348,-6.160583998027547,-8.078758897053184,-6.462625583272974,-17.828107869858755,-27.247827321041516,-29.716751750120185,-24.032498038971728,-37.61398469340037,-57.71365198913418,2.0320543381334844,1.8210818138019467,-34.792887246756784,1.201972162652607,5,4.457382925224542,3.8139111804155634,4.932994275098305,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-02,ACCENTURE FEDERAL SERVICES LLC,2,35164804.77,35164804.77,0.3353254433157505,0.2627511157181526,0.3113886823684058,1.717013252448319,10.01287403127884,10-20%,2.119236629151335,Department of Energy,Department of Energy,BPA CALL,2,2,21,0,0,0,15,76,4.0,10193474.06,6063204.65,26540331.520000003,8586747.517333332,3.449737014389381,5.799706063030547,1.0,15,76,152902110.9,128801212.75999999,140851661.82999998,-12050449.07,15,76,152902110.9,128801212.75999999,140851661.82999998,-12050449.07,15,76,152902110.9,128801212.75999999,140851661.82999998,-12050449.07,16.0,152902111.9,5,82871097.67,0.3333333333333333,0.0,0.04688083691659628,0.3893208664472625,-1.5604113026506328,-1.0085643083189488,-2.4503362228394554,-1.3066830397160611,-18.367939819719993,-26.64933138155078,-28.60408833350644,-21.06902295589309,-36.93005122582306,-55.241350082718675,1.7360484041662743,1.8325038375383522,-35.03380420355066,1.1420248970274636,10,2.684403558867595,2.7776628280687277,3.4003781220037843,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-03,ACCENTURE FEDERAL SERVICES LLC,1,78000.0,78000.0,0.1711601873639322,0.0978187820897929,0.3985718912121779,1.3795409437889596,10.887276425651148,10-20%,2.1533938242625226,Department of Energy,Department of Energy,BPA CALL,2,2,22,0,0,0,16,81,1.0,11826429.335,9485794.184999999,36320758.46,10320123.20125,0.006595397291146964,0.008222822304466857,0.0,16,81,189222869.36,165121971.22,177172420.29,-12050449.07,16,81,189222869.36,165121971.22,177172420.29,-12050449.07,16,81,189222869.36,165121971.22,177172420.29,-12050449.07,17.0,189222870.36,6,119191856.13,0.375,0.0,-0.49721871520269634,-0.2771308713710341,1.0229167003887207,2.8655871117000853,0.3543124421570898,3.169310642156753,-19.590392796735934,-27.352034520694435,-27.926380112289785,-20.85602179527829,-36.73007813088457,-53.08245214461921,1.3951413814475238,1.828326437725743,-35.54609239015214,1.0486338736403356,10,2.684403558867595,2.7776628280687277,3.4003781220037843,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-05,ACCENTURE FEDERAL SERVICES LLC,1,70000.0,70000.0,-0.4816635802229708,-0.0752137250296515,0.3935579997316273,1.2758631847568316,13.175139070162434,10-20%,2.419581656028261,Department of Defense,Department of the Air Force,DELIVERY ORDER,7,2,24,0,0,0,18,94,1.0,13108384.046666667,13141988.28,36320758.46,10473543.066666666,0.005340093771344784,0.0053264390827778155,0.0,18,94,235950912.84,188523775.2,212237344.01999998,-23713568.82,18,94,235950912.84,188523775.2,212237344.01999998,-23713568.82,18,94,235950912.84,188523775.2,212237344.01999998,-23713568.82,19.0,235950913.84,4,46383695.24,0.2222222222222222,0.0,-0.4762546267661927,-0.2173579541552284,0.537927946171568,5.4732794481364255,3.102388859079852,4.879258604925529,-20.15920605607848,-27.798883696418073,-30.871684158138766,-19.234790723520923,-34.92326676735609,-50.58021527109675,1.2819016141175692,1.820917958253267,-35.34320871686523,0.9475480541068219,11,2.4446287659629586,2.7776628280687277,3.2304301154370623,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-08,ACCENTURE FEDERAL SERVICES LLC,1,2369986.14,2369986.14,-0.5192316188086356,-0.1555640858736703,0.3588147517591437,1.2432192215234628,12.90058141359398,10-20%,2.7398505585136808,Department of Agriculture,Department of State,DELIVERY ORDER,4,2,27,0,0,0,19,103,3.0,14718820.575263157,13375592.84,43706678.09,12222655.43631579,0.1610173945583019,0.1771873716813886,0.21052631578947367,19,103,279657590.93,232230453.29,255944022.10999998,-23713568.82,19,103,279657590.93,232230453.29,255944022.10999998,-23713568.82,19,103,279657590.93,232230453.29,255944022.10999998,-23713568.82,20.0,279657591.93,3,14630500.99,0.15789473684210525,0.0,-1.6924952376388247,-2.2784980057324877,-1.3044321260415548,6.843648844466443,5.015268804310136,6.23280013198666,-19.538814518649296,-27.751569912235777,-29.029562850542035,-20.751025305022452,-35.83623640134678,-49.90805352734956,1.2440570742934236,1.8224157653121131,-35.1859728827033,0.947512912438476,14,1.7351251442108941,0.8349523234840506,2.8505647330725012,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-11,ACCENTURE FEDERAL SERVICES LLC,3,5452824.529999999,5452824.529999999,-0.9264812610436546,-0.4523301855053996,0.0723609887276215,1.4467632210404897,18.18144590667652,10-20%,2.7159606282629083,Department of Energy,Department of Energy,BPA CALL,2,2,30,1,0,0,22,123,1.0,16173373.576818185,13457504.295,45158749.55,13988039.111363636,0.33714824579429165,0.405188392325161,0.3181818181818182,22,123,355814218.69000006,307736860.45,331775539.57,-24038679.12,22,123,355814218.69000006,307736860.45,331775539.57,-24038679.12,22,123,355814218.69000006,307736860.45,331775539.57,-24038679.12,23.0,355814219.69000006,7,133639772.05,0.3181818181818182,0.0,-3.4751415251804807,-4.786148383200917,-4.255913699018288,-0.6227639802735885,-2.5982975834355937,-2.279182870365548,-21.93837925762372,-31.378571787143162,-33.6095053456108,-18.052633053525835,-35.04113557788543,-47.14508226061564,1.3633932032540885,1.8568030844358905,-38.0821541040717,0.9100645909826748,15,1.5066171187542463,0.8115964151983235,2.660527084201001,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-15,ACCENTURE FEDERAL SERVICES LLC,2,960454.73,960454.73,-1.7614681866230455,-0.8521084361335747,-0.1659907844384674,1.5753484202945964,21.30156161677609,20-50%,2.7639765658906845,Department of Defense,Department of the Air Force,BPA CALL,2,4,34,1,0,0,25,138,2.0,15296639.1684,13375592.84,45158749.55,13354777.726,0.06278861123848171,0.07180651665231161,0.16,21,120,352885032.61,305282474.39,329083753.5,-23801279.11,25,138,382415979.21000004,333869443.15,358142711.17999995,-24273268.03,25,138,382415979.21000004,333869443.15,358142711.17999995,-24273268.03,4.4,11.949668476266572,8,161171636.43,0.32,0.0,-6.925698310235317,-8.78749428498654,-9.035487715383837,-3.7002552706752456,-6.415332258438832,-7.155246291945428,-21.97282005793739,-32.92350086054798,-34.86016869158803,-21.790124303861713,-37.25551810375738,-49.549302243777646,1.4490131883930413,1.8637089859462792,-39.674796863561376,0.9181560536601617,18,0.7304712045955207,0.16810338849280182,2.3059110287366056,0.0,0.0,0,,,,,,0,,,,,
ACN,2025-09-16,ACCENTURE FEDERAL SERVICES LLC,1,360000.0,360000.0,-1.3854997082775031,-0.913711781678282,-0.2957735686105139,1.560514842331174,21.84451743206337,20-50%,2.7996891402166604,Department of Energy,Department of Energy,BPA CALL,5,2,35,1,0,0,26,144,1.0,15139533.889230771,13141988.28,45158749.55,13272359.425384615,0.023778803405306907,0.027393115282857337,0.0,21,125,363226889.15000004,315624330.93,339425610.04,-23801279.11,26,144,393627881.12000006,345081345.06,369354613.09,-24273268.03,26,144,393627881.12000006,345081345.06,369354613.09,-24273268.03,3.6666666666666665,11.947862706604218,8,141494352.24,0.3076923076923077,0.0,-6.024053050423451,-7.510980517730371,-9.292184851736874,-4.9452114958654985,-7.541197825145585,-8.371468894312606,-16.60147245570638,-27.66022740029037,-28.906429248762677,-22.57217363976619,-37.60208428159601,-49.7424806396736,1.4291153766129625,1.6595340418854874,-39.94362069276026,0.9695285009151349,19,0.3532589230815483,0.04688083691659628,2.1973465185138767,0.0,0.0,1,2.2028835629630983,2.2028835629630983,9.290783772845067,0.0,0.0,0,,,,,
ACN,2025-09-18,ACCENTURE FEDERAL SERVICES LLC,2,656400.4299999999,892830.53,-0.3151725737632951,-0.9110268766639876,-0.4420947447833351,1.449255268838846,20.450838684981896,20-50%,2.74866064748488,Department of Energy,Department of Energy,BPA CALL,4,2,37,1,0,0,28,163,1.0,16363086.41607143,13457504.295,45158749.55,14621518.985357141,0.05456369949394653,0.06634443582022279,0.14285714285714285,22,140,402158373.24999994,356199683.03,379179028.14000005,-22979345.11,28,163,458166419.65000004,409402531.59,433784475.61999995,-24381944.03,28,163,458166419.65000004,409402531.59,433784475.61999995,-24381944.03,3.2857142857142856,7.180367695696527,9,162701844.5,0.32142857142857145,0.0,-1.884082172512369,-2.588119780240894,-3.7119865169529698,-6.07724328689252,-9.861862590483806,-10.923668510103468,-19.942783321600555,-29.08613148732302,-32.03471263525199,-21.582380330382055,-38.711850386157266,-51.99212796126166,1.351092841135355,1.5873187997726312,-39.248737200200566,0.9831833362874686,19,0.3532589230815483,0.04688083691659628,2.1973465185138767,0.0,0.0,3,-0.5051457535977096,-0.6227639802735885,6.905816179442436,0.0,0.0,0,,,,,
ACN,2025-09-19,ACCENTURE FEDERAL SERVICES LLC,2,2803724.35,2803724.35,0.2248663850839606,-0.8499008005303795,-0.4836811211422683,1.4510023851348364,20.375469884725028,20-50%,2.733810054147815,Department of Energy,Department of Energy,BPA CALL,5,3,38,1,0,0,29,170,1.0,16047503.267241381,13375592.84,45158749.55,14353322.47413793,0.17471405385056946,0.20961495939196068,0.20689655172413793,22,142,403306343.70000005,359118991.1,381212667.40000004,-22093676.3,29,170,465377594.75000006,416246351.75,440811973.24999994,-24565621.5,29,170,465377594.75000006,416246351.75,440811973.24999994,-24565621.5,2.875,6.497473973541347,10,169913019.6,0.3448275862068966,0.0,0.48629264127144634,-0.7503956916596444,-1.8899346574182685,-5.626212451965607,-10.344964912825139,-10.344453623838035,-18.228516972258124,-27.851007048031306,-30.378969081927732,-20.45036758055483,-40.57915666773424,-53.8144003504418,1.3532487535544169,1.5727780315119395,-39.2106999672353,1.0538785576670293,20,-0.010688938584294937,-0.06644580781799969,2.087479192588183,0.0,0.0,4,-1.3039231328670935,-1.8591604118781135,6.491048581063851,0.0,0.0,0,,,,,
ACN,2025-09-22,ACCENTURE FEDERAL SERVICES LLC,1,188377.58,188377.58,0.2666778452436349,-0.6615175405505633,-0.5212780771380526,1.322541429991998,20.230007873239607,20-50%,2.7222060331147837,Department of Energy,Department of Energy,BPA CALL,6,3,41,1,0,0,30,177,3.0,16158923.247000003,13457504.295,45158749.55,14489383.538333332,0.011657805233710319,0.013997958006967888,0.0,20,135,395565887.5,357064898.91999996,376315393.2099999,-19250494.289999995,30,177,484767697.4100001,434681506.15,459724601.78,-25043095.63,30,177,484767697.4100001,434681506.15,459724601.78,-25043095.63,1.9090909090909092,4.434505134644693,11,189303122.26,0.36666666666666664,0.0,0.8912422685481092,-0.28574879430511846,-0.7101816111181991,-7.418408661070153,-11.041291672304943,-12.138294685604013,-18.538817366681204,-27.824903310860616,-29.67811772239436,-22.322050366573265,-42.214374768026346,-56.383360528338876,1.2416964009325844,1.5701560296756585,-39.13715315462193,1.0780741249928396,23,-0.386569876806181,-0.4762546267661927,1.833798772375495,0.0,0.0,6,-2.5176859205332285,-3.3979060570789423,5.777744890138344,0.0,0.0,0,,,,,
ACN,2025-09-23,ACCENTURE FEDERAL SERVICES LLC,2,3351969.8,3351969.8,0.2046704716463909,-0.3804413023256965,-0.52417687626638,1.3347409398454737,22.522295660665947,20-50%,2.92091580900257,Department of Energy,Department of Energy,BPA CALL,6,3,42,1,0,0,31,189,1.0,16181625.665806456,13539415.75,45158749.55,14537583.948387096,0.20714666555926323,0.24757122920905947,0.1935483870967742,21,147,412428585.73,373048495.16999996,392738540.4499999,-19690045.279999994,31,189,501630395.6400001,450665102.4,476147749.02,-25482646.619999997,31,189,501630395.6400001,450665102.4,476147749.02,-25482646.619999997,2.0,4.623544998947601,12,206165820.48999998,0.3870967741935484,0.0,-0.5531876667408508,-1.3181477595399005,-2.668200480436489,-8.025776675214447,-11.540130993593479,-13.9476569484279,-19.895152532855874,-28.048989669876743,-30.22785722764345,-24.149672113550935,-43.05350484063749,-58.46436408253267,1.2729839078560325,1.5826142942917918,-40.27584517617902,1.1175294443711332,24,-0.3502006052196133,-0.32801353965939417,1.8045527875141243,0.0,0.0,7,-2.975363592939075,-3.7002552706752456,5.180695234375444,0.0,0.0,0,,,,,
ACN,2025-09-25,ACCENTURE FEDERAL SERVICES LLC,4,1164336.35,1500147.81,-0.2210177128634671,-0.1285554030555003,-0.5588824767222597,1.44752890521089,24.071218418292297,20-50%,3.3791654595003577,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,5,3,44,1,0,0,33,214,1.0,19844556.36151515,14447915.92,101210178.16000001,17961345.226969697,0.07559492803322425,0.10383143273441753,0.12121212121212122,22,169,561180522.3900001,510627468.04999995,535903995.21999997,-25276527.169999998,33,214,654870359.93,592724392.49,623797376.21,-31072983.72,33,214,654870359.93,592724392.49,623797376.21,-31072983.72,1.9166666666666667,5.989769351031696,11,267744370.74,0.3333333333333333,0.0,-2.9179746740643164,-2.557756741143291,-2.9869529679961593,-9.551958602562728,-11.600175657950796,-11.874595632805486,-22.766800373243356,-29.603097151269708,-32.95955279721746,-22.08514420218829,-45.39895680199318,-60.17038628930017,1.4247621188669428,1.6041346935722702,-41.02144366287297,1.185176458781925,25,-0.3005428902689044,-0.17977245255259566,1.7890405144571986,0.0,0.0,9,-3.6145556543812947,-4.9452114958654985,4.505366889074895,0.0,0.0,0,,,,,
ACN,2025-09-30,ACCENTURE FEDERAL SERVICES LLC,2,8421236.97,8421236.97,0.9282251405063106,0.0848388536337595,-0.4003014934425883,1.7493752506196227,17.00729453138756,10-20%,2.384400171022731,Department of State,Department of State,DELIVERY ORDER,4,3,49,1,0,0,38,264,1.0,21653606.905,15655307.075,101210178.16000001,19784949.042894736,0.38890689236883974,0.5379157961997371,0.3157894736842105,23,188,669934951.49,623026850.87,646480901.1800001,-23454050.31,38,264,822837062.39,751828063.63,787332563.0100001,-35504499.38,38,264,822837062.39,751828063.63,787332563.0100001,-35504499.38,1.5,4.381463043022887,4,15676350.999999998,0.10526315789473684,0.0,4.713382316346926,4.26557565405945,3.209698871109601,-3.7358093556516425,-8.070993283746486,-9.549681360117967,-17.537321749549385,-25.165536686465373,-29.21942512083433,-11.488586382002941,-46.43897111498059,-64.50256042263184,1.7352845313184522,1.7119049738218293,-37.46081742412538,1.2731361945611221,30,-0.3764469045770305,-0.39039663432767213,1.6106041861519376,0.0,0.0,12,-4.531040986910165,-5.285711973915553,3.679162513358371,0.0,0.0,0,,,,,
ACN,2025-10-22,ACCENTURE FEDERAL SERVICES LLC,1,1124050.59,1124050.59,1.1945085306723462,-0.3335348228243128,0.0355779946332979,2.025493362166543,15.814405783931296,10-20%,4.144893297557816,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2,1,71,1,0,0,47,291,1.0,19006414.381702125,12908383.719999999,101210178.16000001,17280731.926382978,0.05914059156166495,0.08707911186885604,0.2127659574468085,17,114,408533778.53000003,377512894.39,393023336.46000004,-15510442.07,47,291,893301475.9399999,812194400.54,852747938.24,-40553537.7,47,291,893301475.9399999,812194400.54,852747938.24,-40553537.7,0.8571428571428571,1.0327831377957657,16,423005894.76,0.3404255319148936,0.0,3.9339221501450305,3.5385424352754713,2.5568107931239537,4.20779812605474,3.1943432960539475,0.8346994626337478,-10.670481593893733,-16.084216143205754,-17.817123377684872,-16.68517010560865,-36.94788028599941,-50.09871685167414,2.029157677126188,1.8261643281091537,-36.816656824616565,1.0447714054919355,43,0.1466479431153313,0.47368437976438305,1.8683565407420013,0.0,0.0,28,-2.7956262333309163,-3.718032313163444,3.096881269999116,0.0,0.0,0,,,,,
ACN,2025-10-28,ACCENTURE FEDERAL SERVICES LLC,1,-1407.1,1407.1,-0.0382879305486639,0.5603457814185031,0.0079920164145706,1.6972612508281777,13.88987376194899,10-20%,3.9875850071761705,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,3,2,77,1,0,0,50,300,4.0,17996057.214799996,10410195.385,101210178.16000001,16359105.3612,7.81893491004684e-05,0.00013516557067002637,0.0,14,46,145871608.50999996,135032005.69,140451807.1,-5419801.41,50,300,899802860.7399999,817955268.06,858879064.4000001,-40923796.34,50,300,899802860.7399999,817955268.06,858879064.4000001,-40923796.34,0.6521739130434783,0.24240399327573867,18,426367042.31,0.36,0.0,1.1336851269194703,-1.2155263677546824,-0.8254394436693735,2.7372238342756816,-0.39707408033093916,-1.2195784973423107,-2.098304584338906,-11.255087857160472,-12.426955087764433,-16.816269746553214,-39.95654137152491,-53.152144831419236,1.7155883377984258,1.7047384108586878,-35.74898001289735,0.833824844957734,46,0.4243800985392922,0.47368437976438305,2.0663867735659984,0.0,0.0,32,-2.307697666874093,-3.247789122403172,3.4592041262070703,0.0,0.0,0,,,,,
ACN,2025-10-31,ACCENTURE FEDERAL SERVICES LLC,1,780339.0,780339.0,0.0071981773417951,0.3723601590786625,0.0554756113630007,1.7967645344750336,15.369858354689692,10-20%,4.018577213310288,Department of Commerce,Internal Revenue Service,DELIVERY ORDER,2,1,80,1,0,0,53,308,1.0,17125149.512264147,8825035.73,101210178.16000001,15576645.385849055,0.04556684304806574,0.08842332471780258,0.16981132075471697,14,28,31276053.44,20214333.5,25745193.47,-5530859.97,53,308,907632924.1499999,825562205.4499999,866597564.8000001,-41035359.35,53,308,907632924.1499999,825562205.4499999,866597564.8000001,-41035359.35,0.6,0.043231527573310134,2,9626601.11,0.03773584905660377,0.0,0.9893034963057934,0.27907377115634624,1.4827172714207193,1.948474304442338,0.028304391052480504,-1.0293301182234371,3.466826084074137,-4.710474178759494,-6.502139036589849,-21.962538802200694,-39.627152531602185,-52.84987954915492,1.7753452314743208,1.5972845833882385,-36.573196416672275,0.8616619933368413,46,0.4243800985392922,0.47368437976438305,2.0663867735659984,0.0,0.0,35,-1.6739667707433281,-2.895490274278656,3.747190825601083,0.0,0.0,0,,,,,
ACN,2025-11-07,ACCENTURE FEDERAL SERVICES LLC,1,-289485.6,289485.6,-0.7381190356440804,-0.3126233309789578,0.1543623189215692,1.7156742347202811,17.407236338374577,10-20%,3.8528168556543463,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,1,1,87,1,0,0,56,314,1.0,16235665.873214286,8153143.284999999,101210178.16000001,14770113.798571426,0.01783022650629903,0.03550601159341701,0.07142857142857142,14,31,32001191.63,22617727.330000002,27309459.48,-4691732.15,56,314,909197288.9,827126372.7199999,868161830.81,-41035458.09,56,314,909197288.9,827126372.7199999,868161830.81,-41035458.09,0.625,0.05355502990502884,20,428387490.84,0.35714285714285715,0.0,-1.7353149243061194,-0.1093455386225739,1.392726672739708,2.0004870913048034,-0.7482774885005927,0.5444639339944324,-0.1625078297875504,-4.4853516370185975,-7.218841782294549,-22.668490366770712,-36.112100287439155,-43.85726785151333,1.7274264059971622,1.638804008503378,-37.673851205264086,0.8231115373737073,50,0.41724766567703947,0.47368437976438305,2.0319198991367817,0.0,0.0,41,-1.1611090514435551,-0.6227639802735885,3.6291479048372786,0.0,0.0,0,,,,,
ACN,2025-11-12,ACCENTURE FEDERAL SERVICES LLC,1,-155000.0,155000.0,-0.2965159208739188,-0.2893254509295838,0.0730560076911747,1.7025683810799734,17.04051848151982,10-20%,3.647230104654603,Department of Energy,Department of Energy,BPA CALL,1,1,92,1,1,0,58,317,2.0,15822664.480517242,8041172.779999999,101210178.16000001,14378337.546724137,0.009796074497494056,0.019275795240405222,0.05172413793103448,15,33,40484121.29,29469253.630000003,34976687.46,-5507433.83,56,306,891430563.31,808553435.6099999,849991999.46,-41438563.85000001,58,317,917714539.87,833943577.7099999,875829058.79,-41885481.080000006,0.8,0.08154490685903451,19,331481053.32,0.3275862068965517,0.0,-0.5205421707340618,-1.3765262117896193,-0.6017060640275074,2.8451026314849193,0.1074577734149873,1.9013370880428093,-3.6540585953026783,-10.760013598736883,-12.545577272238685,-21.705490345772482,-39.5775868114347,-45.45578189856144,1.7080029178165819,1.6140440095531468,-37.47857023922027,0.8133227584089082,54,0.21957532644549682,0.3815051599166952,1.905288057868013,0.0,0.0,42,-1.212408581278294,-0.628494920375694,3.562831227636645,0.0,0.0,0,,,,,
ACN,2025-11-18,ACCENTURE FEDERAL SERVICES LLC,1,-15.82,15.82,-0.157498463280066,-0.0023476235973074,-0.1643984048040405,1.441205058284291,20.22499928784962,20-50%,3.792273911649604,Department of the Interior,Departmental Offices,DELIVERY ORDER,2,2,98,1,1,0,62,323,1.0,14840827.814354839,6637189.875,101210178.16000001,13484680.395,1.065978272768454e-06,2.3835388617686637e-06,0.0,16,35,32732285.72,28505073.060000002,30618679.39,-2113606.33,55,295,858060073.4399999,778922823.84,818491448.64,-39568624.800000004,62,323,920131324.49,836050184.49,878090754.49,-42040570.00000001,0.9444444444444444,0.0775607190256618,1,4488027.63,0.016129032258064516,0.0,-1.055410512539734,2.300375460189119,2.6261282781897544,-4.195444371696344,-2.525529795818715,0.7726912982351726,-6.268304844162575,-9.294121888917905,-10.443314121289326,-24.086385758196727,-36.59663671762779,-39.62760731595052,1.3664436048095001,1.6007691144895257,-39.13461760238812,0.7695903597893979,57,0.24692527377680432,0.28932594006900736,1.8987547020582074,0.0,0.0,44,-1.2690477178951636,-0.652903307812952,3.4978545445831957,0.0,0.0,0,,,,,
