variable,kind,SN_on_dB,SN_off_dB,SN_effect_dB,AUC20_effect,relative_SN_contribution_pct,rank_SN_effect
log10_market_cap_before,scale_challenger,-0.1677228771282498,-1.1087075358341143,0.9409846587058646,0.013305092220545323,28.300829912023502,1
prior_abs_award_max,existing_11,-0.24974575353243608,-1.026684659429928,0.7769389058974918,0.02836810795977973,19.293358072640025,2
prior_response_count_60d,existing_11,-0.2846642685340494,-0.9917661444283147,0.7071018758942653,0.010818273584350835,15.980783357961043,3
prior_abs_award_median,existing_11,-0.41322060707479225,-0.8632098058875718,0.44998919881277955,0.020549942178404113,6.471996356983695,4
pre_volatility_market_20d,existing_11,-0.4900488180196564,-0.7863815949427077,0.29633277692305127,-0.010690870068013947,2.80668366387216,5
prior_transactions_30d,existing_11,-0.5541278379743669,-0.7223025749879972,0.16817473701363028,-0.010377261412414907,0.903973292681583,6
prior_response_mean_20d,existing_11,-0.5558494757346576,-0.7205809372277064,0.16473146149304885,-0.0034607205158861953,0.8673356315191412,7
relative_strength_spy_60d,existing_11,-0.5885289016235971,-0.687901511338767,0.09937260971516992,-0.012060457868637187,0.3156221515454413,8
log10_award_to_market_cap,scale_challenger,-0.646479903242767,-0.629950509719597,-0.016529393523170066,-0.006969217350398793,0.008732687592421852,9
prior_signed_award_mean,existing_11,-0.6660414710581666,-0.6103889419041975,-0.05565252915396912,-0.008799417863933012,0.0989928657664083,10
prior_award_days_30d,existing_11,-0.6926132251202315,-0.5838171878421325,-0.10879603727809894,0.010744771555695087,0.37832081762689307,11
relative_strength_spy_120d,existing_11,-0.7206038718549708,-0.5558265411073933,-0.1647773307475775,-0.006187645779023421,0.8678187156536401,12
transaction_amount_abs_sum,existing_11,-0.7411057814232989,-0.5353246315390652,-0.20578114988423368,-0.004168790058605598,1.3534594996130098,13
award_to_market_cap,scale_challenger,-0.884019512652567,-0.39241090030979714,-0.4916086123427698,0.006996168094239419,7.724547540640986,14
award_to_ltm_revenue,scale_challenger,-0.9764658952132923,-0.2999645177490717,-0.6765013774642206,0.004234941884395993,14.627545433880046,15
