ticker,award_date,company,transaction_amount_abs_sum,peak_pct,prior_response_count_60d,pre_volatility_market_20d,relative_strength_spy_120d,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_response_mean_20d,transaction_amount_abs_sum,prior_transactions_30d,relative_strength_spy_60d,prior_award_days_30d,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue,market_cap_before,ltm_revenue_before
ACN,2025-08-19,ACCENTURE FEDERAL SERVICES LLC,1069277.58,7.339369528064132,0,2.0322580652593905,-36.13908675886539,25607054.43,8867141.426666668,7641789.204999999,,1069277.58,23,-28.78791905881173,6,7.032945050010628e-06,-5.152862775814291,11.18195323669529,1.6162603890137517e-05,152038381132.86328,66157507000.0
ACN,2025-08-25,ACCENTURE FEDERAL SERVICES LLC,446163.18,7.268111068414762,0,2.058109112062746,-37.24956631330242,25607054.43,7761660.723,4860974.325,,446163.18,42,-28.215545447940805,10,2.8203175831031583e-06,-5.549701985005665,11.199195711906802,6.743953940102368e-06,158196077871.87305,66157507000.0
ACN,2025-08-27,ACCENTURE FEDERAL SERVICES LLC,1704503.97,7.315646131764031,0,2.0320543381334844,-37.61398469340037,25607054.43,8270161.792499999,5275616.140000001,,1704503.97,51,-27.24782732104152,12,1.0934927157571333e-05,-4.961184105646023,11.19278212273753,2.576433192985945e-05,155877030129.07617,66157507000.0
ACN,2025-09-02,ACCENTURE FEDERAL SERVICES LLC,35164804.77,10.01287403127884,0,1.7360484041662745,-36.93005122582306,26540331.520000003,8586747.517333332,6063204.65,,35164804.77,76,-26.64933138155078,15,0.00022164492225928964,-3.6543422136542074,11.200450424269064,0.0005315315882443999,158653780161.32812,66157507000.0
ACN,2025-09-03,ACCENTURE FEDERAL SERVICES LLC,78000.0,10.887276425651148,0,1.3951413814475238,-36.73007813088457,36320758.46,10320123.20125,9485794.185,,78000.0,81,-27.352034520694435,16,4.989293761513623e-07,-6.30196092475425,11.19405552744473,1.1790045232508535e-06,156334751426.4961,66157507000.0
ACN,2025-09-05,ACCENTURE FEDERAL SERVICES LLC,70000.0,13.175139070162434,0,1.2819016141175692,-34.92326676735609,36320758.46,10473543.066666666,13141988.28,,70000.0,94,-27.798883696418077,18,4.513163562221985e-07,-6.345518926864685,11.190616966878942,1.058080982404612e-06,155101846044.18945,66157507000.0
ACN,2025-09-08,ACCENTURE FEDERAL SERVICES LLC,2369986.14,12.90058141359398,0,1.2440570742934236,-35.83623640134678,43706678.09,12222655.43631579,13375592.84,,2369986.14,103,-27.751569912235777,19,1.5159726167382976e-05,-4.819308643365483,11.19405444957005,3.5823389475664494e-05,156334363420.04395,66157507000.0
ACN,2025-09-11,ACCENTURE FEDERAL SERVICES LLC,5452824.529999999,18.18144590667652,0,1.3633932032540883,-35.04113557788543,45158749.55,13988039.111363636,13457504.295,,5452824.529999999,123,-31.37857178714316,22,3.675288955381626e-05,-4.434708510513262,11.171330032979313,8.242185622260523e-05,148364512183.88086,66157507000.0
ACN,2025-09-15,ACCENTURE FEDERAL SERVICES LLC,960454.73,21.30156161677609,0,1.4490131883930413,-37.25551810375738,45158749.55,13354777.726,13375592.84,,960454.73,120,-32.92350086054798,21,6.597638104591777e-06,-5.180611510174319,11.16308840985144,1.4517698346765091e-05,145575540030.23438,66157507000.0
ACN,2025-09-16,ACCENTURE FEDERAL SERVICES LLC,360000.0,21.84451743206337,0,1.4291153766129625,-37.60208428159601,45158749.55,13272359.425384616,13141988.28,2.2028835629630983,360000.0,125,-27.66022740029037,21,2.4799082705887204e-06,-5.60556438301004,11.161866883777327,5.441559338080862e-06,145166659698.48047,66157507000.0
ACN,2025-09-18,ACCENTURE FEDERAL SERVICES LLC,892830.53,20.450838684981896,0,1.351092841135355,-38.71185038615727,45158749.55,14621518.98535714,13457504.295,-0.5051457535977096,892830.53,140,-29.08613148732302,22,6.064467633784137e-06,-5.217207317445002,11.167976349826853,1.3495528632903292e-05,147223232757.67688,66157507000.0
ACN,2025-09-19,ACCENTURE FEDERAL SERVICES LLC,2803724.35,20.375469884725028,0,1.3532487535544169,-40.57915666773424,45158749.55,14353322.47413793,13375592.84,-1.3039231328670935,2803724.35,142,-27.851007048031303,22,1.9178388792696004e-05,-4.71718788141111,11.164923194857447,4.237953449485332e-05,146191861073.74072,66157507000.0
ACN,2025-09-22,ACCENTURE FEDERAL SERVICES LLC,188377.58,20.230007873239607,0,1.2416964009325844,-42.214374768026346,45158749.55,14489383.538333332,13457504.295,-2.5176859205332285,188377.58,135,-27.824903310860616,20,1.2877577898416266e-06,-5.890165814326435,11.165195027742502,2.847410498705763e-06,146283393885.09338,66157507000.0
ACN,2025-09-23,ACCENTURE FEDERAL SERVICES LLC,3351969.8,22.522295660665947,0,1.2729839078560323,-43.05350484063749,45158749.55,14537583.948387096,13539415.75,-2.975363592939075,3351969.8,147,-28.048989669876743,21,2.288652992386672e-05,-4.6404200504516995,11.165720147595966,5.066650712820844e-05,146460376961.9295,66157507000.0
ACN,2025-09-25,ACCENTURE FEDERAL SERVICES LLC,1500147.81,24.071218418292297,0,1.4247621188669428,-45.39895680199318,101210178.16,17961345.226969697,14447915.92,-3.614555654381295,1500147.81,169,-29.603097151269708,22,1.0281672945145724e-05,-4.987936214938694,11.164070267264233,2.267539812224182e-05,145905031020.09906,66157507000.0
ACN,2025-09-30,ACCENTURE FEDERAL SERVICES LLC,8421236.97,17.00729453138756,0,1.7352845313184522,-46.43897111498059,101210178.16,19784949.042894736,15655307.075,-4.531040986910165,8421236.97,188,-25.165536686465373,23,5.434301081883202e-05,-4.2648563036107765,11.19023219199746,0.00012729072408970913,154964490246.49377,66157507000.0
ACN,2025-10-22,ACCENTURE FEDERAL SERVICES LLC,1124050.59,15.814405783931296,0,2.029157677126188,-36.94788028599941,101210178.16,17280731.926382978,12908383.72,-2.7956262333309163,1124050.59,114,-16.084216143205754,17,7.38465412552332e-06,-5.131669840892901,11.182455698801574,1.6133236132568298e-05,152214385520.7766,69672977000.0
ACN,2025-10-28,ACCENTURE FEDERAL SERVICES LLC,1407.1,13.88987376194899,0,1.7155883377984258,-39.95654137152491,101210178.16,16359105.3612,10410195.385,-2.307697666874093,1407.1,46,-11.255087857160472,14,9.2346142787888e-09,-8.034581239919683,11.1829062029585,2.0195778343158782e-08,152372363102.59332,69672977000.0
ACN,2025-10-31,ACCENTURE FEDERAL SERVICES LLC,780339.0,15.369858354689692,0,1.7753452314743208,-39.627152531602185,101210178.16,15576645.385849057,8825035.73,-1.673966770743328,780339.0,28,-4.710474178759494,14,5.1524941874771425e-06,-5.287982489475587,11.180265802224177,1.1200023791146458e-05,151448788025.1416,69672977000.0
ACN,2025-11-07,ACCENTURE FEDERAL SERVICES LLC,289485.6,17.407236338374577,0,1.7274264059971622,-36.11210028743916,101210178.16,14770113.798571426,8153143.284999999,-1.1611090514435551,289485.6,31,-4.4853516370185975,14,1.974090429840029e-06,-5.704632956893844,11.166259922207452,4.154919345559182e-06,146642522360.77075,69672977000.0
ACN,2025-11-12,ACCENTURE FEDERAL SERVICES LLC,155000.0,17.04051848151982,0,1.708002917816582,-39.5775868114347,101210178.16,14378337.546724137,8041172.779999999,-1.212408581278294,155000.0,33,-10.760013598736885,15,1.0516758218142586e-06,-5.978118110461753,11.168449808632044,2.2246788737045065e-06,147383819980.38867,69672977000.0
ACN,2025-11-18,ACCENTURE FEDERAL SERVICES LLC,15.82,20.22499928784962,0,1.3664436048095,-36.59663671762779,101210178.16,13484680.395,6637189.875,-1.2690477178951636,15.82,35,-9.294121888917903,16,1.0741579337513677e-10,-9.968931859498575,11.168138338660233,2.2706077278713095e-10,147278156246.07965,69672977000.0
ACN,2025-11-20,ACCENTURE FEDERAL SERVICES LLC,153657.52,19.830570815207203,2,1.3679156750735846,-33.771163949693474,101210178.16,13270260.787142858,6063204.65,-1.1121776061136546,153657.52,38,-7.543319419199923,17,1.0443969751341351e-06,-5.981134394685608,11.167688214172806,2.2054105711601786e-06,147125588888.52133,69672977000.0
ACN,2025-11-21,ACCENTURE FEDERAL SERVICES LLC,100000.0,14.568204426009835,3,1.7217077641358487,-30.301534243499685,101210178.16,13162694.163125,6637189.875,-1.0258071596821796,100000.0,42,-3.5259223849747223,17,6.805100729958801e-07,-6.167165441931403,11.167165441931404,1.4352766927125849e-06,146948596307.70728,69672977000.0
ACN,2025-11-24,ACCENTURE FEDERAL SERVICES LLC,7932695.37,18.43854600006316,5,1.8535318668158252,-35.47742680044402,101210178.16,13222344.18753846,7211175.1,-1.0258071596821796,7932695.37,40,-10.247628710000134,15,5.1612133688121696e-05,-4.287248186467291,11.186668963371867,0.00011385612774950035,153698264403.0017,69672977000.0
ACN,2025-11-25,ACCENTURE FEDERAL SERVICES LLC,888176.26,15.772592119786877,6,1.9162185740161397,-35.05422675935283,101210178.16,13351159.613787878,7532877.645,-1.0932462492995023,888176.26,46,-8.428839323163483,16,5.973917281403028e-06,-5.2237407952034225,11.172239955969937,1.274778684998633e-05,148675687687.36014,69672977000.0
ACN,2025-12-10,ACCENTURE FEDERAL SERVICES LLC,2025961.79,5.995157439287224,16,1.974980049987324,-20.149699700463287,101210178.16,12292016.0868,7211175.1,-0.7737534325361118,2025961.79,60,10.486827369401276,18,1.2316779377974271e-05,-4.909502837725627,11.216134087955892,2.9078157375132686e-05,164487949960.60147,69672977000.0
ACN,2025-12-12,ACCENTURE FEDERAL SERVICES LLC,317433.59,6.252777757706229,18,1.978676693910348,-21.913634776651904,101210178.16,12383652.64974026,7854580.189999999,-0.4149979440385791,317433.59,78,10.13268121956188,19,1.923833007419784e-06,-5.7158326282980125,11.217485509065268,4.556050332110828e-06,165000594529.63498,69672977000.0
ACN,2025-12-16,ACCENTURE FEDERAL SERVICES LLC,9289800.31,6.065289135555818,20,1.9220767814973316,-18.91753815690952,101210178.16,12260006.27898734,7854580.189999999,-0.2317278230264949,9289800.31,81,11.550697804903898,18,5.227490134222279e-05,-4.281706778148142,11.249713156813778,0.00013333433864897148,177710527834.0634,69672977000.0
ACN,2025-12-23,ACCENTURE FEDERAL SERVICES LLC,120000.0,6.562780778952049,26,1.5052997993178556,-21.3592777342566,101210178.16,13226626.37654762,8339735.875,0.709745071238196,120000.0,96,5.658801225094456,19,7.296430354615913e-07,-6.136889558571773,11.216070804619397,1.696699256818861e-06,164463983301.21094,70725557000.0
ACN,2025-12-29,ACCENTURE FEDERAL SERVICES LLC,951038.99,6.33892157144087,30,1.4375251973789265,-19.16023540966737,138676687.43,14701527.485882357,8451706.379999999,1.1575211051089602,951038.99,92,7.962610800701818,17,5.773699508490673e-06,-5.23854582267218,11.216744144861686,1.3446892896156335e-05,164719169849.66455,70725557000.0
ACN,2026-01-08,ACCENTURE FEDERAL SERVICES LLC,332000.0,2.384489512087784,40,1.5941682042791598,-10.717705998593551,186403763.58,16005276.558021978,8227765.37,1.3085004776811076,332000.0,93,11.409166673358053,17,1.994291095821648e-06,-5.700211449794633,11.22134953349867,4.694201277198849e-06,166475195469.5039,70725557000.0
ACN,2026-01-13,ACCENTURE FEDERAL SERVICES LLC,1641138.0,4.241328197621463,41,1.6202131230002308,-13.248956631946008,186403763.58,15739346.034301076,7854580.189999999,1.4010948967786805,1641138.0,71,12.955346819505298,15,9.613245123014759e-06,-5.017129983703168,11.23227508524293,2.3204313541143268e-05,170716337615.38074,70725557000.0
ACN,2026-01-15,ACCENTURE FEDERAL SERVICES LLC,30000.0,0.0,42,1.8380360036438583,-7.646398374268615,186403763.58,17148156.80094737,7854580.189999999,1.4558840168370044,30000.0,77,15.400810826328136,16,1.7111363292261367e-07,-6.7667153880790005,11.243836642798664,4.241748142047153e-07,175322091452.33643,70725557000.0
ACN,2026-01-20,ACCENTURE FEDERAL SERVICES LLC,697618.19,4.539618371316823,43,2.128722482064596,-9.493025450067416,186403763.58,17285727.046804123,8227765.37,1.5608551059445577,697618.19,59,7.696191018760468,14,4.011459218871401e-06,-5.396697618545406,11.240315414600698,9.863735537635992e-06,173906339797.28467,70725557000.0
ACN,2026-01-23,ACCENTURE FEDERAL SERVICES LLC,2742000.0,0.0,45,2.262877557635325,-1.430581416705378,186403763.58,16879025.9966,8339735.875,1.6090796579104196,2742000.0,64,11.203309752258429,15,1.5829049882635807e-05,-4.8005451522956974,11.23861260274919,3.876957801831098e-05,173225810792.84656,70725557000.0
