run,n_features,sn,auc20,auc50,rho,prior_response_count_60d,pre_volatility_market_20d,relative_strength_spy_120d,prior_abs_award_max,prior_signed_award_mean,prior_abs_award_median,prior_response_mean_20d,transaction_amount_abs_sum,prior_transactions_30d,relative_strength_spy_60d,prior_award_days_30d,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
1,15,0.30377469054944894,0.6339892981046278,0.7857826384142174,0.1488380560297758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,0.2860232843155407,0.6439855740018425,0.8604921394395079,0.13280541698583598,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,7,-0.697561269610568,0.617554244497148,0.8272727272727273,0.16856841948558712,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
4,7,-2.2859992438381727,0.6382132146847254,0.6826384142173616,0.14555202197847117,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
5,7,-0.7885776218756063,0.5797644014974813,0.7368421052631579,0.084595680456697,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
6,7,-1.9742327054061362,0.5597718497030518,0.737593984962406,0.05712784962067425,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
7,7,-0.03150569894067904,0.6325878594249201,0.7695146958304853,0.22642863545942502,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
8,7,-0.7407676865802181,0.6201611164468139,0.7392344497607655,0.16832864243858733,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
9,7,0.5944592556072772,0.6322840510398084,0.8096377306903622,0.21088433431224593,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,7,-0.6905962931303495,0.6375467962915776,0.7305536568694463,0.18501012230095107,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
11,7,0.10324300280469005,0.6482976930163273,0.8203007518796992,0.15954154117015418,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
12,7,0.3886905450426448,0.6043042787980949,0.7168831168831169,0.11407084844916662,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
13,7,-0.9852025060663699,0.613193124130226,0.848257006151743,0.09609960336746445,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
14,7,-0.6660386481510558,0.5994041435543621,0.7142857142857143,0.1319996160869182,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
15,7,-0.7759440007405881,0.6283051412218976,0.8000683526999317,0.2129395853413342,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
16,7,-2.2512084076787704,0.5960426507771615,0.6274777853725222,0.12369348604895233,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
