variable,kind,SN_on_dB,SN_off_dB,SN_effect_dB,AUC20_effect,relative_SN_contribution_pct,rank_SN_effect
prior_response_count_60d_adj,engineered,1.037396087463437,0.24038118712669349,0.7970149003367435,0.029868774378172813,23.510985281008697,1
log10_market_cap_before,gang8,1.0005759267716166,0.27720134781851374,0.7233745789531028,0.011684372488680594,19.3670927938436,2
prior_abs_award_max,gang8,0.9861832329507324,0.2915940416393981,0.6945891913113342,0.034153942648817104,17.856403452472552,3
relative_strength_spy_120d,resurrected,0.8968895993860031,0.3808876752041274,0.5160019241818756,0.01202493188812015,9.854636069613633,4
prior_abs_award_median_adj,engineered,0.8952069408420803,0.3825703337480503,0.51263660709403,0.03194888178913746,9.726513179319415,5
prior_response_count_60d,gang8,0.837779492192544,0.43999778239758647,0.3977817097949575,0.018270154256257443,5.8563573421572155,6
prior_abs_award_median,gang8,0.7788934694620104,0.49888380512812003,0.2800096643338904,0.015344773515748922,2.901910341320631,7
relative_strength_spy_60d,gang8,0.7208395686734388,0.5569377059166917,0.16390186275674712,-0.010216781983182655,0.9942731852584877,8
log10_mcap_x_prior_abs_award_max_adj,engineered,0.6467841141214731,0.6309931604686574,0.015790953652815687,-0.005887512495344915,0.009229000424400922,9
transaction_amount_abs_sum,resurrected,0.5881994352906286,0.6895778392995018,-0.10137840400887321,-0.0025725710029597115,0.38038978686454666,10
prior_signed_award_mean,resurrected,0.5874685865524519,0.6903086880376785,-0.1028401014852266,-0.017010819498618157,0.39143796171884554,11
prior_response_mean_20d,gang8,0.5345408242749387,0.7432364503151918,-0.20869562604025316,-0.0204090632901468,1.6119985327647623,12
prior_transactions_30d,gang8,0.5302890234287667,0.7474882511613639,-0.21719922773259714,-0.018201552362845264,1.7460412584220841,13
prior_abs_award_max_adj,engineered,0.5068587914634058,0.7709184831267245,-0.26405969166331866,-0.00478498206550515,2.580727632185401,14
pre_volatility_market_20d,gang8,0.491593272177823,0.7861840024123075,-0.29459073023448445,-0.02100197965463846,3.212004182625727,15
