run,n_features,sn,auc20,auc50,rho,log10_market_cap_before,prior_abs_award_max,prior_response_count_60d,prior_abs_award_median,pre_volatility_market_20d,prior_transactions_30d,prior_response_mean_20d,relative_strength_spy_60d,prior_abs_award_max_adj,prior_abs_award_median_adj,prior_response_count_60d_adj,log10_mcap_x_prior_abs_award_max_adj,relative_strength_spy_120d,prior_signed_award_mean,transaction_amount_abs_sum
1,15,2.095057442920437,0.672592563554754,0.7872863978127136,0.22937414139089107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,7,0.529608781600687,0.649512926556773,0.7207108680792891,0.1882756200901674,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,7,0.3231483936503218,0.6165448166369392,0.7965823650034176,0.10592936279202393,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0
4,7,0.5271448924957212,0.6437797683216057,0.7252904989747095,0.24309710454301184,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
5,7,2.2079589902532897,0.7303063564554382,0.9073137388926863,0.27621889451765913,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0
6,7,0.46518465673006965,0.6433093553382074,0.8717703349282298,0.16774544191534504,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1
7,7,-0.8241767775507254,0.5578705972284835,0.6422419685577581,0.0737119135675758,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1
8,7,0.4427901692877089,0.6131147219663263,0.6105263157894738,0.1394279522500673,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
9,7,0.5579893920556437,0.6392226425449342,0.8518796992481202,0.2297916591143468,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
10,7,0.8876981884287481,0.6852153119426097,0.6971975393028025,0.20914335772826237,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1
11,7,0.9969463466588762,0.667643426958584,0.8147641831852357,0.22825231905967133,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1
12,7,0.31355431788564847,0.6547658715380544,0.8172248803827751,0.24700469953573675,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0
13,7,1.3260396840696795,0.6700444932280131,0.7971291866028708,0.1819041500979029,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
14,7,-0.18007127245269616,0.614310354965797,0.6149008885850991,0.11657672444160305,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
15,7,1.321643942115411,0.6604108273388345,0.7395078605604921,0.23270992181889022,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0
16,7,-0.7682989514277769,0.6171524334071621,0.922282980177717,0.19377514800389137,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1
