ticker,award_date,company,MTS_signal_score,stage2_v2_pred_peak,stage2_rank_high_to_low,peak_pct,hit_5p0,hit_7p5,hit_10p0,hit_12p5,hit_15p0,hit_20p0,log_market_cap_preaward,award_to_market_cap,award_to_adv60
SATL,2025-12-23,IRIDIUM SATELLITE LLC,3.3541054051833896,200.44195556640625,1,273.7623892091278,1,1,1,1,1,1,19.485045648431175,0.0,0.0
SATL,2026-02-12,IRIDIUM SATELLITE LLC,5.82600616313126,199.7786102294922,2,276.84210984220374,1,1,1,1,1,1,19.946804192078925,0.0,0.0
SATL,2026-03-05,IRIDIUM SATELLITE LLC,4.074722162182426,199.3448028564453,3,235.6249878462406,1,1,1,1,1,1,19.99529856699063,0.0016902799903340264,0.026343297008753142
SATL,2026-03-23,IRIDIUM SATELLITE LLC,3.0372378158818334,192.16993713378906,4,116.53225178463033,1,1,1,1,1,1,20.05557500222936,0.002924594804831664,0.046071716414366415
SATL,2026-03-16,SATELLITE SERVICES INC,3.1052426506970288,184.26197814941406,5,267.80820172954714,1,1,1,1,1,1,19.865984786085125,0.0013468591306199929,0.018318984290004274
ONDS,2025-09-19,"CONDOR RELIABILITY SERVICES, INC.",12.431065479682818,176.87103271484375,6,108.48215277224406,1,1,1,1,1,1,21.492359197187586,0.0,0.0
LUNR,2026-02-05,"INTUITIVE MACHINES, LLC",4.539616723934593,172.1458740234375,7,208.99256849770632,1,1,1,1,1,1,21.583529007895088,0.000296135513102587,0.004421322291481669
SATL,2025-10-27,SATELLITE SERVICES INC,3.438830396890023,164.15423583984375,8,169.6078481787859,1,1,1,1,1,1,19.571782326415875,0.005642087489831818,0.16630494261121498
RDW,2026-02-05,"REDWIRE SPACE TECHNOLOGIES, INC.",5.389234408113303,160.7347869873047,9,194.31817110412402,1,1,1,1,1,1,21.22795002628508,0.0,0.0
SATL,2026-03-12,IRIDIUM SATELLITE LLC,2.746096788033043,158.81410217285156,10,257.99999237060547,1,1,1,1,1,1,19.91204551609734,0.0026683670408654547,0.038034535273821155
RDW,2025-12-17,"REDWIRE SPACE TECHNOLOGIES, INC.",2.8775003179328973,150.07061767578125,11,120.49688948906527,1,1,1,1,1,1,20.807922822603125,6.202084958985714e-05,0.0010848922378901894
SATL,2025-10-20,IRIDIUM SATELLITE LLC,3.6032673730790674,149.3852081298828,12,118.25396990589847,1,1,1,1,1,1,19.475500803471423,0.0,0.0
BKSY,2025-11-24,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",2.812001455782386,126.32032012939453,13,112.14953804132755,1,1,1,1,1,1,20.128635496508377,0.000181236086459365,0.0022178615405202533
SPIR,2025-08-29,"CORESPHERE, LLC",2.73971540052872,124.5315170288086,14,55.42035674804231,1,1,1,1,1,1,19.461341573805807,0.0,0.0
RDW,2026-02-18,"REDWIRE DEFENSE TECH SLO, LLC",5.431293629854437,121.4007568359375,15,208.3333427943885,1,1,1,1,1,1,21.001810992614082,0.0,0.0
LUNR,2025-10-31,"INTUITIVE MACHINES, LLC",3.6235803872137438,119.58683776855469,16,91.19864947569498,1,1,1,1,1,1,21.015642860173383,0.0,0.0
SATL,2025-09-30,"SEASATELLITES, INC.",2.357288205156606,117.46571350097656,17,67.68292829190459,1,1,1,1,1,1,19.685320662325836,0.0,0.0
LUNR,2025-09-18,"INTUITIVE MACHINES, LLC",2.702119650197157,115.85025024414062,18,138.1002050897539,1,1,1,1,1,1,20.812526080499556,0.0009146075218888594,0.012804468655080671
SATL,2025-09-17,IRIDIUM SATELLITE LLC,2.25822376515758,115.5255126953125,19,55.807366701893635,1,1,1,1,1,1,19.80194390904569,0.0,0.0
LUNR,2025-09-10,"INTUITIVE MACHINES, LLC",3.323705175958223,112.52826690673828,20,159.99999310596897,1,1,1,1,1,1,20.718823355659538,0.0,0.0
BKSY,2025-12-16,"BLACKSKY GEOSPATIAL SOLUTIONS, LLC",2.908761620784451,106.72618865966797,21,126.26600668368101,1,1,1,1,1,1,20.262166920237735,0.0,0.0
ONDS,2026-01-23,CONDOR SECURITY OF AMERICA INC,9.668187523237863,72.20545959472656,22,11.585865559349173,1,1,1,0,0,0,22.397163910970544,1.56878167420597e-05,9.051697721980792e-05
KTOS,2025-08-26,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",3.733331770216332,66.97677612304688,23,55.28287058058512,1,1,1,1,1,1,23.147388584413232,2.827975405478633e-06,0.0001349865826182304
KTOS,2025-08-20,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",4.84760045732351,59.05045700073242,24,64.41575180997809,1,1,1,1,1,1,23.10338507657671,0.0003529511295326718,0.01663290334379325
KTOS,2025-09-18,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",3.135099287628857,50.554290771484375,25,62.083073462506746,1,1,1,1,1,1,23.271498950925768,1.3069612768651335e-06,6.496770138377692e-05
KTOS,2025-09-23,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",3.269367962694133,48.670406341552734,26,55.80452782278271,1,1,1,1,1,1,23.335178947824947,2.517025160688167e-05,0.0011284556716190557
KTOS,2025-10-08,"KRATOS TECHNOLOGY & TRAINING SOLUTIONS, INC.",3.6202032335426604,47.488365173339844,27,23.705880085005624,1,1,1,1,1,1,23.585598258772336,0.0,0.0
KTOS,2025-09-25,"KRATOS UNMANNED AERIAL SYSTEMS, INC",3.0627525158521594,46.984432220458984,28,55.249413252421874,1,1,1,1,1,1,23.34086147182691,0.0,0.0
KTOS,2025-09-30,"KRATOS UNMANNED AERIAL SYSTEMS, INC",3.6010228203908783,46.61042022705078,29,43.06664910940161,1,1,1,1,1,1,23.422438069859872,0.0,0.0
KTOS,2025-10-16,"KRATOS DEFENSE & ROCKET SUPPORT SERVICES, INC.",2.987656061243272,40.981685638427734,30,47.5062030798062,1,1,1,1,1,1,23.460656816337632,2.0798029119869247e-06,9.5316045476958e-05
AVAV,2025-08-14,"AEROVIRONMENT, INC",3.5608500215011487,40.41688919067383,31,64.1092354077478,1,1,1,1,1,1,23.261033150547696,0.0,0.0
RKLB,2025-08-18,ROCKET LAB USA INC,3.526542782227775,39.43089294433594,32,72.44830097103849,1,1,1,1,1,1,23.784618392105543,2.8796956735358604e-05,0.0007228521358089013
BAH,2025-10-31,BOOZ ALLEN HAMILTON INC,2.4216756171662603,36.886474609375,33,18.061133096274617,1,1,1,1,1,0,23.00880236816941,0.0,0.0
AVAV,2025-09-12,"AEROVIRONMENT, INC",2.211277140536504,31.778118133544922,34,68.65431546183771,1,1,1,1,1,1,23.21432892691459,0.00016564374531124494,0.005124850254318913
VSEC,2025-12-11,VSE CORPORATION,3.200116331515498,31.627775192260742,35,30.94067585895912,1,1,1,1,1,1,22.10283435365335,0.0,0.0
HII,2025-08-12,HUNTINGTON INGALLS INCORPORATED,3.3596134742259216,31.30253791809082,36,23.97049694493518,1,1,1,1,1,1,23.05441308389981,0.0,0.0
AVAV,2025-09-03,"AEROVIRONMENT, INC",3.0015728230099707,29.915576934814453,37,72.03122777241853,1,1,1,1,1,1,23.237822403597825,0.0021225270663847965,0.07157005601333238
