Date,Shares
2024-04-20,628729024
2024-04-23,628729024
2024-04-24,628729024
2024-04-25,637966976
2024-04-25,635326016
2024-04-25,628729024
2024-04-26,628729024
2024-04-30,628729024
2024-04-30,638787008
2024-05-03,628729024
2024-05-04,628729024
2024-05-07,628729024
2024-05-08,628729024
2024-05-09,628729024
2024-05-10,639761024
2024-05-10,628729024
2024-05-11,628729024
2024-05-11,629304000
2024-05-14,628729024
2024-05-15,629670976
2024-05-16,628729024
2024-05-17,628729024
2024-05-18,628729024
2024-05-21,632993984
2024-05-22,628729024
2024-05-23,628729024
2024-05-24,628729024
2024-05-24,631153984
2024-05-25,628729024
2024-05-25,639048000
2024-05-29,628729024
2024-05-30,628729024
2024-05-31,648531008
2024-05-31,628729024
2024-06-01,628729024
2024-06-04,628729024
2024-06-05,628729024
2024-06-07,628729024
2024-06-12,628729024
2024-06-13,628729024
2024-06-13,647411008
2024-06-21,626384000
2024-06-25,626384000
2024-06-26,626384000
2024-06-28,626384000
2024-06-28,629339008
2024-06-29,626384000
2024-07-02,626384000
2024-07-06,626384000
2024-07-09,626384000
2024-07-10,629347968
2024-07-10,626384000
2024-07-11,626384000
2024-07-11,631939008
2024-07-17,626384000
2024-07-18,626384000
2024-07-19,626384000
2024-07-23,626384000
2024-07-24,626384000
2024-07-24,628622016
2024-07-25,626384000
2024-08-01,626384000
2024-08-06,626384000
2024-08-09,626384000
2024-08-10,626384000
2024-08-10,626483968
2024-08-13,630115008
2024-08-13,626384000
2024-08-15,626384000
2024-08-20,626384000
2024-08-21,626384000
2024-08-22,626384000
2024-08-23,626384000
2024-08-24,626384000
2024-08-27,626384000
2024-08-28,626384000
2024-08-29,626384000
2024-08-29,631936000
2024-09-04,626513024
2024-09-04,626384000
2024-09-06,626384000
2024-09-06,632006016
2024-09-07,626384000
2024-09-07,628393024
2024-09-10,626384000
2024-09-11,626384000
2024-09-12,626384000
2024-09-13,626384000
2024-09-14,626384000
2024-09-19,626384000
2024-09-21,626384000
2024-09-25,626384000
2024-09-27,626000000
2024-09-28,626000000
2024-09-28,636937984
2024-10-16,624856000
2024-10-17,624856000
2024-10-18,629707008
2024-10-18,624856000
2024-10-23,624856000
2024-10-24,624856000
2024-10-25,635835008
2024-10-25,641880000
2024-10-29,624856000
2024-10-30,624856000
2024-10-31,654550976
2024-10-31,624856000
2024-11-01,628027008
2024-11-01,624856000
2024-11-05,624856000
2024-11-05,628072000
2024-11-06,624856000
2024-11-07,624856000
2024-11-14,624856000
2024-11-15,624856000
2024-11-16,624856000
2024-11-16,639878016
2024-11-19,626236992
2024-11-20,624856000
2024-11-21,624856000
2024-11-23,624856000
2024-11-30,624856000
2024-12-04,640524032
2024-12-04,624856000
2024-12-05,624856000
2024-12-06,624856000
2024-12-06,628171008
2024-12-07,624856000
2024-12-10,624856000
2024-12-13,631204992
