Date,Shares
2024-04-24,28135700
2024-04-25,28135700
2024-04-25,28190900
2024-04-27,28135700
2024-05-02,28135700
2024-05-03,28135700
2024-05-09,28135700
2024-05-10,28135700
2024-05-11,28273000
2024-05-11,28135700
2024-05-15,28135700
2024-05-17,28181000
2024-05-17,28135700
2024-05-18,28135700
2024-05-21,28188600
2024-05-22,28135700
2024-05-23,28135700
2024-05-23,28221800
2024-05-30,28135700
2024-05-31,28135700
2024-06-04,28135700
2024-06-06,28135700
2024-06-07,28135700
2024-06-11,28135700
2024-06-12,28135700
2024-06-13,28135700
2024-06-18,28135700
2024-06-21,30326100
2024-06-21,28135700
2024-06-22,28135700
2024-06-25,28135700
2024-06-27,28135700
2024-06-28,28133900
2024-06-28,30495300
2024-06-29,28133900
2024-07-03,28133900
2024-07-03,28868400
2024-07-06,28133900
2024-07-09,28133900
2024-07-10,28133900
2024-07-10,28517700
2024-07-11,28133900
2024-07-12,28133900
2024-07-13,28133900
2024-07-17,28133900
2024-07-18,28133900
2024-07-18,28765000
2024-07-27,28133900
2024-07-30,28133900
2024-08-03,28133900
2024-08-06,28133900
2024-08-09,28133900
2024-08-10,28133900
2024-08-10,28199400
2024-08-14,28206500
2024-08-17,28206500
2024-08-20,28206500
2024-08-20,28301600
2024-08-22,28206500
2024-08-23,28206500
2024-08-27,29494400
2024-08-27,28206500
2024-08-29,28206500
2024-08-30,28206500
2024-08-31,28206500
2024-09-04,28206500
2024-09-04,29844000
2024-09-06,28206500
2024-09-06,29789300
2024-09-07,28827400
2024-09-07,28206000
2024-09-10,28206000
2024-09-11,28231800
2024-09-11,28206000
2024-09-12,28206000
2024-09-13,28206000
2024-09-14,28206000
2024-09-16,31227900
2024-09-17,28206000
2024-09-18,28206000
2024-09-20,28206000
2024-09-21,28206000
2024-09-24,28206000
2024-10-02,28206000
2024-10-03,28206000
2024-10-04,28206000
2024-10-04,28594300
2024-10-08,28206000
2024-10-10,28206000
2024-10-11,28206000
2024-10-12,28206000
2024-10-14,28234900
2024-10-15,28206000
2024-10-16,28206000
2024-10-17,28206000
2024-10-24,28206000
2024-10-25,28206000
2024-10-29,28206000
2024-10-30,28759500
2024-10-31,28206000
2024-11-01,28418600
2024-11-01,28206000
2024-11-05,28206000
2024-11-06,28206000
2024-11-07,28649500
2024-11-07,28206000
2024-11-08,28206000
2024-11-09,28206000
2024-11-15,28206000
2024-11-16,28796800
2024-11-16,28206000
2024-11-19,28634000
2024-11-20,28206000
2024-11-21,28204400
2024-12-03,28204400
2024-12-04,29678100
2024-12-04,28204400
2024-12-06,33529500
2024-12-06,28204400
2024-12-11,29433700
2024-12-11,28204400
2024-12-12,28204400
2024-12-13,28290500
