Date,Shares
2024-04-20,129746000
2024-04-23,129746000
2024-04-25,131157000
2024-04-25,129746000
2024-04-27,129746000
2024-04-30,129746000
2024-05-01,129746000
2024-05-02,129746000
2024-05-04,129746000
2024-05-07,129746000
2024-05-08,129746000
2024-05-11,129746000
2024-05-14,129746000
2024-05-15,132148000
2024-05-16,129746000
2024-05-17,129746000
2024-05-21,129746000
2024-05-23,130329000
2024-05-23,129746000
2024-05-24,129746000
2024-05-24,130683000
2024-05-25,129320000
2024-05-31,131630000
2024-05-31,129320000
2024-06-04,129320000
2024-06-05,129320000
2024-06-06,129320000
2024-06-07,129320000
2024-06-07,130289000
2024-06-08,129320000
2024-06-11,129320000
2024-06-12,129320000
2024-06-12,130299000
2024-06-13,129320000
2024-06-14,129320000
2024-06-15,129452000
2024-06-19,129452000
2024-06-21,129452000
2024-06-22,129452000
2024-06-26,129452000
2024-07-13,129452000
2024-07-18,129452000
2024-07-18,131051000
2024-07-26,129452000
2024-07-27,129452000
2024-07-30,129191000
2024-07-31,134467008
2024-08-01,129191000
2024-08-02,129191000
2024-08-03,129191000
2024-08-09,129191000
2024-08-10,129191000
2024-08-10,129348000
2024-08-13,130312000
2024-08-13,129191000
2024-08-14,129191000
2024-08-16,129191000
2024-08-17,129191000
2024-08-17,129436000
2024-08-20,129191000
2024-08-23,129191000
2024-08-24,129191000
2024-08-27,130005000
2024-08-27,129191000
2024-08-29,129191000
2024-08-29,129398000
2024-08-31,129191000
2024-09-04,131106000
2024-09-04,129191000
2024-09-05,129191000
2024-09-06,129191000
2024-09-06,129953000
2024-09-07,132393000
2024-09-07,129191000
2024-09-10,129191000
2024-09-11,129284000
2024-09-11,129191000
2024-09-12,129378000
2024-09-12,129191000
2024-09-14,129191000
2024-09-17,129191000
2024-09-18,129191000
2024-09-18,131676000
2024-09-20,129191000
2024-09-21,129191000
2024-09-28,129191000
2024-10-02,129191000
2024-10-03,129191000
2024-10-04,129472000
2024-10-04,129191000
2024-10-05,129319000
2024-10-05,129191000
2024-10-08,129191000
2024-10-09,129191000
2024-10-10,129191000
2024-10-16,129191000
2024-10-18,129191000
2024-10-23,129191000
2024-10-29,127773000
2024-10-29,129035000
2024-10-30,128260000
2024-10-30,127773000
2024-10-31,127773000
2024-11-01,129053000
2024-11-01,127773000
2024-11-07,131550000
2024-11-07,127773000
2024-11-12,127773000
2024-11-14,127773000
2024-11-16,127773000
2024-11-16,132203000
2024-11-19,135819008
2024-11-20,127773000
2024-11-22,127773000
2024-11-26,127773000
2024-11-27,127773000
2024-11-28,127773000
2024-12-03,127773000
2024-12-04,127773000
2024-12-04,130118000
2024-12-06,127773000
2024-12-06,129358000
2024-12-10,127773000
2024-12-12,127773000
2024-12-13,127773000
2024-12-17,127773000
2024-12-18,127773000
2024-12-24,127773000
2025-01-03,127773000
2025-01-04,127773000
2025-01-07,128936000
2025-01-07,127773000
2025-01-11,127773000
2025-01-14,127773000
2025-01-18,127998000
2025-01-18,127773000
2025-01-24,127773000
2025-01-28,127773000
2025-01-29,127773000
2025-01-30,127773000
2025-01-31,127773000
2025-02-01,126646000
2025-02-04,127048000
2025-02-04,126646000
2025-02-06,126646000
2025-02-07,126646000
2025-02-08,127853000
2025-02-08,126646000
2025-02-11,126646000
2025-02-12,126646000
2025-02-14,126646000
2025-02-15,126807000
2025-02-15,126646000
2025-02-20,126646000
2025-02-25,126646000
2025-02-27,127940000
2025-02-27,126646000
2025-02-28,126646000
2025-03-04,130764000
2025-03-04,126646000
2025-03-05,126646000
2025-03-06,126646000
2025-03-07,126646000
2025-03-08,126646000
2025-03-10,130952000
2025-03-11,126646000
2025-03-12,126646000
2025-03-18,124046000
2025-03-20,124046000
2025-03-21,124046000
