Date,Shares
2024-04-23,146823008
2024-04-25,150347008
2024-04-26,146823008
2024-04-27,146823008
2024-05-01,146823008
2024-05-02,146823008
2024-05-04,146823008
2024-05-04,149152992
2024-05-07,146823008
2024-05-09,146823008
2024-05-10,146823008
2024-05-12,146823008
2024-05-14,144443008
2024-05-23,144443008
2024-05-23,146978000
2024-05-24,144443008
2024-05-24,145722000
2024-05-31,145780992
2024-05-31,144443008
2024-06-01,144443008
2024-06-04,144443008
2024-06-07,144443008
2024-06-07,147118000
2024-06-08,144443008
2024-06-12,144443008
2024-06-12,148610000
2024-06-13,145846000
2024-06-13,144443008
2024-06-14,144443008
2024-06-15,144443008
2024-06-15,154232992
2024-06-19,144443008
2024-06-21,144443008
2024-06-26,144443008
2024-06-27,144443008
2024-06-28,144443008
2024-06-29,144443008
2024-07-03,144443008
2024-07-03,145846000
2024-07-06,144443008
2024-07-09,144443008
2024-07-10,144443008
2024-07-10,147304000
2024-07-12,144443008
2024-07-13,144443008
2024-07-16,144443008
2024-07-18,144443008
2024-07-18,148212000
2024-07-19,144443008
2024-07-24,144443008
2024-07-26,148910000
2024-07-27,148910000
2024-07-31,154324000
2024-08-01,148910000
2024-08-03,148910000
2024-08-08,148910000
2024-08-10,148910000
2024-08-10,151772992
2024-08-13,148910000
2024-08-13,154866000
2024-08-14,148910000
2024-08-16,148910000
2024-08-17,148910000
2024-08-20,148910000
2024-08-21,148910000
2024-08-23,148910000
2024-08-24,148910000
2024-08-27,158596000
2024-08-27,148910000
2024-08-29,152728992
2024-08-29,148910000
2024-08-29,150151008
2024-08-30,148910000
2024-08-30,156960000
2024-08-31,148910000
2024-09-06,148910000
2024-09-06,187192000
2024-09-07,18613800
2024-09-07,148910000
2024-09-10,18613800
2024-09-12,20308500
2024-09-12,18613800
2024-09-13,18613800
2024-09-17,18613800
2024-09-17,19550900
2024-09-19,18613800
2024-09-20,18613800
2024-09-21,18613800
2024-09-21,19887400
2024-09-27,18613800
2024-10-01,30113800
2024-10-03,30113800
2024-10-11,30113800
2024-10-12,30113800
2024-10-18,30113800
2024-10-19,30113800
2024-10-22,30113800
2024-10-23,31196300
2024-10-24,30113800
2024-10-29,30113800
2024-10-30,30113800
2024-10-31,30113800
2024-10-31,31526800
2024-11-02,30113800
2024-11-05,30113800
2024-11-05,30201500
2024-11-06,30113800
2024-11-07,30113800
2024-11-08,30113800
2024-11-09,30113800
2024-11-12,30778900
2024-11-14,30113800
2024-11-14,30778900
2024-11-15,30778900
2024-11-16,30778900
2024-11-16,31985200
2024-11-22,30778900
2024-11-23,30778900
2024-11-26,30778900
2024-11-27,30778900
2024-12-04,30778900
2024-12-04,33970000
2024-12-05,30778900
2024-12-06,30778900
2024-12-06,33176500
2024-12-07,30778900
2024-12-11,31672300
2024-12-11,30778900
2024-12-12,30778900
2024-12-13,32443400
2024-12-14,30778900
2024-12-17,30778900
2024-12-18,30778900
2024-12-19,30778900
2024-12-20,30778900
2024-12-21,30778900
2024-12-25,30778900
2024-12-27,30778900
2024-12-31,30778900
2025-01-01,30778900
2025-01-03,30778900
2025-01-04,30778900
2025-01-07,30778900
2025-01-07,30804900
2025-01-08,30778900
2025-01-09,30778900
2025-01-11,30778900
2025-01-11,31913100
2025-01-14,31488000
2025-01-14,30778900
2025-01-15,30778900
2025-01-16,30778900
2025-01-17,30778900
2025-01-18,30778900
2025-01-22,30778900
2025-01-24,30778900
2025-01-28,30778900
2025-01-29,30778900
2025-01-30,30778900
2025-02-01,30778900
2025-02-04,30778900
2025-02-05,30778900
2025-02-06,30778900
2025-02-07,30778900
2025-02-08,31040100
2025-02-08,30778900
2025-02-12,30778900
2025-02-13,30778900
2025-02-14,30778900
2025-02-15,30778900
2025-02-15,32479700
2025-02-19,30778900
2025-02-22,30778900
2025-02-27,30778900
2025-03-04,34498200
2025-03-04,30778900
2025-03-05,30778900
2025-03-06,30778900
2025-03-07,30778900
2025-03-11,32879800
2025-03-11,30663000
2025-03-19,30663000
2025-03-20,30663000
2025-03-22,30663000
2025-03-22,30839000
2025-03-25,31640000
2025-03-26,31640000
2025-03-27,32811800
2025-03-27,31640000
2025-03-28,33852600
2025-03-28,31640000
2025-04-01,31640000
2025-04-01,32376800
2025-04-05,31640000
2025-04-09,31640000
2025-04-10,32773000
2025-04-10,31640000
2025-04-11,31640000
2025-04-17,31640000
2025-04-18,31355400
2025-04-18,31863700
2025-04-22,33436300
2025-04-23,32315200
2025-04-23,31355400
2025-05-07,31355400
2025-05-07,31649100
2025-05-16,32203600
2025-05-17,31355400
2025-05-30,31355400
2025-05-30,33344500
2025-05-31,31355400
2025-05-31,31803700
2025-06-12,32231700
2025-06-13,31355400
2025-06-18,31355400
2025-06-18,31465000
2025-07-01,32200300
2025-07-02,31355400
2025-07-10,31355400
2025-07-10,31664700
2025-07-11,31355400
2025-07-11,32916100
2025-07-12,31355400
2025-07-12,32279200
2025-07-21,33279100
2025-07-22,34853600
2025-07-23,34853600
2025-07-26,34853600
2025-07-28,36000200
2025-07-29,35151700
2025-07-30,35151700
2025-08-01,35151700
2025-08-02,35151700
2025-08-07,35151700
2025-08-08,37378100
2025-08-08,35151700
2025-08-09,35398600
2025-08-09,35151700
2025-08-12,35464500
2025-08-13,35464500
2025-08-14,35464500
2025-08-15,35464500
2025-08-18,36991400
2025-08-19,35464500
2025-08-20,35464500
2025-08-23,35464500
2025-08-26,35464500
2025-08-27,35464500
2025-09-03,35464500
2025-09-04,35464500
2025-09-05,35464500
2025-09-06,35464500
2025-09-10,35464500
2025-09-11,35464500
2025-09-12,35464500
2025-09-13,35464500
2025-09-16,35464500
2025-09-17,35464515
2025-09-18,35464515
2025-09-20,35464515
2025-09-23,35464515
2025-09-23,35617233
2025-09-25,35464515
2025-09-26,35680433
2025-09-26,35464515
2025-09-27,35464515
2025-09-30,35464515
2025-10-07,35464515
2025-10-08,35464515
2025-10-08,35558867
2025-10-09,35464515
2025-10-14,35464515
2025-10-15,35464515
2025-10-17,35464515
2025-10-18,35464515
2025-10-23,35464515
2025-10-25,35464515
2025-10-28,35951164
2025-10-28,35464515
2025-10-28,38413028
2025-10-29,35464515
2025-10-31,35464515
2025-11-01,35464515
2025-11-04,35464515
2025-11-05,35464515
2025-11-07,35464515
2025-11-08,35992596
2025-11-11,35992596
2025-11-15,37165971
2025-11-17,35992596
2026-03-07,35992596
2026-03-21,36994814
2026-04-18,37109026
2026-07-28,40921626
2026-08-08,40924846
