Date,Shares
2024-04-20,499376992
2024-04-23,499376992
2024-04-25,537081984
2024-04-25,499376992
2024-04-26,499376992
2024-05-01,522108992
2024-05-01,489052992
2024-05-21,494064992
2024-05-22,489052992
2024-05-23,493352992
2024-05-23,489052992
2024-05-24,496360000
2024-05-24,489052992
2024-06-05,494711008
2024-06-05,489052992
2024-06-12,492488992
2024-06-12,489052992
2024-06-15,489052992
2024-06-15,496492000
2024-07-03,489052992
2024-07-03,491022016
2024-07-10,493552000
2024-07-10,489052992
2024-07-18,492852992
2024-07-18,489052992
2024-07-19,500870016
2024-07-20,489052992
2024-07-24,489052992
2024-07-24,494310016
2024-08-07,489052992
2024-08-08,484897984
2024-08-09,484897984
2024-08-10,484897984
2024-08-13,488116000
2024-08-13,484897984
2024-08-14,484897984
2024-08-15,484897984
2024-08-17,487947008
2024-08-17,484897984
2024-08-20,484897984
2024-08-21,484897984
2024-08-27,484897984
2024-08-29,484897984
2024-08-31,484897984
2024-09-05,484897984
2024-09-06,484897984
2024-09-07,484897984
2024-09-07,491081984
2024-09-11,484897984
2024-09-12,484897984
2024-09-14,484897984
2024-09-17,484897984
2024-09-19,484897984
2024-09-21,484897984
2024-09-21,490800992
2024-09-24,484897984
2024-09-26,484897984
2024-10-01,484897984
2024-10-02,484897984
2024-10-03,484897984
2024-10-04,484897984
2024-10-15,484897984
2024-10-15,494831008
2024-10-16,484897984
2024-10-18,485969984
2024-10-18,484897984
2024-10-23,484897984
2024-10-24,484897984
2024-10-29,484897984
2024-10-30,488776992
2024-10-30,484897984
2024-10-31,495472000
2024-10-31,484897984
2024-11-01,484897984
2024-11-05,484897984
2024-11-05,488903008
2024-11-06,484897984
2024-11-07,484897984
2024-11-08,482801984
2024-11-08,493056992
2024-11-09,482801984
2024-11-14,490212000
2024-11-14,482801984
2024-11-15,482801984
2024-11-16,486937984
2024-11-16,482801984
2024-11-22,482801984
2024-11-23,482801984
2024-11-28,482801984
2024-11-30,482801984
2024-12-03,482801984
2024-12-04,482801984
2024-12-04,486732992
2024-12-06,488340000
2024-12-06,482801984
2024-12-07,482801984
2024-12-11,496315008
2024-12-11,482801984
2024-12-12,482801984
2024-12-13,493060000
2024-12-14,482801984
2024-12-18,482801984
2024-12-20,482801984
2024-12-24,482801984
2024-12-27,482801984
2025-01-04,482801984
2025-01-07,482801984
2025-01-08,482801984
2025-01-18,482801984
2025-01-22,482801984
2025-01-24,482801984
2025-01-29,482801984
2025-01-30,482801984
2025-02-01,482801984
2025-02-04,482801984
2025-02-05,482801984
2025-02-08,484886016
2025-02-08,482801984
2025-02-13,496776992
2025-02-13,482801984
2025-02-15,482801984
2025-02-18,477932000
2025-02-19,477932000
2025-02-21,477932000
2025-02-25,477932000
2025-02-26,477932000
2025-02-27,477932000
2025-02-28,477932000
2025-03-01,477932000
2025-03-04,495075008
2025-03-04,477932000
2025-03-05,477932000
2025-03-06,477932000
2025-03-07,477932000
2025-03-11,484979008
2025-03-11,477932000
2025-03-20,477932000
2025-03-21,477932000
2025-03-22,477932000
2025-03-22,478600992
2025-03-25,477932000
2025-03-26,477932000
2025-03-27,480048000
2025-03-27,477932000
2025-03-28,480481984
2025-03-28,477932000
2025-03-29,477932000
2025-04-01,477932000
2025-04-02,477932000
2025-04-04,477932000
2025-04-05,477932000
2025-04-08,477932000
2025-04-09,477932000
2025-04-10,477932000
2025-04-10,497518016
2025-04-11,477932000
2025-04-14,477932000
2025-04-15,477932000
2025-04-16,477932000
2025-04-22,493894016
2025-04-23,477932000
2025-04-25,477932000
2025-04-26,478571008
2025-04-29,477932000
2025-04-30,477932000
2025-05-01,477932000
2025-05-02,470315008
2025-05-07,470315008
2025-05-07,473568992
2025-05-14,474188992
2025-05-15,470315008
2025-05-29,470315008
2025-05-29,473032992
2025-05-31,470315008
2025-05-31,475396000
2025-06-05,470315008
2025-06-06,470315008
2025-06-06,470814016
2025-06-18,470315008
2025-06-18,476574016
2025-07-08,470315008
2025-07-08,477943008
2025-07-11,470315008
2025-07-11,477507008
2025-07-12,473107008
2025-07-12,470315008
2025-07-28,471195008
2025-07-29,470315008
2025-08-06,470315008
2025-08-07,470315008
2025-08-08,480384000
2025-08-08,468479008
2025-08-08,469153984
2025-08-09,468479008
2025-08-12,468479008
2025-08-15,468479008
2025-08-16,468479008
2025-08-19,468479008
2025-08-20,468479008
2025-08-21,468479008
2025-08-22,468479008
2025-08-26,468479008
2025-08-28,468479008
2025-08-29,468479008
2025-09-03,468479008
2025-09-04,468479008
2025-09-05,468479008
2025-09-06,468479008
2025-09-10,468479008
2025-09-11,468479008
2025-09-16,468479008
2025-09-17,468478923
2025-09-23,469313966
2025-09-24,468478923
2025-09-25,468478923
2025-09-26,468478923
2025-09-27,468478923
2025-10-02,468478923
2025-10-03,468478923
2025-10-07,468478923
2025-10-08,468478923
2025-10-08,476824164
2025-10-09,468478923
2025-10-10,468478923
2025-10-11,468478923
2025-10-14,468478923
2025-10-15,468478923
2025-10-16,468478923
2025-10-18,468478923
2025-10-21,468478923
2025-10-22,470648758
2025-10-23,468478923
2025-10-25,468478923
2025-10-28,468478923
2025-10-30,468478923
2025-11-07,468478923
2025-11-08,468478923
2025-11-11,468478923
2025-11-12,468478923
2025-11-14,468478923
2025-11-15,468478923
2025-11-17,470314978
2025-11-28,468478923
2026-02-17,467979597
2026-04-23,465287332
2026-05-05,460591983
2026-08-07,459674889
