Date,Shares
2024-04-25,278358016
2024-04-25,280184992
2024-04-25,278753984
2024-04-26,278358016
2024-04-27,278358016
2024-04-30,278358016
2024-05-01,278358016
2024-05-03,278358016
2024-05-04,278358016
2024-05-06,278358016
2024-05-08,278358016
2024-05-09,278358016
2024-05-11,278358016
2024-05-11,279116000
2024-05-15,278358016
2024-05-21,278358016
2024-05-21,281769984
2024-05-22,278358016
2024-05-23,278358016
2024-05-23,278884992
2024-05-24,278358016
2024-05-24,283327008
2024-05-25,281536000
2024-05-25,278358016
2024-05-31,278358016
2024-06-01,275569984
2024-06-05,275569984
2024-06-07,275569984
2024-06-08,275569984
2024-06-12,277963008
2024-06-12,275569984
2024-06-13,275569984
2024-06-14,275569984
2024-06-18,275569984
2024-06-21,276459008
2024-06-21,275569984
2024-06-25,275569984
2024-06-27,275569984
2024-06-28,275569984
2024-07-02,275569984
2024-07-03,275569984
2024-07-06,275569984
2024-07-09,275569984
2024-07-10,280436000
2024-07-10,275569984
2024-07-11,275569984
2024-07-16,275569984
2024-07-19,275569984
2024-07-20,275569984
2024-07-23,275569984
2024-07-24,281304000
2024-07-24,275569984
2024-07-27,275569984
2024-08-02,275569984
2024-08-03,275569984
2024-08-06,275569984
2024-08-08,275569984
2024-08-10,278047008
2024-08-10,275569984
2024-08-13,275569984
2024-08-13,276384992
2024-08-14,275569984
2024-08-15,275569984
2024-08-16,275569984
2024-08-17,275569984
2024-08-20,279272992
2024-08-20,275569984
2024-08-21,275569984
2024-08-24,275569984
2024-08-27,275569984
2024-08-29,275569984
2024-08-30,273600000
2024-09-04,273600000
2024-09-04,273635008
2024-09-06,279489984
2024-09-06,273600000
2024-09-07,273600000
2024-09-07,275127008
2024-09-12,273600000
2024-09-13,273600000
2024-09-16,273614016
2024-09-17,273600000
2024-09-18,273600000
2024-09-19,273600000
2024-09-21,273600000
2024-09-21,276188000
2024-09-26,273600000
2024-09-27,273600000
2024-10-01,273600000
2024-10-04,273600000
2024-10-04,278787008
2024-10-05,273600000
2024-10-05,274103008
2024-10-09,273600000
2024-10-10,273600000
2024-10-12,273600000
2024-10-15,273600000
2024-10-15,275855008
2024-10-18,273600000
2024-10-19,273600000
2024-10-23,273600000
2024-10-25,273600000
2024-10-25,274076000
2024-10-29,273600000
2024-10-29,277852000
2024-10-30,273600000
2024-10-31,273600000
2024-10-31,274512992
2024-11-02,273600000
2024-11-05,273600000
2024-11-06,274495008
2024-11-06,273600000
2024-11-07,273600000
2024-11-08,273600000
2024-11-09,273600000
2024-11-12,273600000
2024-11-14,273600000
2024-11-14,276620992
2024-11-15,273600000
2024-11-16,273600000
2024-11-20,273600000
2024-11-21,273600000
2024-11-22,273600000
2024-11-26,273600000
2024-11-27,273600000
2024-11-28,273600000
2024-11-30,273659008
2024-12-03,273600000
2024-12-04,273600000
2024-12-04,275804000
2024-12-06,278569984
2024-12-06,273600000
2024-12-11,273600000
2024-12-11,276958016
2024-12-12,273600000
2024-12-13,278923008
2024-12-14,271575008
2024-12-17,272827008
2024-12-17,271575008
2024-12-20,271575008
2024-12-21,271575008
2024-12-25,271575008
2024-12-31,271575008
2025-01-03,271575008
2025-01-04,271575008
2025-01-07,274316992
2025-01-07,271575008
2025-01-11,272351008
2025-01-11,272526016
2025-01-14,271575008
2025-01-14,272351008
2025-01-15,272351008
2025-01-16,272351008
2025-01-17,272351008
2025-01-18,272351008
2025-01-23,272351008
2025-01-28,272351008
2025-01-29,272351008
2025-01-30,272351008
2025-01-31,272351008
2025-02-04,272351008
2025-02-06,272351008
2025-02-12,272351008
2025-02-13,272351008
2025-02-14,272351008
2025-02-15,272351008
2025-02-19,272351008
2025-02-20,272351008
2025-02-21,272351008
2025-02-27,272351008
2025-02-27,277512992
2025-02-28,271414016
2025-03-04,271414016
2025-03-04,280129984
2025-03-06,271414016
2025-03-10,277432992
2025-03-11,271414016
