Date,Shares
2024-04-20,274368000
2024-04-23,274368000
2024-04-25,274368000
2024-04-25,285700000
2024-04-26,274364000
2024-04-27,274364000
2024-05-01,274364000
2024-05-03,274364000
2024-05-04,274364000
2024-05-06,274364000
2024-05-07,274364000
2024-05-08,274364000
2024-05-11,274364000
2024-05-15,274364000
2024-05-16,274364000
2024-05-17,274364000
2024-05-18,274364000
2024-05-21,274364000
2024-05-21,277292000
2024-05-22,274364000
2024-05-23,274364000
2024-05-24,275743008
2024-05-24,274364000
2024-05-25,274364000
2024-05-29,274364000
2024-05-30,274364000
2024-05-31,274364000
2024-06-07,274364000
2024-06-07,275449984
2024-06-11,274364000
2024-06-12,276267008
2024-06-12,274364000
2024-06-13,274364000
2024-06-15,275060000
2024-06-15,274364000
2024-06-19,274364000
2024-06-21,274364000
2024-06-22,274364000
2024-06-25,274364000
2024-06-28,276268000
2024-06-28,274364000
2024-06-29,274364000
2024-07-02,274364000
2024-07-03,276342016
2024-07-03,274364000
2024-07-04,274364000
2024-07-06,274364000
2024-07-10,275305984
2024-07-10,274364000
2024-07-11,274364000
2024-07-12,274364000
2024-07-16,274364000
2024-07-17,274364000
2024-07-18,274364000
2024-07-19,274364000
2024-07-20,274364000
2024-07-23,274364000
2024-07-24,274364000
2024-07-25,274777984
2024-07-26,274777984
2024-07-27,274777984
2024-08-01,274777984
2024-08-02,274777984
2024-08-06,274777984
2024-08-13,276467008
2024-08-13,274777984
2024-08-16,274777984
2024-08-17,274777984
2024-08-20,274777984
2024-08-20,275697984
2024-08-22,274777984
2024-08-27,274777984
2024-08-27,275201984
2024-08-28,274777984
2024-08-29,274777984
2024-08-30,274777984
2024-09-04,274777984
2024-09-04,278913984
2024-09-05,274777984
2024-09-05,275310016
2024-09-06,274777984
2024-09-07,274777984
2024-09-07,279009984
2024-09-10,274777984
2024-09-11,274777984
2024-09-12,277355008
2024-09-12,274777984
2024-09-14,274777984
2024-09-18,274777984
2024-09-18,278124000
2024-09-20,274777984
2024-09-21,274777984
2024-09-24,274777984
2024-09-25,274777984
2024-09-28,275107008
2024-09-28,274777984
2024-10-01,274777984
2024-10-02,274777984
2024-10-03,274777984
2024-10-04,274777984
2024-10-04,278729984
2024-10-08,274777984
2024-10-09,274777984
2024-10-10,274777984
2024-10-12,274777984
2024-10-15,274777984
2024-10-18,274777984
2024-10-18,277806016
2024-10-19,274777984
2024-10-22,274777984
2024-10-24,274968992
2024-10-25,276676992
2024-10-25,277824992
2024-10-29,276945984
2024-10-29,274968992
2024-10-30,274968992
2024-10-31,274968992
2024-10-31,275315008
2024-11-01,274968992
2024-11-01,284172000
2024-11-05,274968992
2024-11-07,274968992
2024-11-08,274968992
2024-11-08,277179008
2024-11-09,274968992
2024-11-12,274968992
2024-11-13,274968992
2024-11-16,274968992
2024-11-16,279198016
2024-11-19,276881984
2024-11-20,274968992
2024-11-21,274968992
2024-11-23,274968992
2024-11-26,274968992
2024-11-27,274968992
2024-11-28,274968992
2024-11-30,274968992
2024-12-04,274968992
2024-12-06,277476992
2024-12-06,274968992
2024-12-07,274968992
2024-12-10,274968992
2024-12-11,274968992
2024-12-13,277467008
2024-12-14,274968992
2024-12-24,274968992
2024-12-25,274968992
2024-12-27,274968992
2024-12-31,274968992
2025-01-07,280703008
2025-01-07,274968992
2025-01-08,274968992
2025-01-09,274968992
2025-01-11,277184000
2025-01-11,274968992
2025-01-14,274968992
2025-01-15,274968992
2025-01-16,274968992
2025-01-18,274968992
2025-01-18,277196000
2025-01-25,274968992
2025-01-28,274968992
2025-01-30,270340992
2025-02-04,270340992
2025-02-05,270340992
2025-02-06,270340992
2025-02-08,270340992
2025-02-08,271083008
2025-02-11,270351008
2025-02-15,270351008
2025-02-15,275065984
2025-02-22,270351008
2025-02-26,270351008
2025-02-27,271078016
2025-02-27,270351008
2025-03-01,270351008
2025-03-04,270351008
2025-03-05,270351008
2025-03-13,270351008
2025-03-14,270351008
2025-03-15,270351008
2025-03-18,270351008
2025-03-21,270351008
2025-03-22,270351008
2025-03-22,272700992
2025-03-26,270351008
2025-03-27,270440992
2025-03-28,270351008
2025-04-01,270351008
2025-04-01,268382000
2025-04-18,268382000
2025-04-18,268916000
2025-04-22,271231008
2025-04-23,268382000
2025-04-23,269632000
2025-04-23,277542016
2025-04-24,268382000
2025-04-25,268396000
2025-04-26,268396000
2025-05-01,268396000
2025-05-02,268396000
2025-05-03,268396000
2025-05-07,268396000
2025-05-07,269913984
2025-05-09,268396000
2025-05-10,268396000
2025-05-10,268811008
2025-05-17,268396000
2025-05-20,268396000
2025-05-21,268396000
2025-05-22,268396000
2025-05-23,268396000
2025-05-24,268396000
2025-05-29,268396000
2025-05-29,273879008
2025-05-30,268396000
2025-05-31,268396000
2025-06-04,268396000
2025-06-05,268396000
2025-06-05,269382016
2025-06-06,268396000
2025-06-06,268992992
2025-06-10,268396000
2025-06-11,268396000
2025-06-13,268396000
2025-06-14,268396000
2025-06-16,271960992
2025-06-17,268396000
2025-06-18,268396000
2025-06-18,271064992
2025-06-19,268396000
2025-06-27,268396000
2025-06-28,268396000
2025-06-28,268996000
2025-07-08,268396000
2025-07-08,268496000
2025-07-09,268396000
2025-07-10,268396000
2025-07-11,268396000
2025-07-11,271456000
2025-07-11,269444000
2025-07-12,268396000
2025-07-17,268396000
2025-07-18,268396000
2025-07-22,268396000
2025-07-23,268396000
2025-07-24,268992992
2025-07-26,268992992
2025-07-29,268992992
2025-07-31,268992992
2025-08-02,269745984
2025-08-02,268992992
2025-08-05,268992992
2025-08-07,270936992
2025-08-07,268992992
2025-08-08,268992992
2025-08-09,268992992
2025-08-14,268992992
2025-08-15,268992992
2025-08-16,268992992
2025-08-19,268992992
2025-08-20,268992992
2025-08-21,268992992
2025-08-23,268992992
2025-08-26,268992992
2025-08-27,268992992
2025-08-28,268992992
2025-08-29,269448992
2025-08-29,268992992
2025-08-30,269275008
2025-08-30,268992992
2025-09-03,268992992
2025-09-05,269302016
2025-09-05,268992992
2025-09-10,268992992
2025-09-11,268992992
2025-09-17,268993342
2025-09-17,268992992
2025-09-20,268993342
2025-09-20,269400052
2025-09-23,270177159
2025-09-23,268993342
2025-09-24,268993342
2025-10-02,268993342
2025-10-03,268993342
2025-10-08,271397936
2025-10-08,268993342
2025-10-16,268993342
2025-10-18,268993342
2025-10-25,270120442
2025-10-29,270120442
2025-10-30,270120442
2025-10-31,270120442
2025-11-01,270120442
2025-11-06,270120442
2025-11-07,270120442
2025-11-08,270120442
2025-11-11,270120442
2025-11-15,270120442
2025-11-17,270120442
2026-01-29,270389759
2026-03-30,270845862
2026-05-01,270430187
2026-07-31,270557195
