Date,Shares
2024-04-20,1093270016
2024-04-23,1093270016
2024-04-24,1094610048
2024-04-25,1094610048
2024-04-25,1118189952
2024-04-26,1094610048
2024-04-30,1094610048
2024-05-03,1094610048
2024-05-04,1094610048
2024-05-07,1094610048
2024-05-08,1094610048
2024-05-10,1103490048
2024-05-10,1094610048
2024-05-11,1122210048
2024-05-11,1094610048
2024-05-14,1094610048
2024-05-16,1094610048
2024-05-17,1094610048
2024-05-18,1103030016
2024-05-18,1094610048
2024-05-20,1098800000
2024-05-21,1094610048
2024-05-23,1095900032
2024-05-23,1094610048
2024-05-24,1094610048
2024-05-25,1094610048
2024-05-29,1094610048
2024-05-31,1094610048
2024-06-01,1094610048
2024-06-05,1095149952
2024-06-05,1094610048
2024-06-07,1094610048
2024-06-08,1094610048
2024-06-12,1111529984
2024-06-12,1094610048
2024-06-13,1094610048
2024-06-14,1094610048
2024-06-15,1094610048
2024-06-18,1094610048
2024-06-19,1094610048
2024-06-21,1094610048
2024-06-27,1094610048
2024-06-28,1095559936
2024-06-28,1094610048
2024-06-29,1094610048
2024-07-03,1094610048
2024-07-10,1094610048
2024-07-12,1114640000
2024-07-12,1094610048
2024-07-13,1094610048
2024-07-16,1094610048
2024-07-17,1094610048
2024-07-18,1137859968
2024-07-18,1094610048
2024-07-20,1094610048
2024-07-24,1094610048
2024-07-24,1084310016
2024-07-25,1084310016
2024-07-26,1084310016
2024-08-01,1084310016
2024-08-02,1084310016
2024-08-02,1087190016
2024-08-03,1084310016
2024-08-03,1148380032
2024-08-06,1084310016
2024-08-07,1084310016
2024-08-09,1084310016
2024-08-10,1084310016
2024-08-13,1084310016
2024-08-14,1084310016
2024-08-17,1084310016
2024-08-22,1084310016
2024-08-23,1084310016
2024-08-29,1084310016
2024-08-31,1084310016
2024-09-04,1084310016
2024-09-04,1153049984
2024-09-05,1084310016
2024-09-06,1084310016
2024-09-06,1100920064
2024-09-07,1084310016
2024-09-07,1101929984
2024-09-13,1084310016
2024-09-19,1084310016
2024-09-21,1084310016
2024-09-26,1084310016
2024-10-02,1084310016
2024-10-03,1084310016
2024-10-09,1084310016
2024-10-10,1084310016
2024-10-11,1084310016
2024-10-15,1084310016
2024-10-17,1084310016
2024-10-18,1084310016
2024-10-18,1086790016
2024-10-22,1084310016
2024-10-23,1084310016
2024-10-23,1082290048
2024-10-24,1082290048
2024-10-25,1094040064
2024-10-26,1097949952
2024-10-29,1082290048
2024-10-29,1121360000
2024-10-30,1090439936
2024-10-30,1082290048
2024-10-31,1082290048
2024-11-01,1082290048
2024-11-02,1082290048
2024-11-05,1082290048
2024-11-08,1093849984
2024-11-08,1082290048
2024-11-13,1082290048
2024-11-14,1082290048
2024-11-15,1082290048
2024-11-16,1091289984
2024-11-16,1082290048
2024-11-19,1082290048
2024-11-21,1082290048
2024-11-27,1082290048
2024-12-03,1082290048
2024-12-04,1082290048
2024-12-06,1143260032
2024-12-06,1082290048
2024-12-07,1082290048
2024-12-11,1082610048
2024-12-11,1082290048
2024-12-12,1082290048
2024-12-13,1107309952
2024-12-14,1082290048
2024-12-19,1082290048
2024-12-20,1082290048
2024-12-25,1082290048
2024-12-28,1082290048
2025-01-04,1082290048
2025-01-07,1082290048
2025-01-08,1082290048
2025-01-09,1082290048
2025-01-11,1082290048
2025-01-11,1089859968
2025-01-14,1082290048
2025-01-14,1083049984
2025-01-17,1082290048
2025-01-18,1082290048
2025-01-24,1073689984
2025-01-29,1073689984
2025-01-30,1073689984
2025-02-04,1073289984
2025-02-07,1073289984
2025-02-08,1077369984
2025-02-08,1073289984
2025-02-14,1073289984
2025-02-15,1073289984
2025-02-15,1073750016
2025-02-20,1073289984
2025-02-22,1073289984
2025-02-25,1073289984
2025-02-26,1073289984
2025-03-01,1073289984
2025-03-04,1099970048
2025-03-04,1073289984
2025-03-07,1073289984
2025-03-11,1073289984
2025-03-11,1082960000
2025-03-13,1073289984
2025-03-15,1066579968
2025-03-27,1091059968
2025-03-27,1066579968
2025-03-28,1066579968
2025-03-28,1074300032
2025-04-10,1100429952
2025-04-11,1066579968
2025-04-18,1066579968
2025-04-18,1070449984
2025-04-22,1087149952
2025-04-23,1066390016
2025-04-24,1066390016
2025-04-25,1066390016
2025-04-26,1066390016
2025-04-29,1066390016
2025-04-30,1066390016
2025-04-30,1068300032
2025-05-01,1066390016
2025-05-07,1066390016
2025-05-07,1068120000
2025-05-09,1066390016
2025-05-13,1066390016
2025-05-15,1066390016
2025-05-17,1066390016
2025-05-20,1066390016
2025-05-23,1066390016
2025-05-27,1066390016
2025-05-28,1066390016
2025-05-29,1066390016
2025-05-30,1066390016
2025-06-03,1066390016
2025-06-04,1066390016
2025-06-05,1066390016
2025-06-06,1066390016
2025-06-10,1066390016
2025-06-10,1084290048
2025-06-11,1066390016
2025-06-11,1107849984
2025-06-13,1066390016
2025-06-14,1066390016
2025-06-14,1081670016
2025-06-17,1066659968
2025-06-17,1066390016
2025-06-18,1066390016
2025-06-18,1069960000
2025-06-21,1066390016
2025-06-25,1066390016
2025-06-26,1066390016
2025-06-27,1066390016
