Date,Shares
2024-04-20,149942000
2024-04-25,150532992
2024-04-25,149942000
2024-04-26,149942000
2024-04-27,149942000
2024-04-30,151508992
2024-04-30,149942000
2024-05-01,149942000
2024-05-07,149942000
2024-05-09,150098000
2024-05-10,151012000
2024-05-10,150098000
2024-05-14,150098000
2024-05-15,150098000
2024-05-17,150098000
2024-05-21,150098000
2024-05-22,150098000
2024-05-23,152131008
2024-05-23,150098000
2024-05-24,150098000
2024-05-24,151584992
2024-05-25,150098000
2024-06-04,150098000
2024-06-05,150098000
2024-06-07,153706000
2024-06-07,150098000
2024-06-08,150098000
2024-06-12,150098000
2024-06-12,151730000
2024-06-13,150098000
2024-06-15,150098000
2024-06-15,152259008
2024-06-19,150098000
2024-06-21,150098000
2024-06-21,150396000
2024-06-22,150098000
2024-06-26,150098000
2024-06-29,150098000
2024-07-02,150098000
2024-07-03,150098000
2024-07-04,150098000
2024-07-09,150098000
2024-07-10,152670000
2024-07-10,150098000
2024-07-11,150098000
2024-07-13,150098000
2024-07-16,150098000
2024-07-18,150098000
2024-07-18,152510000
2024-07-19,150098000
2024-07-23,150098000
2024-07-24,150098000
2024-07-30,150098000
2024-08-03,150098000
2024-08-06,150098000
2024-08-07,150098000
2024-08-09,150999008
2024-08-10,150999008
2024-08-10,151191008
2024-08-13,151807008
2024-08-13,150999008
2024-08-27,152135008
2024-08-27,150999008
2024-09-04,150999008
2024-09-04,157954000
2024-09-06,152520000
2024-09-06,150999008
2024-09-07,156515008
2024-09-07,150999008
2024-09-11,151996000
2024-09-11,150999008
2024-09-16,153316992
2024-09-17,150999008
2024-09-20,155036992
2024-09-20,150999008
2024-10-04,152019008
2024-10-04,150999008
2024-10-05,153562000
2024-10-05,150999008
2024-10-16,151059008
2024-10-17,150999008
2024-10-25,151504000
2024-10-25,151378000
2024-10-29,150999008
2024-10-29,151062000
2024-10-30,150999008
2024-10-31,154906000
2024-10-31,150999008
2024-11-01,156784000
2024-11-01,150999008
2024-11-08,153979008
2024-11-08,150999008
2024-11-09,151074000
2024-11-12,151074000
2024-11-15,151074000
2024-11-16,151074000
2024-11-16,156394000
2024-11-19,151322000
2024-11-20,151074000
2024-11-21,151074000
2024-11-23,151074000
2024-11-27,151074000
2024-11-30,151074000
2024-12-04,154226000
2024-12-04,151074000
2024-12-06,154671008
2024-12-06,151074000
2024-12-07,151074000
2024-12-10,151074000
2024-12-11,151074000
2024-12-12,151074000
2024-12-13,155863008
2024-12-14,151074000
2024-12-17,151074000
2024-12-19,151074000
2024-12-20,151074000
2024-12-21,151074000
2024-12-24,151074000
2024-12-25,151074000
2025-01-04,151074000
2025-01-07,151074000
2025-01-08,151074000
2025-01-09,151074000
2025-01-11,151074000
2025-01-14,151074000
2025-01-15,151074000
2025-01-22,151074000
2025-01-24,151074000
2025-01-30,151074000
2025-02-04,151074000
2025-02-05,151074000
2025-02-06,151074000
2025-02-08,151074000
2025-02-08,151446000
2025-02-11,151747008
2025-02-12,151747008
2025-02-15,151747008
2025-02-15,159568992
2025-02-19,151747008
2025-02-20,151747008
2025-02-21,151747008
2025-02-27,152659008
2025-02-27,151747008
2025-02-28,152843008
2025-03-04,154956000
2025-03-04,152843008
2025-03-05,152843008
2025-03-06,152843008
2025-03-14,152843008
2025-03-18,152843008
2025-03-19,152843008
2025-03-22,157360000
2025-03-22,152843008
2025-03-26,152843008
2025-03-27,152843008
2025-03-27,160359008
2025-03-29,152843008
2025-04-01,152843008
2025-04-01,158019008
2025-04-05,152843008
2025-04-08,153286000
2025-04-10,153768992
2025-04-10,153286000
2025-04-11,153286000
2025-04-12,153286000
2025-04-17,153286000
2025-04-18,154119008
2025-04-18,153286000
2025-04-22,158904000
2025-04-23,157915008
2025-04-23,153286000
2025-04-29,153286000
2025-04-30,153286000
2025-05-01,153286000
2025-05-03,153286000
2025-05-06,153286000
2025-05-07,153286000
2025-05-09,153286000
2025-05-10,156068000
2025-05-10,153286000
2025-05-22,153443008
2025-05-23,153443008
2025-05-29,153443008
2025-05-29,156691008
2025-05-29,157234000
2025-05-30,153443008
2025-06-03,153443008
2025-06-04,153443008
2025-06-05,153443008
2025-06-07,153443008
2025-06-10,153443008
2025-06-11,158480000
2025-06-11,153443008
2025-06-13,153443008
2025-06-14,153443008
2025-06-16,155491008
2025-06-17,153443008
2025-06-18,157338000
2025-06-18,153443008
2025-06-19,153443008
2025-06-21,153443008
2025-06-26,153443008
2025-06-27,157156000
2025-06-27,153443008
2025-06-28,153443008
2025-07-01,168378000
2025-07-02,168378000
2025-07-03,168378000
2025-07-08,170048992
2025-07-08,168378000
2025-07-09,168378000
2025-07-11,168378000
2025-07-11,169292992
2025-07-12,168378000
2025-07-18,168378000
2025-07-19,168378000
2025-07-22,168378000
2025-07-23,168378000
2025-07-24,168378000
2025-07-25,168378000
2025-07-26,168378000
2025-07-29,168378000
2025-07-30,168378000
2025-08-01,168378000
2025-08-02,168378000
2025-08-02,174378000
2025-08-03,168438000
2025-08-05,168378000
2025-08-07,168378000
2025-08-07,169720992
2025-08-08,168378000
2025-08-09,168794000
2025-08-12,168794000
2025-08-23,168794000
2025-08-26,168794000
2025-08-30,168794000
2025-08-30,175640000
2025-09-05,168794000
2025-09-05,171210000
2025-09-17,168794500
2025-09-23,168899056
2025-09-23,168794500
2025-10-15,168794500
2025-10-15,170530267
2025-10-18,168794500
2025-10-18,179963530
2025-10-27,169725215
2025-10-28,168794500
2025-11-06,168840708
2025-11-12,168840708
2025-11-15,168840708
2025-11-17,168840708
2026-02-14,170329158
2026-03-04,186757730
2026-04-06,187333628
2026-04-20,187438489
2026-05-08,187519984
2026-08-06,187721327
