Date,Shares
2024-05-01,135212000
2024-05-02,135212000
2024-05-03,135212000
2024-05-04,136156000
2024-05-04,135212000
2024-05-07,135212000
2024-05-10,135212000
2024-05-11,135212000
2024-05-14,135212000
2024-05-16,135212000
2024-05-17,135212000
2024-05-18,135212000
2024-05-22,135536000
2024-05-22,135212000
2024-05-23,135212000
2024-05-24,135212000
2024-05-24,135347008
2024-05-25,135212000
2024-05-30,135620992
2024-05-31,135212000
2024-06-04,135212000
2024-06-07,136552000
2024-06-07,135212000
2024-06-08,135212000
2024-06-11,135212000
2024-06-12,136096000
2024-06-13,135212000
2024-06-15,135212000
2024-06-18,135212000
2024-06-22,135212000
2024-06-26,135212000
2024-06-27,135212000
2024-06-28,135212000
2024-06-29,135212000
2024-07-03,135212000
2024-07-06,135212000
2024-07-10,135687008
2024-07-10,135212000
2024-07-16,136083008
2024-07-16,135212000
2024-07-17,135212000
2024-07-18,136624000
2024-07-18,135212000
2024-07-20,135212000
2024-07-23,135212000
2024-07-24,135212000
2024-07-27,135212000
2024-07-30,135212000
2024-07-31,134714000
2024-08-07,134714000
2024-08-08,134714000
2024-08-09,134872000
2024-08-10,134714000
2024-08-14,134714000
2024-08-16,134714000
2024-08-17,134714000
2024-08-20,134714000
2024-08-22,134714000
2024-08-24,134714000
2024-08-26,134740000
2024-08-27,134714000
2024-08-29,134714000
2024-08-30,134714000
2024-08-31,134714000
2024-09-03,137056992
2024-09-04,134714000
2024-09-05,134714000
2024-09-05,134964000
2024-09-06,137314000
2024-09-06,134714000
2024-09-07,134714000
2024-09-10,134714000
2024-09-11,134714000
2024-09-11,136144992
2024-09-12,134714000
2024-09-13,134714000
2024-09-14,134714000
2024-09-17,134714000
2024-09-18,134714000
2024-09-18,135124000
2024-09-20,134714000
2024-09-21,134714000
2024-09-24,134714000
2024-10-02,134714000
2024-10-03,134714000
2024-10-04,134754000
2024-10-04,134714000
2024-10-09,134714000
2024-10-10,134714000
2024-10-11,134714000
2024-10-17,134714000
2024-10-18,134714000
2024-10-18,134938000
2024-10-22,134714000
2024-10-23,134714000
2024-10-25,134714000
2024-10-31,133433000
2024-11-01,133433000
2024-11-01,135312992
2024-11-02,133572000
2024-11-02,133433000
2024-11-07,133433000
2024-11-09,133433000
2024-11-13,133433000
2024-11-14,133433000
2024-11-15,133433000
2024-11-15,154438000
2024-11-19,134954000
2024-11-20,133433000
2024-11-21,133433000
2024-11-23,133433000
2024-11-26,133433000
2024-11-27,133433000
2024-11-28,133433000
2024-11-28,135175008
2024-11-30,133433000
2024-12-05,133433000
2024-12-07,133433000
2024-12-10,133433000
2024-12-11,133558000
2024-12-11,133433000
2024-12-12,133433000
2024-12-13,133930000
2024-12-14,133433000
2024-12-17,133433000
2024-12-18,133433000
2024-12-20,133433000
2024-12-21,133433000
2024-12-24,133433000
2024-12-25,133433000
2024-12-31,133433000
2025-01-04,133433000
2025-01-08,133433000
2025-01-16,133433000
2025-01-17,133433000
2025-01-18,133433000
2025-01-22,133433000
2025-01-23,133433000
2025-01-24,133433000
2025-01-31,133433000
2025-02-01,133433000
2025-02-04,133433000
2025-02-07,133433000
2025-02-11,133433000
2025-02-12,131167000
2025-02-13,131167000
2025-02-14,131167000
2025-02-15,131167000
2025-02-19,131167000
2025-02-21,131167000
2025-02-22,131167000
2025-02-25,131167000
2025-02-26,131167000
2025-03-01,131167000
2025-03-04,131949000
2025-03-04,131167000
2025-03-05,131167000
2025-03-06,131167000
2025-03-10,132943000
2025-03-11,131167000
2025-03-12,131167000
2025-03-13,131167000
2025-03-14,131167000
2025-03-18,131167000
2025-03-19,128214000
2025-03-21,129191000
2025-03-22,128214000
2025-03-27,128838000
2025-03-28,128214000
2025-04-08,128445000
2025-04-08,128214000
2025-04-17,128214000
2025-04-17,129589000
2025-04-18,128655000
2025-04-18,128214000
2025-04-22,129308000
2025-04-23,128214000
2025-05-08,128719000
2025-05-09,128719000
2025-05-14,128719000
2025-05-15,128719000
2025-05-16,128719000
2025-05-21,128719000
2025-05-24,128719000
2025-05-28,128719000
2025-05-29,128719000
2025-05-29,131468000
2025-05-30,128719000
2025-05-30,130342000
2025-06-03,128719000
2025-06-04,128719000
2025-06-05,128719000
2025-06-05,128781000
2025-06-06,128719000
2025-06-10,128719000
2025-06-10,130302000
2025-06-11,128719000
2025-06-11,129382000
2025-06-14,128719000
2025-06-17,129509000
2025-06-17,128719000
2025-06-18,129621000
2025-06-19,128719000
2025-06-25,128719000
2025-06-26,128719000
2025-06-27,128719000
2025-06-30,128719000
2025-07-01,128719000
2025-07-02,128719000
2025-07-04,128719000
2025-07-08,128719000
2025-07-08,128797000
2025-07-09,128719000
2025-07-09,130601000
2025-07-11,128719000
2025-07-11,129346000
2025-07-12,128719000
2025-07-12,129473000
2025-07-15,128719000
2025-07-17,128719000
2025-07-18,128719000
2025-07-19,128719000
2025-07-22,128719000
2025-07-24,128719000
2025-07-25,128719000
2025-07-30,128719000
2025-08-02,128719000
2025-08-06,128297000
2025-08-07,128297000
2025-08-08,128297000
2025-08-09,128297000
2025-08-13,128297000
2025-08-14,128297000
2025-08-19,128297000
2025-08-21,128297000
2025-08-23,128297000
2025-08-27,128297000
2025-08-29,128297000
2025-08-30,128297000
2025-09-04,128297000
2025-09-06,128297000
2025-09-10,128297000
2025-09-12,128297000
2025-09-13,128297000
2025-09-16,128297000
2025-09-17,128297000
2025-09-17,128297332
2025-09-20,128297332
2025-09-23,128297332
2025-09-26,131843167
2025-09-26,128297332
2025-09-27,128297332
2025-09-30,128297332
2025-10-10,128297332
2025-10-14,128297332
2025-10-15,128297332
2025-10-16,128297332
2025-10-25,128297332
2025-10-25,129263142
2025-10-28,128873995
2025-10-28,129185392
2025-10-28,128297332
2025-10-29,128297332
2025-10-30,128297332
2025-11-04,128297332
2025-11-05,127855172
2025-11-06,127855172
2025-11-07,127855172
2025-11-08,127855172
2025-11-12,127855172
2025-11-17,128297333
2026-02-24,127855173
2026-03-24,126392685
2026-05-05,125783512
2026-05-06,125785466
2026-08-06,125492209
