Date,Shares
2024-04-20,51080100
2024-04-23,51080100
2024-04-24,51080100
2024-04-25,51548700
2024-04-25,51080100
2024-04-26,51080100
2024-04-27,51080100
2024-04-30,51080100
2024-05-01,52473500
2024-05-03,52473500
2024-05-04,52473500
2024-05-07,52473500
2024-05-08,52473500
2024-05-09,52473500
2024-05-10,52473500
2024-05-11,52473500
2024-05-11,55201700
2024-05-15,55879600
2024-05-16,52473500
2024-05-17,53723500
2024-05-18,53723500
2024-05-21,54458000
2024-05-22,54360500
2024-05-22,53723500
2024-05-23,53723500
2024-05-24,54806600
2024-05-24,53723500
2024-05-25,53723500
2024-05-29,53723500
2024-05-30,53723500
2024-06-01,53723500
2024-06-07,56355800
2024-06-07,53723500
2024-06-11,53723500
2024-06-12,56959800
2024-06-12,53723500
2024-06-13,53723500
2024-06-13,58523500
2024-06-15,58523500
2024-06-15,60635100
2024-06-18,58523500
2024-06-21,58843300
2024-06-21,58523500
2024-06-25,58523500
2024-06-28,58523500
2024-06-29,58523500
2024-07-02,58523500
2024-07-03,58523500
2024-07-04,58523500
2024-07-09,58523500
2024-07-10,58523500
2024-07-11,58523500
2024-07-12,58523500
2024-07-17,58523500
2024-07-18,62629100
2024-07-18,58523500
2024-07-20,58523500
2024-07-26,58523500
2024-07-27,58523500
2024-07-31,63070300
2024-08-01,58523500
2024-08-02,58523500
2024-08-09,58523500
2024-08-10,58846800
2024-08-10,58523500
2024-08-13,58523500
2024-08-14,62924000
2024-08-15,62924000
2024-08-16,62924000
2024-08-17,62924000
2024-08-17,64513000
2024-08-20,62924000
2024-08-22,62924000
2024-08-23,62924000
2024-08-27,62924000
2024-08-28,62924000
2024-08-29,62924000
2024-08-29,65753500
2024-08-30,62924000
2024-09-03,62924000
2024-09-04,62924000
2024-09-05,62924000
2024-09-06,65144800
2024-09-06,62924000
2024-09-07,62924000
2024-09-07,63547000
2024-09-10,62924000
2024-09-11,62924000
2024-09-12,64935800
2024-09-12,62924000
2024-09-16,67434304
2024-09-17,62924000
2024-09-18,62924000
2024-09-21,63818000
2024-09-21,62924000
2024-09-27,62924000
2024-09-28,62924000
2024-09-30,68630096
2024-10-01,62924000
2024-10-02,62924000
2024-10-03,62924000
2024-10-04,64608200
2024-10-04,62924000
2024-10-05,62924000
2024-10-08,65146800
2024-10-09,62924000
2024-10-10,62924000
2024-10-11,62924000
2024-10-15,62924000
2024-10-16,62924000
2024-10-18,62924000
2024-10-24,62924000
2024-10-25,63554000
2024-10-25,64115700
2024-10-28,62924000
2024-10-30,62924000
2024-10-31,66526500
2024-10-31,62924000
2024-11-01,62924000
2024-11-05,62924000
2024-11-05,67279296
