Date,Shares
2024-04-25,148175008
2024-04-25,148140000
2024-04-26,148140000
2024-04-27,148140000
2024-04-30,148140000
2024-04-30,147990000
2024-05-04,150007008
2024-05-04,148140000
2024-05-06,148212992
2024-05-07,148140000
2024-05-10,148140000
2024-05-10,147990000
2024-05-11,148140000
2024-05-11,147990000
2024-05-15,148946000
2024-05-16,148140000
2024-05-17,147990000
2024-05-17,148140000
2024-05-21,147990000
2024-05-22,148140000
2024-05-23,148140000
2024-05-23,147990000
2024-05-24,150512000
2024-05-24,148140000
2024-05-25,148388000
2024-05-25,148140000
2024-05-31,148096992
2024-05-31,148140000
2024-06-07,148140000
2024-06-07,147990000
2024-06-12,150191008
2024-06-12,148140000
2024-06-13,149066000
2024-06-13,148140000
2024-06-15,147990000
2024-06-15,148140000
2024-06-21,148140000
2024-06-21,147990000
2024-06-28,148140000
2024-06-28,147990000
2024-07-03,148140000
2024-07-03,147990000
2024-07-10,148140000
2024-07-10,150420000
2024-07-11,148140000
2024-07-11,147990000
2024-07-18,148140000
2024-07-18,147990000
2024-07-24,148140000
2024-07-24,147990000
2024-07-25,147990000
2024-07-26,146463008
2024-07-27,146244992
2024-07-30,146244992
2024-08-01,146244992
2024-08-07,146244992
2024-08-08,146244992
2024-08-10,146244992
2024-08-13,146244992
2024-08-16,146244992
2024-08-17,146244992
2024-08-20,146244992
2024-08-20,146764000
2024-08-22,146244992
2024-08-24,146244992
2024-08-27,146244992
2024-08-29,146244992
2024-09-04,146244992
2024-09-04,146391008
2024-09-05,146244992
2024-09-06,147452992
2024-09-06,146244992
2024-09-07,146244992
2024-09-07,147492000
2024-09-11,146244992
2024-09-11,147438000
2024-09-12,146244992
2024-09-12,147390000
2024-09-16,146244992
2024-09-18,146244992
2024-09-18,146391008
2024-09-20,146244992
2024-09-21,146244992
2024-09-24,146244992
2024-09-25,146244992
2024-09-27,146244992
2024-09-28,146244992
2024-10-01,146244992
2024-10-03,146244992
2024-10-04,146244992
2024-10-04,146596000
2024-10-05,146244992
2024-10-05,146474000
2024-10-09,146244992
2024-10-12,146244992
2024-10-15,146244992
2024-10-16,146244992
2024-10-18,146244992
2024-10-19,146244992
2024-10-24,146244992
2024-10-25,145814000
2024-10-26,145695008
2024-10-29,148036992
2024-10-30,145695008
2024-11-01,145695008
2024-11-05,145695008
2024-11-06,145695008
2024-11-07,145695008
2024-11-08,145695008
2024-11-08,146412000
2024-11-09,145695008
2024-11-12,145695008
2024-11-14,145695008
2024-11-14,148766000
2024-11-15,145695008
2024-11-16,145695008
2024-11-16,147568000
2024-11-19,147278000
2024-11-20,145695008
2024-11-21,145695008
2024-11-23,145695008
2024-11-26,145695008
2024-12-03,145695008
2024-12-04,145695008
2024-12-05,145695008
2024-12-06,145695008
2024-12-06,147836992
2024-12-07,145695008
2024-12-11,145695008
2024-12-12,145695008
2024-12-19,145695008
2024-12-20,145695008
2024-12-21,145695008
2024-12-24,145695008
2024-12-25,145695008
2025-01-01,145695008
2025-01-07,149754000
2025-01-07,145695008
2025-01-08,145695008
2025-01-09,145695008
2025-01-11,145695008
2025-01-11,146812992
2025-01-14,145695008
2025-01-15,145695008
2025-01-16,145695008
2025-01-18,145695008
2025-01-23,145695008
2025-01-25,145695008
2025-01-31,144952000
2025-02-01,144756000
2025-02-04,144898000
2025-02-04,144756000
2025-02-11,144756000
2025-02-15,150084992
2025-02-15,144756000
2025-02-20,144756000
2025-02-21,144756000
2025-02-22,144756000
2025-02-25,144756000
2025-02-26,144756000
2025-02-27,146710000
2025-02-27,144756000
2025-03-01,144756000
2025-03-04,144756000
2025-03-05,144756000
2025-03-10,144756000
2025-03-11,144756000
2025-03-12,144756000
2025-03-13,144756000
2025-03-22,144756000
2025-03-25,144756000
2025-03-26,144756000
2025-03-27,144756000
2025-04-01,144756000
2025-04-01,144807008
2025-04-04,144756000
2025-04-05,144756000
2025-04-08,144139008
2025-04-22,146596000
2025-04-23,167840000
2025-04-23,144071008
2025-04-24,143928000
2025-04-25,143928000
2025-04-26,143928000
2025-04-30,143928000
2025-04-30,144288992
2025-05-06,143928000
2025-05-07,145655008
2025-05-07,143928000
2025-05-08,143928000
2025-05-10,143928000
2025-05-10,144450000
2025-05-16,143928000
2025-05-22,143928000
2025-05-24,143928000
2025-05-28,143928000
2025-05-29,143974000
2025-05-29,143928000
2025-06-04,143928000
2025-06-05,143928000
2025-06-06,144863008
2025-06-06,143928000
2025-06-07,143928000
2025-06-10,143928000
2025-06-11,144682000
2025-06-11,143928000
2025-06-16,149483008
2025-06-17,143928000
2025-06-18,146640000
2025-06-19,143928000
2025-06-21,143928000
2025-06-25,143928000
2025-07-03,143928000
2025-07-04,143928000
2025-07-08,144803008
2025-07-09,143928000
2025-07-10,143928000
2025-07-11,145608000
2025-07-11,143928000
2025-07-16,143928000
2025-07-19,143928000
2025-07-22,143928000
2025-07-23,143276000
2025-07-24,143183008
2025-07-26,143183008
2025-07-30,143183008
2025-08-05,143183008
2025-08-07,143183008
2025-08-07,143343008
2025-08-07,143648992
2025-08-08,143183008
2025-08-12,143183008
2025-08-14,143183008
2025-08-16,143183008
2025-08-19,143183008
2025-08-20,143183008
2025-08-21,143183008
2025-08-26,143183008
2025-08-28,143183008
2025-08-29,143183008
2025-08-30,143183008
2025-09-04,143183008
2025-09-05,143492000
2025-09-05,143183008
2025-09-06,143183008
2025-09-11,143183008
2025-09-12,143183008
2025-09-16,143183008
2025-09-17,143182982
2025-09-17,143183008
2025-09-20,143362888
2025-09-20,143182982
2025-09-24,143182982
2025-09-25,143182982
2025-09-26,143182982
2025-09-26,143305200
2025-09-27,143182982
2025-09-30,143310740
2025-10-01,143182982
2025-10-03,143182982
2025-10-06,143182982
2025-10-07,143182982
2025-10-08,143182982
2025-10-11,143182982
