Date,Shares
2024-04-20,105830000
2024-04-24,105830000
2024-04-25,106393000
2024-04-25,105830000
2024-04-27,105830000
2024-04-30,106323000
2024-04-30,105830000
2024-05-02,106246000
2024-05-03,106246000
2024-05-07,106246000
2024-05-08,106246000
2024-05-09,106246000
2024-05-11,106246000
2024-05-15,106246000
2024-05-18,106246000
2024-05-20,106246000
2024-05-21,106357000
2024-05-21,106246000
2024-05-22,106246000
2024-05-23,106288000
2024-05-23,106246000
2024-05-24,106246000
2024-05-31,107660000
2024-05-31,106246000
2024-06-01,106246000
2024-06-04,106246000
2024-06-05,106246000
2024-06-05,107033000
2024-06-06,106246000
2024-06-07,106246000
2024-06-08,106246000
2024-06-15,106358000
2024-06-15,106246000
2024-06-18,106246000
2024-06-21,106246000
2024-06-22,106246000
2024-06-26,106246000
2024-06-28,106246000
2024-06-29,106246000
2024-07-02,106246000
2024-07-03,106246000
2024-07-03,106539000
2024-07-06,106246000
2024-07-10,107008000
2024-07-10,106246000
2024-07-12,106987000
2024-07-13,106246000
2024-07-18,48248100
2024-07-18,110550000
2024-07-20,106246000
2024-07-23,106246000
2024-07-24,106246000
2024-07-25,106328000
2024-07-26,106246000
2024-07-31,106948000
2024-08-01,106185000
2024-08-03,106185000
2024-08-07,106185000
2024-08-08,106185000
2024-08-09,106185000
2024-08-10,106185000
2024-08-13,106185000
2024-08-14,106185000
2024-08-15,106185000
2024-08-17,106185000
2024-08-20,106185000
2024-08-21,106185000
2024-08-23,106185000
2024-08-24,106185000
2024-08-27,106185000
2024-08-29,106185000
2024-08-29,106872000
2024-08-30,106185000
2024-08-31,106185000
2024-09-04,106185000
2024-09-05,106185000
2024-09-06,106185000
2024-09-07,106185000
2024-09-07,108092000
2024-09-10,106185000
2024-09-12,106185000
2024-09-12,106375000
2024-09-13,106185000
2024-09-14,106185000
2024-09-17,106685000
2024-09-17,106185000
2024-09-19,106185000
2024-09-20,106185000
2024-09-21,106185000
2024-09-21,106217000
2024-09-26,106185000
2024-09-27,106185000
2024-10-01,106185000
2024-10-04,106185000
2024-10-08,106796000
2024-10-09,106185000
2024-10-10,106185000
2024-10-15,106185000
2024-10-16,106185000
2024-10-18,106185000
2024-10-18,106313000
2024-10-19,106185000
2024-10-22,106185000
2024-10-23,109278000
2024-10-23,106185000
2024-10-24,106185000
2024-10-26,106358000
2024-10-28,106185000
2024-10-30,106185000
2024-10-31,106185000
2024-10-31,106190000
2024-11-01,106190000
2024-11-05,106190000
2024-11-08,106594000
2024-11-08,106190000
2024-11-09,106190000
2024-11-12,106190000
2024-11-13,106190000
2024-11-13,106519000
2024-11-14,106190000
2024-11-14,107091000
2024-11-15,106190000
2024-11-16,109330000
2024-11-16,106190000
2024-11-19,109599000
2024-11-20,106190000
2024-11-21,106190000
2024-11-22,106190000
2024-11-26,106190000
2024-11-27,106190000
2024-12-04,107568000
2024-12-04,106190000
2024-12-05,106190000
2024-12-06,106373000
2024-12-06,106190000
2024-12-11,106190000
2024-12-11,107142000
2024-12-19,106190000
2024-12-21,106190000
2024-12-24,106190000
2024-12-25,106190000
2024-12-27,106190000
2024-12-28,106190000
2024-12-31,106190000
2025-01-01,106190000
2025-01-03,106190000
2025-01-07,106190000
2025-01-07,106444000
2025-01-08,106190000
2025-01-22,106190000
2025-01-23,106190000
2025-01-25,106190000
2025-01-29,106190000
2025-01-30,106190000
2025-02-01,106190000
2025-02-04,106190000
2025-02-06,106190000
2025-02-08,106190000
2025-02-12,106190000
2025-02-13,106190000
2025-02-13,107434000
2025-02-20,52659200
2025-02-21,106777000
2025-02-26,106777000
2025-03-01,106777000
2025-03-04,112314000
2025-03-04,106777000
2025-03-06,106777000
2025-03-08,106777000
2025-03-11,109788000
2025-03-11,106777000
2025-03-12,106777000
2025-03-13,106777000
2025-03-19,106777000
2025-03-21,106777000
2025-03-22,106777000
2025-03-25,106777000
2025-03-27,106777000
2025-03-27,107423000
2025-03-28,107906000
2025-03-28,106777000
2025-03-29,106777000
2025-04-01,107156000
2025-04-01,106777000
2025-04-02,106777000
2025-04-03,106777000
2025-04-05,106777000
2025-04-09,106777000
2025-04-10,106777000
2025-04-11,106777000
2025-04-12,106777000
2025-04-14,106777000
2025-04-15,106777000
2025-04-16,106777000
2025-04-17,106777000
2025-04-18,106777000
2025-04-22,110300000
2025-04-23,106777000
2025-04-24,106777000
2025-04-25,106777000
2025-04-26,106777000
2025-05-01,109652000
2025-05-01,106823000
2025-05-02,106875000
2025-05-07,106875000
2025-05-08,106875000
2025-05-09,106875000
2025-05-10,106875000
2025-05-14,106875000
2025-05-20,106875000
2025-05-23,106875000
2025-05-29,110655000
2025-05-29,106875000
2025-05-30,106875000
2025-05-31,108688000
2025-05-31,106875000
2025-06-04,106875000
2025-06-05,106875000
2025-06-06,106875000
2025-06-06,107958000
2025-06-07,106875000
2025-06-10,106875000
2025-06-11,106875000
2025-06-12,106875000
2025-06-14,106875000
2025-06-17,107693000
2025-06-17,106875000
2025-06-18,106875000
2025-06-18,108474000
2025-06-19,107174000
2025-06-19,106875000
2025-06-21,106875000
2025-06-24,106875000
2025-07-04,106875000
2025-07-08,107551000
2025-07-08,106875000
2025-07-09,106875000
2025-07-10,106875000
2025-07-11,106875000
2025-07-12,107575000
2025-07-12,106875000
2025-07-15,106875000
2025-07-18,106875000
2025-07-19,106875000
2025-07-23,106875000
2025-07-25,106875000
2025-07-26,106875000
2025-07-28,108025000
2025-07-29,106875000
2025-07-30,106875000
2025-07-31,106875000
2025-08-05,106875000
2025-08-06,106875000
2025-08-07,106794000
2025-08-12,106794000
2025-08-13,106794000
2025-08-14,106794000
2025-08-15,106794000
2025-08-18,106982000
2025-08-19,106794000
2025-08-21,106794000
2025-08-22,106794000
2025-08-23,106794000
2025-09-03,106794000
2025-09-04,106794000
2025-09-06,106794000
2025-09-09,106794000
2025-09-10,106794000
2025-09-16,106794000
2025-09-17,106794000
2025-09-17,106793835
2025-09-19,106793835
2025-09-20,106793835
2025-09-23,106793835
2025-09-23,107542298
2025-09-25,106793835
2025-09-26,106793835
2025-10-07,106793835
2025-10-08,106793835
2025-10-11,106793835
2025-10-15,106793835
2025-10-15,107228411
2025-10-16,106793835
2025-10-21,106793835
2025-10-23,106793835
2025-10-24,106793835
2025-10-25,106996865
2025-10-25,106793835
2025-10-28,107086491
2025-10-28,107459616
2025-10-28,106793835
2025-10-29,106793835
2025-10-30,106793835
2025-11-06,106488582
2025-11-08,106488582
2025-11-13,106488582
2025-11-15,109865081
2025-11-17,106793835
2026-02-26,106488583
2026-03-05,107011496
2026-04-30,106969344
2026-05-01,106978521
2026-07-30,106805394
