Date,Shares
2024-04-23,65578700
2024-04-24,65578700
2024-04-26,65578700
2024-04-30,68339904
2024-04-30,65578700
2024-05-01,65578700
2024-05-02,65578700
2024-05-04,65578700
2024-05-06,67678496
2024-05-07,65578700
2024-05-09,65578700
2024-05-10,65578700
2024-05-11,65578700
2024-05-14,65578700
2024-05-15,65578700
2024-05-16,65578700
2024-05-17,67060000
2024-05-17,65578700
2024-05-21,65578700
2024-05-22,68174600
2024-05-22,65578700
2024-05-23,65578700
2024-05-24,65853100
2024-05-24,65578700
2024-05-25,65578700
2024-05-29,65578700
2024-05-30,66867100
2024-05-30,65578700
2024-05-31,65578700
2024-06-04,65578700
2024-06-06,65578700
2024-06-07,65578700
2024-06-08,65578700
2024-06-12,70143600
2024-06-14,65578700
2024-06-15,65578700
2024-06-18,65578700
2024-06-19,65578700
2024-06-21,69449696
2024-06-21,65578700
2024-06-22,65578700
2024-06-25,65578700
2024-06-26,65578700
2024-06-27,65578700
2024-07-02,65578700
2024-07-03,65578700
2024-07-03,65863400
2024-07-06,65578700
2024-07-10,65578700
2024-07-12,65578700
2024-07-13,65578700
2024-07-17,65578700
2024-07-18,65578700
2024-07-23,65578700
2024-07-25,65578700
2024-07-26,65578700
2024-07-27,65578700
2024-07-30,65578700
2024-08-01,65578700
2024-08-03,65578700
2024-08-12,65823000
2024-08-13,66535500
2024-08-14,66535500
2024-08-16,66535500
2024-08-17,66535500
2024-08-20,66535500
2024-08-21,66535500
2024-08-23,66535500
2024-08-24,66535500
2024-08-26,66535500
2024-08-29,71067400
2024-08-29,66535500
2024-08-30,66535500
2024-08-31,66535500
2024-09-04,70838304
2024-09-04,66535500
2024-09-05,67493600
2024-09-05,66535500
2024-09-06,70606800
2024-09-06,68508600
2024-09-06,66535500
2024-09-07,66535500
2024-09-10,66535500
2024-09-11,66761800
2024-09-11,66535500
2024-09-12,66535500
2024-09-14,66535500
2024-09-16,67052100
2024-09-17,66535500
2024-09-18,68448704
2024-09-18,66535500
2024-09-19,66535500
2024-09-20,66535500
2024-09-21,66535500
2024-09-24,66535500
2024-09-25,66535500
2024-10-03,66535500
2024-10-04,67730800
2024-10-04,66535500
2024-10-05,66535500
2024-10-08,66535500
2024-10-09,66535500
2024-10-10,66535500
2024-10-11,66535500
2024-10-12,66535500
2024-10-14,66535500
2024-10-15,66535500
2024-10-16,66535500
2024-10-18,67249296
2024-10-18,66535500
2024-10-19,66535500
2024-10-22,66535500
2024-10-23,66535500
2024-10-25,67929800
2024-10-29,73404800
2024-10-29,66535500
2024-10-30,70157104
2024-10-30,66535500
2024-10-31,66535500
2024-11-01,66535500
2024-11-01,68352496
2024-11-02,66535500
2024-11-09,65926200
2024-11-12,66540900
2024-11-13,66540900
2024-11-14,66540900
2024-11-15,66540900
2024-11-19,66540900
2024-11-26,66540900
2024-11-27,66540900
2024-11-28,66540900
2024-11-30,66540900
2024-12-04,67301600
2024-12-04,66540900
2024-12-06,66540900
2024-12-07,66540900
2024-12-10,66540900
2024-12-11,66540900
2024-12-11,68732704
2024-12-13,67232200
2024-12-14,66540900
2024-12-20,66540900
2024-12-21,66540900
2024-12-25,66540900
2024-12-27,66540900
2024-12-28,66540900
2024-12-31,66540900
2025-01-01,66540900
2025-01-04,66540900
2025-01-07,66540900
2025-01-11,66540900
2025-01-14,74035104
2025-01-14,66540900
2025-01-15,66540900
2025-01-24,66540900
2025-01-25,66540900
2025-01-28,66540900
2025-01-29,66540900
2025-01-30,66540900
2025-02-01,66540900
2025-02-07,66540900
2025-02-08,69116000
2025-02-08,66540900
2025-02-14,66540900
2025-02-15,72287800
2025-02-15,66540900
2025-02-22,66540900
2025-02-26,66540900
2025-02-27,66540900
2025-02-28,66540900
2025-03-01,66540900
2025-03-04,75513904
2025-03-04,66540900
2025-03-06,66540900
2025-03-08,66540900
2025-03-10,71268496
2025-03-11,66540900
2025-03-12,66273600
2025-03-14,75573296
2025-03-15,75573296
2025-03-19,75573296
2025-03-19,75780304
2025-03-25,75573296
2025-03-26,75573296
2025-03-27,80429104
2025-03-27,75573296
2025-03-27,84694200
2025-03-28,77082304
2025-03-29,77082304
2025-04-01,77082304
2025-04-01,81917400
2025-04-03,77082304
2025-04-04,77082304
2025-04-09,77082304
2025-04-10,82018200
2025-04-10,77082304
2025-04-11,77082304
2025-04-18,77082304
2025-04-22,83526496
2025-04-23,82640800
2025-04-23,77082304
2025-05-01,77082304
2025-05-02,77082304
2025-05-03,77082304
2025-05-06,81996800
2025-05-06,77082304
2025-05-07,77082304
2025-05-07,77352600
2025-05-10,77082304
2025-05-14,77082304
2025-05-15,77083400
2025-05-16,77083400
2025-05-17,77083400
2025-05-20,77083400
2025-05-23,77083400
2025-05-28,77083400
2025-05-28,79273000
2025-05-29,82745800
2025-05-29,77083400
2025-05-30,77083400
2025-06-03,77083400
2025-06-03,79186200
2025-06-04,77083400
2025-06-05,77083400
2025-06-06,77083400
2025-06-07,77083400
2025-06-11,84630600
2025-06-11,77083400
2025-06-13,77083400
2025-06-14,77083400
2025-06-14,78053000
2025-06-17,126848000
2025-06-17,156244000
2025-06-18,127739000
2025-06-18,127051000
2025-06-19,127051000
2025-06-20,142576000
2025-06-24,147216992
2025-06-24,142576000
2025-06-25,142576000
2025-06-26,142576000
2025-06-26,147115008
2025-06-27,142576000
2025-06-28,142576000
2025-06-28,150004992
2025-07-01,142576000
2025-07-03,142576000
2025-07-08,145680992
2025-07-08,147272992
2025-07-08,142576000
2025-07-09,142576000
2025-07-10,142576000
2025-07-11,142576000
2025-07-15,142576000
2025-07-19,142576000
2025-07-22,142576000
2025-07-24,142576000
2025-07-26,142576000
2025-07-31,142576000
2025-08-02,142576000
2025-08-02,146892992
2025-08-05,142576000
2025-08-06,142576000
2025-08-07,142576000
2025-08-07,206260992
2025-08-07,153087008
2025-08-08,142576000
2025-08-09,144040000
2025-08-12,144040000
2025-08-15,144040000
2025-08-16,144040000
2025-08-19,144040000
2025-08-23,144040000
2025-08-27,144040000
2025-08-29,144040000
2025-08-30,144040000
2025-08-30,148728000
2025-09-05,145970000
2025-09-05,144040000
2025-09-12,144040000
2025-09-13,144040000
2025-09-16,144040000
2025-09-17,144039944
2025-09-17,144040000
2025-09-19,155188092
2025-09-20,156359323
2025-09-20,155188092
2025-09-26,155188092
2025-09-26,161942931
2025-10-02,155188092
2025-10-03,155188092
2025-10-08,158724739
2025-10-08,155188092
2025-10-09,155188092
2025-10-10,164421487
2025-10-11,164421487
2025-10-15,164421487
2025-10-18,164421487
2025-10-18,176386915
2025-10-23,164421487
2025-10-24,164421487
2025-10-28,164421487
2025-11-01,164421487
2025-11-04,164421487
2025-11-05,164421487
2025-11-06,164421487
2025-11-07,165150782
2025-11-08,165150783
2025-11-12,165150783
2025-11-14,165150783
2025-11-15,169729825
2025-11-17,165150783
2026-03-03,191915804
