Date,Shares
2024-04-25,114592000
2024-04-25,114912000
2024-04-26,114592000
2024-04-30,114592000
2024-04-30,114653000
2024-05-02,114592000
2024-05-04,114592000
2024-05-07,114592000
2024-05-08,114003000
2024-05-09,114003000
2024-05-10,115305000
2024-05-10,114003000
2024-05-11,114003000
2024-05-15,114003000
2024-05-17,114003000
2024-05-17,115736000
2024-05-18,114003000
2024-05-21,114366000
2024-05-22,114003000
2024-05-23,114003000
2024-05-24,114003000
2024-05-24,117819000
2024-05-25,114003000
2024-05-30,114003000
2024-05-31,114003000
2024-06-01,114003000
2024-06-04,114003000
2024-06-05,114003000
2024-06-07,114003000
2024-06-07,115915000
2024-06-08,114003000
2024-06-12,114003000
2024-06-12,114066000
2024-06-13,114003000
2024-06-14,114003000
2024-06-15,114003000
2024-06-15,116840000
2024-06-21,114003000
2024-06-25,114003000
2024-07-02,114003000
2024-07-03,114270000
2024-07-03,114003000
2024-07-04,114003000
2024-07-06,114003000
2024-07-10,114003000
2024-07-10,115692000
2024-07-13,114003000
2024-07-16,114003000
2024-07-18,116581000
2024-07-18,114003000
2024-07-19,114003000
2024-07-23,114003000
2024-07-24,115503000
2024-07-24,114003000
2024-07-30,114003000
2024-08-01,114003000
2024-08-03,114003000
2024-08-08,113467000
2024-08-09,113467000
2024-08-10,113903000
2024-08-10,113467000
2024-08-13,115773000
2024-08-13,113467000
2024-08-15,113467000
2024-08-17,113955000
2024-08-17,113467000
2024-08-20,113467000
2024-08-21,113467000
2024-08-22,113467000
2024-08-23,113467000
2024-08-27,114686000
2024-08-27,113467000
2024-08-28,113467000
2024-08-29,114070000
2024-08-29,113467000
2024-09-04,113467000
2024-09-04,118045000
2024-09-06,113467000
2024-09-07,114018000
2024-09-07,113467000
2024-09-10,113467000
2024-09-11,113467000
2024-09-12,115738000
2024-09-12,113467000
2024-09-13,113467000
2024-09-16,113831000
2024-09-17,113467000
2024-09-18,113467000
2024-09-19,113467000
2024-09-21,116343000
2024-09-21,113467000
2024-09-25,113467000
2024-09-28,113698000
2024-09-28,113467000
2024-10-01,113467000
2024-10-02,113467000
2024-10-03,113467000
2024-10-04,114028000
2024-10-04,113467000
2024-10-05,113467000
2024-10-08,113467000
2024-10-17,113467000
2024-10-18,113467000
2024-10-23,113467000
2024-10-25,113467000
2024-10-29,114693000
2024-10-30,113467000
2024-10-31,114233000
2024-10-31,113467000
2024-11-01,113467000
2024-11-05,115212000
2024-11-05,113467000
2024-11-06,113467000
2024-11-07,113467000
2024-11-08,120392000
2024-11-08,113467000
2024-11-09,113467000
2024-11-16,112897000
2024-11-19,112897000
2024-11-20,112897000
2024-11-21,112897000
2024-11-26,112897000
2024-11-28,112897000
2024-11-30,112897000
2024-12-04,115050000
2024-12-04,112897000
2024-12-06,112897000
2024-12-10,112897000
2024-12-11,114826000
2024-12-11,112897000
2024-12-14,112897000
2024-12-17,112897000
2024-12-17,113320000
2024-12-18,112897000
2024-12-21,113033000
2024-12-24,113033000
2024-12-25,113033000
2024-12-27,113033000
2025-01-01,113033000
2025-01-07,113033000
2025-01-07,113567000
2025-01-08,113033000
2025-01-11,113033000
2025-01-11,115579000
2025-01-15,113033000
