Date,Shares
2024-04-25,194986000
2024-04-25,192387008
2024-04-26,192387008
2024-04-27,192387008
2024-04-30,190699008
2024-04-30,192632000
2024-05-01,190699008
2024-05-03,190699008
2024-05-04,190699008
2024-05-06,190699008
2024-05-07,190699008
2024-05-10,190699008
2024-05-11,190699008
2024-05-14,190699008
2024-05-15,190699008
2024-05-16,190699008
2024-05-21,191128000
2024-05-22,190699008
2024-05-24,193588992
2024-05-24,190699008
2024-05-25,190699008
2024-05-31,190699008
2024-06-01,190699008
2024-06-04,190699008
2024-06-05,190699008
2024-06-06,190699008
2024-06-07,190699008
2024-06-07,192344000
2024-06-08,190699008
2024-06-12,190699008
2024-06-12,192684992
2024-06-13,190699008
2024-06-14,190699008
2024-06-15,190699008
2024-06-15,192332000
2024-06-18,190699008
2024-06-19,190699008
2024-06-22,190699008
2024-06-27,190699008
2024-06-28,191140992
2024-06-28,190699008
2024-07-02,190699008
2024-07-03,190699008
2024-07-06,190699008
2024-07-10,190699008
2024-07-10,192312000
2024-07-11,190699008
2024-07-12,190699008
2024-07-17,190699008
2024-07-18,190699008
2024-07-18,194738000
2024-07-19,190699008
2024-08-01,187363008
2024-08-03,187363008
2024-08-06,187363008
2024-08-07,187363008
2024-08-08,187363008
2024-08-10,187363008
2024-08-13,188024992
2024-08-13,187363008
2024-08-14,187363008
2024-08-15,187363008
2024-08-17,187363008
2024-08-23,187363008
2024-08-27,187363008
2024-08-28,187363008
2024-08-29,187363008
2024-09-04,187363008
2024-09-04,192124000
2024-09-05,187363008
2024-09-06,187363008
2024-09-06,190198000
2024-09-07,190684992
2024-09-07,187363008
2024-09-10,187363008
2024-09-11,188120000
2024-09-11,187363008
2024-09-12,187363008
2024-09-12,187558000
2024-09-13,187363008
2024-09-14,187363008
2024-09-17,187363008
2024-09-18,187363008
2024-09-20,187363008
2024-09-21,187363008
2024-09-21,189558000
2024-09-25,187363008
2024-09-26,187363008
2024-09-27,187363008
2024-09-28,187363008
2024-10-01,187363008
2024-10-02,187363008
2024-10-03,187363008
2024-10-04,187363008
2024-10-04,189256000
2024-10-05,187363008
2024-10-09,187363008
2024-10-10,187363008
2024-10-11,187363008
2024-10-12,187363008
2024-10-15,187363008
2024-10-17,187363008
2024-10-18,193092000
2024-10-18,187363008
2024-10-19,187363008
2024-10-24,187363008
2024-10-25,199732000
2024-10-25,197646000
2024-10-26,197646000
2024-10-29,185512000
2024-10-29,188915008
2024-10-30,185512000
2024-11-01,185512000
2024-11-01,189295008
2024-11-02,185512000
2024-11-06,185512000
2024-11-07,185512000
2024-11-08,185512000
2024-11-08,185596000
2024-11-14,185512000
2024-11-15,185512000
2024-11-16,185512000
2024-11-16,188112000
2024-11-19,185512000
2024-11-20,185512000
2024-11-21,185512000
2024-11-22,185512000
2024-11-23,185512000
2024-11-26,185512000
2024-11-27,185512000
2024-11-28,185512000
2024-11-30,185512000
2024-12-04,186120992
2024-12-04,185512000
2024-12-05,185512000
2024-12-06,189887008
2024-12-06,185512000
2024-12-10,185512000
2024-12-11,186324992
2024-12-11,185512000
2024-12-12,185512000
2024-12-13,187891008
2024-12-14,185512000
2024-12-17,185512000
2024-12-19,185512000
2024-12-20,185512000
2024-12-21,185512000
2024-12-28,185512000
2025-01-03,185512000
2025-01-07,186299008
2025-01-07,185512000
2025-01-08,185512000
2025-01-11,185512000
2025-01-11,186370000
2025-01-16,185512000
2025-01-17,185512000
2025-01-18,185512000
2025-01-22,185512000
