Date,Shares
2024-04-20,15833800
2024-04-24,15833800
2024-04-25,15833800
2024-04-25,16190200
2024-04-26,15833800
2024-05-07,15833800
2024-05-08,15833800
2024-05-10,15834200
2024-05-11,15979000
2024-05-11,15982800
2024-05-14,15982800
2024-05-15,16253600
2024-05-16,15982800
2024-05-18,18095500
2024-05-21,18226900
2024-05-22,18412400
2024-05-23,18412400
2024-05-24,18412400
2024-05-24,18740900
2024-05-25,18412400
2024-05-30,18412400
2024-06-05,18432400
2024-06-05,18412400
2024-06-07,18412400
2024-06-08,18412400
2024-06-11,18412400
2024-06-12,18412400
2024-06-13,18412400
2024-06-15,18412400
2024-06-19,18412400
2024-06-21,18412400
2024-06-22,18412400
2024-06-25,18412400
2024-06-27,18412400
2024-06-28,18463100
2024-06-28,18412400
2024-06-29,18412400
2024-07-03,18412400
2024-07-04,18412400
2024-07-10,18412400
2024-07-10,18437500
2024-07-11,18412400
2024-07-17,18412400
2024-07-18,19047500
2024-07-18,18412400
2024-07-19,18412400
2024-07-23,18412400
2024-07-24,18412400
2024-07-25,18442900
2024-07-25,18412400
2024-07-26,18412400
2024-07-27,18412400
2024-07-30,18412400
2024-07-31,18412400
2024-08-02,18420000
2024-08-03,18420000
2024-08-07,18420000
2024-08-09,18420000
2024-08-10,18420000
2024-08-13,18420000
2024-08-14,18420000
2024-08-15,18420000
2024-08-16,18420000
2024-08-17,18420000
2024-08-20,18420000
2024-08-22,18420000
2024-08-24,18420000
2024-08-27,18420000
2024-08-30,18420000
2024-08-31,18420000
2024-09-04,18420000
2024-09-06,18420000
2024-09-07,18420000
2024-09-07,19451200
2024-09-10,18420000
2024-09-11,18420000
2024-09-12,18420000
2024-09-16,18525400
2024-09-17,18420000
2024-09-18,18420000
2024-09-21,18782600
2024-09-21,18420000
2024-09-24,18420000
2024-09-26,18420000
2024-09-28,18420000
2024-09-30,18497900
2024-10-01,18420000
2024-10-02,18420000
2024-10-03,18420000
2024-10-04,18450700
2024-10-04,18420000
2024-10-05,18420000
2024-10-08,18420000
2024-10-10,18420000
2024-10-16,18422100
2024-10-17,18429000
2024-10-22,20411700
2024-10-24,20411700
2024-10-29,20411700
